child_1,child_2,distance,n_observations
8.0,105.0,0.1858183597983356,2.0
7.0,104.0,0.3154200249068142,2.0
85.0,86.0,0.31882709028433787,2.0
26.0,27.0,0.4355829957355547,2.0
153.0,163.0,0.4411503677753731,2.0
93.0,128.0,0.4448949369004682,2.0
122.0,123.0,0.46380380861492865,2.0
111.0,112.0,0.49519025703717257,2.0
33.0,48.0,0.49956292657805057,2.0
10.0,107.0,0.4997963893318669,2.0
19.0,186.0,0.5069170348578882,3.0
24.0,124.0,0.5074170926169582,2.0
12.0,109.0,0.5189807896499035,2.0
95.0,190.0,0.5197518813810471,3.0
28.0,29.0,0.5334364671473577,2.0
9.0,106.0,0.5488686289648377,2.0
11.0,197.0,0.5587244932742346,3.0
18.0,116.0,0.561558990823742,2.0
174.0,180.0,0.5734415719901016,2.0
129.0,149.0,0.5767647423535929,2.0
0.0,201.0,0.5857891597090685,4.0
118.0,195.0,0.5888624370931392,4.0
79.0,84.0,0.5913637618077281,2.0
78.0,204.0,0.5920578918255258,3.0
108.0,205.0,0.5935231094781211,5.0
119.0,120.0,0.5983265531855401,2.0
17.0,113.0,0.600104427484348,2.0
21.0,103.0,0.6033665164303718,2.0
115.0,202.0,0.6043876793417805,3.0
110.0,194.0,0.604461780756743,3.0
6.0,121.0,0.6045434334378127,2.0
90.0,92.0,0.6118901018340521,2.0
13.0,214.0,0.6230089214144382,4.0
25.0,188.0,0.625106840085851,3.0
23.0,196.0,0.6380814190795356,3.0
158.0,184.0,0.6420546677802539,2.0
94.0,198.0,0.6445565056777457,4.0
77.0,81.0,0.6507860958367402,2.0
192.0,200.0,0.650875095127684,4.0
37.0,39.0,0.6663526331096256,2.0
34.0,35.0,0.6664412852042524,2.0
1.0,16.0,0.6664447476452158,2.0
127.0,143.0,0.669324715757619,2.0
100.0,209.0,0.6744575022275561,6.0
206.0,213.0,0.6761759643324528,7.0
82.0,145.0,0.6767463080299448,2.0
191.0,217.0,0.6799524900501102,6.0
32.0,45.0,0.680053544310527,2.0
64.0,72.0,0.6806725225578939,2.0
31.0,185.0,0.6919373870826367,3.0
114.0,223.0,0.6963596746490166,5.0
54.0,157.0,0.6991049418199047,2.0
97.0,230.0,0.6994549056492934,3.0
89.0,134.0,0.7006687631193587,2.0
44.0,199.0,0.7043813006174799,3.0
62.0,150.0,0.7044792373811536,2.0
15.0,226.0,0.7050571195939619,3.0
69.0,175.0,0.7101245447363019,2.0
210.0,219.0,0.7128628865518342,5.0
22.0,215.0,0.7147681857086933,3.0
