image_name,cluster_label,pca_x,pca_y,tsne_x,tsne_y,distance_to_centroid
image_0001,1,-3.2874586907516656,-2.5842192755427984,1.74517,0.88178617,20.36266014104896
image_0002,1,-22.6367995117545,5.334892690033208,4.776208,-6.0535607,12.377110554495177
image_0003,1,-15.096667606864148,11.40779476759972,0.17091037,-4.7443023,20.165980288258744
image_0004,1,-29.57385290292562,-3.879637760089319,8.986712,-6.476519,12.94958803286735
image_0005,1,-15.575442489652065,1.8015341309629374,3.8021908,-3.6874115,11.880249390165337
image_0006,1,-7.386509395349333,-1.4583600686766722,2.9843974,0.59841317,18.247426642674984
image_0007,1,-34.105055478943086,-10.293231808308597,10.173608,-7.137608,19.800839304642945
image_0008,1,-7.180003234141138,-1.000422211862031,3.0450327,-1.526529,18.11499082215294
image_0009,1,-7.6166419143773245,-2.754776000608426,2.7723844,-0.78076106,17.534199887622577
image_0010,1,-39.35296717349173,1.506621048083466,8.861349,-9.063108,22.0910931529303
image_0011,1,-43.87275311985186,-1.2355321629629732,10.300647,-9.578424,27.960562127040724
image_0012,1,-9.8563649039171,-3.454407924699842,4.258462,-1.7480638,13.446739166390984
image_0013,1,-11.778579778579145,-2.79602252368422,4.241677,-1.8816842,14.212258068834366
image_0014,1,-30.982909490320125,9.442287797401693,6.1770782,-8.246449,17.353239170531914
image_0015,0,4.886143880503393,9.091103862052515,-3.995877,0.55349773,17.33756035859021
image_0016,1,-28.14151272420156,-2.7532754343067953,8.282202,-5.8466253,14.446040282605702
image_0017,1,-21.04200324070312,-8.477436628640694,7.3314457,-3.5653973,12.764679972974992
image_0018,1,-31.001887890013748,-3.9708406534577505,9.314394,-5.939195,17.596555945857503
image_0019,1,-20.263215753410748,6.059897554460242,5.0695515,-5.3220506,17.279193871618364
image_0020,1,-10.130898013103163,-1.5745490716627633,4.1032915,-1.2364206,16.95507355546679
image_0021,1,-18.434639215349396,5.141439015739222,3.288868,-5.108545,13.72707702418493
image_0022,0,-1.9346833318355792,-4.249727288623687,1.3702414,0.5778797,21.166659691390464
image_0023,0,8.220959963513884,-4.004913990475291,-2.6703448,4.5158997,12.393608394216482
image_0024,1,-19.269834851589597,2.0513974135841977,4.259401,-4.96724,12.15952491781398
image_0025,1,-28.883804133950537,8.002051171432965,6.9990106,-8.442482,17.85474455735058
image_0026,1,-18.221013103625566,1.0334377782682833,5.556186,-4.1143866,11.658402250925741
image_0027,1,-29.480695917869113,-10.776999643192026,10.451507,-6.1423492,18.719298790949576
image_0028,1,-20.172125383552157,-0.3455784813420139,7.035072,-4.231776,12.328957598583688
image_0029,1,-29.34408216935319,-10.3143553212963,9.913232,-6.6091537,16.2217634489918
image_0030,1,-11.895368031030065,-10.869702877213385,5.828179,-1.3807424,17.600143403742674
image_0031,0,-1.9649041515453731,-11.504799349221093,1.74316,4.3864665,23.680237997476652
