image_name,cluster_label,pca_x,pca_y,tsne_x,tsne_y,distance_to_centroid
image_0001,1,30.86862166539755,-13.93668618681644,-8.869146,7.57781,18.173603001114213
image_0002,1,43.349667918145556,-0.24061314784060342,-12.616149,9.140424,23.417993157076747
image_0003,1,17.14465464103164,-4.940125506536906,-7.409363,5.0512695,18.369922510318958
image_0004,1,37.19699388671579,-8.533488928537716,-10.728244,9.331632,19.598211576485355
image_0005,1,29.27925025545211,8.721857632121111,-11.845489,4.2949114,17.833837480579486
image_0006,1,24.663263644260063,13.933955313038766,-10.910324,3.6977084,19.14433560402665
image_0007,1,24.902695639124527,-5.507263078947257,-8.207157,6.353067,9.9604739687852
image_0008,1,24.25942163906991,11.002579243278658,-12.022426,3.2900858,21.343572520850554
image_0009,0,-14.26076243186866,-2.008047282883942,1.1504799,-9.043501,22.548350890587162
image_0010,1,26.005155968960164,-0.8033693895004017,-9.428532,5.239499,21.220513818777217
image_0011,1,53.71097349797481,2.1823470997415892,-14.057123,8.054098,32.699886174279534
image_0012,1,16.467987483317028,10.842063139457075,-9.636587,2.6934502,19.827776761765847
image_0013,1,8.04751929158597,3.8932506705287753,-4.0473213,1.9061295,22.952080340081583
image_0014,1,12.274473931381369,8.265247124107109,-8.359034,2.8530471,22.705558744659626
image_0015,1,46.95120153817305,2.262240910210828,-12.745314,7.7749953,23.29599826359596
image_0016,1,19.102735742682203,-7.680326802479597,-7.882531,6.471333,14.826030618433743
image_0017,1,16.283466252801308,5.896195951563671,-7.3257766,1.9470086,20.06382998665189
image_0018,1,20.40643312294062,-5.32448925656937,-7.9199038,5.6111684,13.727717593420898
image_0019,1,30.09223521081692,-17.195776103689642,-8.430203,8.209425,21.96666863607978
image_0020,1,21.191914446442944,-14.17142214648855,-7.867514,7.472362,18.84576526522727
image_0021,1,25.520766682418092,22.67277922600357,-11.059274,2.9334457,26.819295944860148
image_0022,1,9.403308578518576,-3.3112300609609306,-5.9154882,1.9539092,21.52549979570353
image_0023,1,10.756432197398372,-22.41840272341655,-5.478821,8.0679,30.552512655996253
image_0024,1,42.590162399297874,-4.888785582973915,-11.713316,9.075263,20.67813005747903
image_0025,1,19.384820547201482,-1.2433570086909391,-8.263293,4.9287915,14.399925922177548
image_0026,1,40.05100662222617,-8.185740448796976,-10.664075,9.146638,19.489216438022574
image_0027,1,19.96867666628547,-4.012474855942421,-6.8677588,5.2912936,18.720512101877162
image_0028,1,17.82025324918909,-13.301155609405624,-5.547343,5.6329784,24.802982294083364
image_0029,0,-0.30193738628812794,0.9351269212037231,-4.121262,-0.33226943,21.434994777890147
image_0030,0,-0.6719275475603128,-0.30337410894180605,-4.0518208,-0.96175957,23.576595966906037
image_0031,1,10.060644115682903,-4.9632512080959525,-5.9264946,0.6829044,25.61028299837591
image_0032,1,52.86371137893986,18.94629459381664,-14.498912,6.996072,37.7932711638256
image_0033,0,-2.37290282579194,-1.813833075297046,-3.866405,-0.24923745,21.436527001727345
image_0034,1,9.044220801234415,9.780749648206298,-5.2544317,-0.4686501,28.275087220447446
image_0035,0,-2.9980082983507246,12.621098460546543,2.6959014,0.55063635,23.076394336496474
image_0036,0,-7.699551762776941,11.242617114251916,3.0992396,1.8002675,18.288693088327253
image_0037,1,24.805477388980236,-12.933090201162283,-6.6386237,6.8080473,20.025922842449845
image_0038,0,-16.130757795451252,-10.796087471167128,1.6562375,-8.032786,17.123698726206207
image_0039,1,7.851799184297292,-0.15184359949170462,-5.2085505,2.1974008,21.457524673828157
image_0040,1,7.272821945933557,-8.16296081467376,-4.7462883,0.53957766,25.91827593181434
image_0041,0,-11.096439695050456,3.995957912167223,2.8196583,-1.6027215,13.699555365985933
image_0042,1,40.44651623546185,-25.075703493401,-9.309414,9.673033,31.5823113099374
image_0043,0,-7.306352954491947,-2.964641379685411,0.48179606,-3.971574,14.567651801778187
image_0044,1,25.25102691438452,-10.895609870822183,-6.191032,6.317977,19.778605607672848
image_0045,1,6.617309876491241,5.014092609649346,-5.302602,-1.3101323,29.26648718070038
image_0046,0,-0.4759442689788414,8.63615189419949,-4.5358725,-1.7448281,25.5872741972469
image_0047,0,-19.636513093298888,0.7607661135536957,6.147045,-4.768679,13.543022498808531
image_0048,0,0.8110380088613001,-5.178492819574765,-4.0624957,0.04249337,21.873178587703375
image_0049,0,-4.96504231218018,12.231221363651326,2.846573,1.9835218,22.697130934780635
image_0050,1,7.087621132834505,-11.424309253028387,-4.716485,4.6987305,30.751367136987675
image_0051,0,-11.044168242452848,7.658257213183426,4.0027413,0.45174664,17.473847495297555
image_0052,0,-29.347923832541433,7.5125133193284395,9.589245,-5.332723,19.353431456648032
image_0053,0,-23.43254530888865,-16.26785171086066,7.488562,-10.029878,24.46129307984374
image_0054,0,-30.155663900649092,-7.981218109364513,8.930016,-8.74512,21.771365493507286
image_0055,0,-12.868692694271461,9.929212096217277,4.994247,0.27916563,14.337108587769555
image_0056,0,-8.588865219350124,-5.028174588457543,0.3170969,-3.8985085,11.974028970421722
image_0057,0,-4.831829508217235,1.029795446804855,-1.1029731,-0.3964423,16.8172635046572
