image_name,cluster_label,pca_x,pca_y,tsne_x,tsne_y,distance_to_centroid
image_0001,0,0.7255231105311958,6.923648342758727,-1.05558,1.5141076,17.197561778258695
image_0002,0,-1.8974720459577754,2.3338558530246005,0.54166454,0.4734212,13.411718051458866
image_0003,0,-0.36605613520696567,0.8441813484516965,-0.061931424,-0.0029904204,15.657873976032853
image_0004,0,-32.415427178497815,1.182921168280688,12.614496,7.3708467,24.775504110228777
image_0005,0,-18.806808271967586,2.3224696273271275,7.966763,2.971396,12.590163260716478
image_0006,0,2.688213675091765,6.242677572989966,-1.4578111,1.0582948,18.007261931279626
image_0007,0,-20.47131001412144,3.0960856894859687,10.551129,4.290222,13.225773912088476
image_0008,0,0.5230249922927839,-0.7640345312647518,0.35304645,-0.55980265,14.75667652068677
image_0009,0,-7.8590135783344355,8.758783303525108,2.285846,3.347758,12.090902456732142
image_0010,0,-35.85877618265364,-1.2929955722238677,11.742889,7.60894,26.84104404429802
image_0011,0,-23.327455971736686,8.504672622466792,12.545243,4.8161774,18.003230568405627
image_0012,0,-9.631832127002268,2.8656999749853247,4.6860027,2.2850626,10.12712852540758
image_0013,0,3.666683968144312,10.898674953536515,-1.5487862,2.727961,22.02490467481657
image_0014,0,-23.71757251511546,10.63815643115726,10.730272,3.7296898,18.825351960095762
image_0015,0,1.7232467725095921,-6.762491321771219,-0.9008416,-2.6116927,19.08073403347899
image_0016,0,-9.959814849592352,3.9754200934566364,4.156024,2.663019,10.070283733766344
image_0017,0,-16.008443504629362,4.4426870247217325,9.683663,3.304019,11.93172218978628
image_0018,0,-21.3822655906031,2.8361690515996694,13.480651,4.879391,16.747541165092425
image_0019,0,-4.0147749981429435,6.30790705560264,1.6143055,2.4623032,16.565955441738755
image_0020,0,1.7054902028840917,8.471483193153507,-1.380649,2.293075,19.077719018611287
image_0021,0,-14.54701821505726,-2.4539186207056853,6.969589,2.1040642,8.740478800834028
image_0022,0,-3.742417446543032,6.04525077645845,2.9873817,2.5208454,15.903311806382536
