child_1,child_2,distance,n_observations
56.0,98.0,0.01921322158884975,2.0
92.0,97.0,0.024771958814028383,2.0
45.0,130.0,0.026498596429743282,2.0
129.0,166.0,0.03355928344139769,2.0
88.0,185.0,0.03676664313114353,3.0
74.0,151.0,0.039234893340131194,2.0
58.0,163.0,0.03923580756687606,2.0
125.0,187.0,0.04213298138659627,3.0
145.0,172.0,0.042713312242964374,2.0
47.0,141.0,0.04273830747532659,2.0
26.0,188.0,0.04416880915756627,3.0
65.0,77.0,0.04504991211234555,2.0
175.0,181.0,0.04700563488413312,2.0
183.0,192.0,0.0480690139539894,4.0
69.0,91.0,0.04968335542686697,2.0
25.0,34.0,0.052261613142773444,2.0
86.0,124.0,0.052578173237156745,2.0
119.0,200.0,0.055430186478177934,3.0
62.0,99.0,0.05577858992986395,2.0
9.0,114.0,0.056809937967523316,2.0
10.0,176.0,0.05897748580247808,2.0
93.0,199.0,0.06196054887385899,3.0
36.0,46.0,0.062333047139466635,2.0
14.0,30.0,0.06479832444535616,2.0
8.0,165.0,0.070080412207295,2.0
120.0,202.0,0.07092302093665685,4.0
103.0,121.0,0.07277666539279215,2.0
186.0,193.0,0.07288545338959343,4.0
53.0,189.0,0.0733383990617944,4.0
136.0,148.0,0.07381358365022583,2.0
105.0,195.0,0.07679614943631492,4.0
79.0,80.0,0.08158656912453854,2.0
139.0,173.0,0.08213701813847674,2.0
64.0,75.0,0.08248007702302118,2.0
22.0,44.0,0.08387857893373751,2.0
38.0,133.0,0.08535142563083709,2.0
198.0,215.0,0.08680876684099278,8.0
143.0,162.0,0.08746036749400454,2.0
61.0,85.0,0.08971117213553792,2.0
18.0,123.0,0.09051232182275071,2.0
191.0,213.0,0.09337902519338424,6.0
31.0,164.0,0.09428860189544419,2.0
108.0,210.0,0.09441513052603867,5.0
137.0,201.0,0.09550284400450765,3.0
3.0,211.0,0.09746182842793233,3.0
89.0,190.0,0.09783455580002481,3.0
1.0,15.0,0.09845351131458469,2.0
6.0,110.0,0.10246226914022738,2.0
49.0,227.0,0.10336295000099653,6.0
5.0,24.0,0.10403920022859747,2.0
102.0,205.0,0.10560060461650561,3.0
35.0,177.0,0.10600375697461006,2.0
180.0,194.0,0.10692845760701941,3.0
60.0,81.0,0.10917688167675232,2.0
7.0,233.0,0.10977669139358097,7.0
12.0,224.0,0.11181460841012958,3.0
83.0,134.0,0.11360406715271731,2.0
90.0,95.0,0.11366180126823833,2.0
160.0,222.0,0.1152403641229216,3.0
196.0,225.0,0.1181559860962797,8.0
147.0,149.0,0.11887049988914755,2.0
63.0,203.0,0.1198380376084403,3.0
29.0,52.0,0.12233965720925943,2.0
33.0,207.0,0.12428604262259219,3.0
127.0,218.0,0.12558424658260198,3.0
171.0,223.0,0.12639515376552368,3.0
204.0,235.0,0.12726773118819676,5.0
59.0,101.0,0.12745614053422527,2.0
107.0,234.0,0.1300820614503128,3.0
156.0,228.0,0.1319635312764735,4.0
111.0,237.0,0.13410708655954937,4.0
109.0,240.0,0.13428418861069039,4.0
197.0,221.0,0.13568166871369897,10.0
209.0,248.0,0.1373043177716136,5.0
208.0,232.0,0.1377739288483219,4.0
32.0,220.0,0.13805079963038192,3.0
37.0,39.0,0.14099317661245458,2.0
206.0,244.0,0.14226775103497552,11.0
55.0,78.0,0.1473182146891412,2.0
72.0,159.0,0.14964652931115718,2.0
131.0,169.0,0.14984188708694834,2.0
67.0,155.0,0.14989462936990694,2.0
179.0,252.0,0.15039092621187544,3.0
4.0,118.0,0.1543376910515537,2.0
236.0,257.0,0.1545700898860431,12.0
132.0,214.0,0.1549753508955823,3.0
212.0,230.0,0.1567855264281075,7.0
104.0,245.0,0.15746078296941646,3.0
243.0,255.0,0.1622327495181444,7.0
42.0,262.0,0.16250660206194834,12.0
150.0,184.0,0.1655749389665342,2.0
16.0,19.0,0.1657137011008436,2.0
96.0,247.0,0.16763265646833458,3.0
21.0,216.0,0.16841496746944384,3.0
142.0,241.0,0.17241981799308503,3.0
2.0,57.0,0.173052190931278,2.0
251.0,253.0,0.17604390074462004,8.0
23.0,106.0,0.17733110307702826,2.0
239.0,267.0,0.17951534862192328,10.0
17.0,43.0,0.18465119275706643,2.0
66.0,68.0,0.18571586148777364,2.0
100.0,266.0,0.18732478741345615,3.0
0.0,87.0,0.19083311350301435,2.0
41.0,229.0,0.1908825364892289,4.0
242.0,271.0,0.20075621785419645,9.0
178.0,268.0,0.205366334197793,3.0
138.0,174.0,0.2059160236308465,2.0
281.0,282.0,0.2106504410330634,10.0
269.0,273.0,0.2190454598365153,19.0
122.0,256.0,0.21953382265754795,5.0
153.0,161.0,0.22033973068895452,2.0
258.0,260.0,0.22074111594968832,8.0
115.0,219.0,0.22113264690950046,3.0
250.0,290.0,0.2216460106812667,6.0
249.0,254.0,0.2242089340868949,7.0
246.0,274.0,0.22698242115255285,15.0
259.0,275.0,0.23104996591930865,6.0
94.0,300.0,0.24050119751066254,16.0
140.0,272.0,0.2443998744623186,4.0
82.0,126.0,0.24446294458213058,2.0
113.0,286.0,0.2506316048011446,4.0
217.0,289.0,0.2596334647602537,11.0
226.0,293.0,0.26293400781408754,21.0
288.0,294.0,0.27102353192984674,9.0
76.0,276.0,0.275803188615097,3.0
283.0,296.0,0.27650501408749284,18.0
285.0,302.0,0.2810193240260784,18.0
263.0,295.0,0.2830491550565939,4.0
158.0,168.0,0.28463606266384833,2.0
152.0,182.0,0.2858684921800281,2.0
11.0,304.0,0.2884201886173486,3.0
40.0,238.0,0.29353843123770235,3.0
28.0,117.0,0.29651480293154175,2.0
265.0,299.0,0.29952245772750047,9.0
231.0,297.0,0.3034991083043545,5.0
116.0,291.0,0.3064324738174309,3.0
50.0,292.0,0.3082111547243659,11.0
13.0,84.0,0.3089847115743032,2.0
