child_1,child_2,distance,n_observations
114.0,150.0,0.12564158548449977,2.0
3.0,20.0,0.15590133041445675,2.0
123.0,185.0,0.16223159314802293,3.0
122.0,187.0,0.19338490005098533,4.0
143.0,149.0,0.2114527579430714,2.0
2.0,107.0,0.21238441926758778,2.0
9.0,108.0,0.22082550159027414,2.0
111.0,116.0,0.22772805307452104,2.0
81.0,82.0,0.23045189540437672,2.0
38.0,153.0,0.23326200767528216,2.0
131.0,159.0,0.2346842751760787,2.0
126.0,130.0,0.23509938847145917,2.0
13.0,188.0,0.23968650624896007,5.0
32.0,88.0,0.2433677083911412,2.0
104.0,124.0,0.2495967882910789,2.0
4.0,50.0,0.25382915666572237,2.0
152.0,169.0,0.2556158888528348,2.0
190.0,197.0,0.26117462687664145,7.0
139.0,173.0,0.26873033223003673,2.0
101.0,106.0,0.27575942234646256,2.0
66.0,127.0,0.27612498253154094,2.0
177.0,178.0,0.27616613302120596,2.0
113.0,163.0,0.2774183148466788,2.0
67.0,194.0,0.28145006669207084,3.0
179.0,204.0,0.28195275302778144,3.0
30.0,76.0,0.2830946417518204,2.0
6.0,69.0,0.28612739210200877,2.0
26.0,29.0,0.28792871460020963,2.0
37.0,87.0,0.2901494666979175,2.0
133.0,184.0,0.2905433540591549,2.0
134.0,144.0,0.30819037479343847,2.0
200.0,202.0,0.3087863920524902,9.0
196.0,199.0,0.31526351971310534,4.0
14.0,42.0,0.31704584061815755,2.0
22.0,94.0,0.3176664433807467,2.0
0.0,17.0,0.31795976777870283,2.0
15.0,121.0,0.31875821922216496,2.0
102.0,191.0,0.32003205255096584,3.0
183.0,192.0,0.3278773497634535,3.0
189.0,214.0,0.33261859827223805,4.0
59.0,119.0,0.3337568203691106,2.0
142.0,171.0,0.3351293652150116,2.0
7.0,221.0,0.33636206104851407,3.0
35.0,44.0,0.33990019588729836,2.0
135.0,154.0,0.3409571020973641,2.0
46.0,195.0,0.3414160302812275,3.0
51.0,65.0,0.3483140460892319,2.0
39.0,213.0,0.35193734982360464,3.0
25.0,140.0,0.3561939794485295,2.0
78.0,206.0,0.3592677114885633,3.0
151.0,203.0,0.3619277540892132,3.0
186.0,216.0,0.3624749234195934,11.0
74.0,89.0,0.3627486561350115,2.0
49.0,110.0,0.37009288884955394,2.0
1.0,21.0,0.37101824658129534,2.0
28.0,61.0,0.37388744869210555,2.0
166.0,226.0,0.3776106330259409,3.0
176.0,222.0,0.3784990073464852,4.0
47.0,72.0,0.3792295747707638,2.0
167.0,212.0,0.381854034604716,3.0
137.0,230.0,0.38500724011129456,4.0
217.0,223.0,0.38916442332456463,7.0
8.0,198.0,0.3912435656134955,3.0
165.0,224.0,0.398079390947491,5.0
182.0,235.0,0.40067149261596474,4.0
100.0,109.0,0.4049155643331881,2.0
92.0,118.0,0.4057285753470735,2.0
210.0,219.0,0.40754593328283695,4.0
11.0,77.0,0.40964841640202265,2.0
158.0,172.0,0.4101696680603363,2.0
12.0,120.0,0.4117458732005974,2.0
168.0,174.0,0.41340270085682773,2.0
31.0,209.0,0.41641969654079586,4.0
10.0,242.0,0.41684905044139836,5.0
208.0,229.0,0.41867059820543684,5.0
147.0,215.0,0.4187610940833738,3.0
207.0,241.0,0.42158960649132754,5.0
18.0,252.0,0.4221934078933255,5.0
138.0,160.0,0.42509804480962143,2.0
80.0,201.0,0.4298137247742918,3.0
90.0,148.0,0.4327049919194692,2.0
52.0,251.0,0.4348623164843959,3.0
27.0,244.0,0.4384752364982707,4.0
60.0,79.0,0.44089724234269,2.0
24.0,115.0,0.44589415380247976,2.0
162.0,164.0,0.44788463841493464,2.0
36.0,70.0,0.44983965728773956,2.0
132.0,260.0,0.4527905612456056,4.0
40.0,91.0,0.4588741758481917,2.0
220.0,258.0,0.4596200887269183,7.0
205.0,246.0,0.46165388437971755,9.0
211.0,262.0,0.47355636808563756,7.0
103.0,239.0,0.4754237528155788,3.0
5.0,45.0,0.48035066267105264,2.0
248.0,275.0,0.48039129957963866,14.0
145.0,245.0,0.48062332859812246,5.0
54.0,264.0,0.4826731897083985,4.0
33.0,48.0,0.48587522189782684,2.0
73.0,95.0,0.4870506955034818,2.0
180.0,234.0,0.4877154421853997,4.0
57.0,253.0,0.489285337351523,3.0
175.0,261.0,0.48952016463780523,6.0
68.0,265.0,0.4916098922105072,3.0
41.0,227.0,0.49313161399213623,4.0
55.0,86.0,0.4962062090548469,2.0
193.0,231.0,0.49828068678854526,4.0
240.0,247.0,0.49828971932208316,5.0
83.0,129.0,0.49934011597025807,2.0
228.0,273.0,0.5148514381237252,4.0
105.0,128.0,0.5159518700754784,2.0
243.0,255.0,0.5160858171150855,4.0
64.0,75.0,0.523994685994241,2.0
249.0,259.0,0.524135639867798,9.0
266.0,278.0,0.5257419811302725,5.0
181.0,225.0,0.526140697708726,3.0
238.0,286.0,0.5284335695512133,8.0
43.0,257.0,0.5381750596931709,5.0
232.0,289.0,0.5470991102076843,5.0
19.0,284.0,0.5480214293337184,5.0
