child_1,child_2,distance,n_observations
105.0,161.0,0.07229202938853962,2.0
43.0,44.0,0.0952207859717703,2.0
24.0,36.0,0.09796808965523551,2.0
56.0,62.0,0.10319228388972557,2.0
58.0,82.0,0.1120505373384919,2.0
13.0,175.0,0.12422600565722919,2.0
113.0,128.0,0.1244007119031536,2.0
51.0,81.0,0.12572523223741605,2.0
61.0,83.0,0.12609570352395594,2.0
45.0,106.0,0.1286352727407698,2.0
103.0,121.0,0.13697848077590202,2.0
71.0,73.0,0.14160154264204672,2.0
125.0,186.0,0.14175139053535102,3.0
117.0,183.0,0.1429829436679806,2.0
7.0,88.0,0.14757493642580632,2.0
63.0,96.0,0.15052343872348228,2.0
67.0,141.0,0.15172603656416672,2.0
166.0,167.0,0.15359513620298504,2.0
119.0,185.0,0.16517068546859015,3.0
77.0,132.0,0.1658534411099053,2.0
49.0,197.0,0.1706790995414441,4.0
92.0,196.0,0.1728538889158333,3.0
32.0,38.0,0.17430111082631572,2.0
10.0,18.0,0.17441774613303862,2.0
133.0,138.0,0.17508707055026906,2.0
188.0,204.0,0.179957552247739,4.0
100.0,179.0,0.1799769979846657,2.0
34.0,90.0,0.1826130367737927,2.0
16.0,31.0,0.1832686112383426,2.0
127.0,146.0,0.1838416082372547,2.0
0.0,193.0,0.18445962512664688,3.0
131.0,142.0,0.184661771822355,2.0
109.0,112.0,0.18619922842505388,2.0
22.0,152.0,0.1866579993725932,2.0
135.0,137.0,0.18698231134984022,2.0
115.0,187.0,0.18748346056853948,3.0
195.0,220.0,0.19096381557478082,5.0
69.0,70.0,0.1992286827975075,2.0
189.0,192.0,0.20083013279465625,4.0
104.0,111.0,0.20412785882882545,2.0
17.0,208.0,0.20577568836911125,3.0
110.0,114.0,0.20594474547783137,2.0
39.0,200.0,0.20833535366059475,3.0
65.0,85.0,0.20922533257788722,2.0
122.0,190.0,0.2159300815048248,3.0
29.0,46.0,0.2180463678094242,2.0
108.0,211.0,0.22080538563204183,3.0
143.0,169.0,0.22874967414382352,2.0
170.0,202.0,0.22895564880522878,3.0
91.0,94.0,0.23104744602432015,2.0
206.0,210.0,0.23259227833482665,7.0
1.0,41.0,0.2356169407705515,2.0
14.0,102.0,0.23905813761932893,2.0
89.0,95.0,0.2415699272009788,2.0
57.0,184.0,0.24221284239286933,2.0
86.0,178.0,0.24259479976304466,2.0
40.0,78.0,0.2435008985028636,2.0
158.0,177.0,0.24459503557946982,2.0
23.0,156.0,0.24637521625331527,2.0
134.0,214.0,0.25359154245586935,3.0
120.0,221.0,0.2571057755946819,6.0
194.0,237.0,0.25736122507555304,4.0
171.0,182.0,0.25748905114517606,2.0
205.0,207.0,0.25932266517145913,6.0
20.0,165.0,0.2601608919392283,2.0
224.0,229.0,0.2623251198022531,5.0
191.0,203.0,0.26293301722037765,5.0
35.0,173.0,0.265309707722438,2.0
12.0,164.0,0.266196658372971,2.0
215.0,228.0,0.2677342840881499,5.0
11.0,93.0,0.27053332469893854,2.0
68.0,107.0,0.2762855886438257,2.0
54.0,227.0,0.2775366650633346,4.0
97.0,222.0,0.27940572053341073,3.0
52.0,64.0,0.28133093533718123,2.0
223.0,235.0,0.2821964793379782,11.0
153.0,209.0,0.28375330927624043,3.0
42.0,48.0,0.2863503552514446,2.0
180.0,244.0,0.2875389823711386,4.0
159.0,247.0,0.28798164033951645,3.0
123.0,226.0,0.2915338247730254,3.0
218.0,231.0,0.29292831670332875,5.0
157.0,176.0,0.3020295964202272,2.0
144.0,148.0,0.3021473190947388,2.0
199.0,236.0,0.30256271422046943,4.0
232.0,246.0,0.3041848947783082,6.0
84.0,234.0,0.3045892527431187,3.0
245.0,251.0,0.3053253296885262,11.0
8.0,27.0,0.31135098262945826,2.0
5.0,30.0,0.31386751205687213,2.0
233.0,250.0,0.3187819295434785,8.0
130.0,155.0,0.3274743654127893,2.0
140.0,216.0,0.3276804284748555,3.0
151.0,154.0,0.3301428823975343,2.0
212.0,248.0,0.3301532435360974,8.0
149.0,268.0,0.33600729033630605,3.0
201.0,275.0,0.3378478489500718,10.0
60.0,254.0,0.3435174310380241,6.0
238.0,271.0,0.3450932392644364,5.0
147.0,162.0,0.3478960806986656,2.0
87.0,267.0,0.34864452702817383,3.0
219.0,263.0,0.35490775715931255,6.0
198.0,217.0,0.3567903772808148,4.0
80.0,145.0,0.3574813322650777,2.0
225.0,287.0,0.35944272364120605,7.0
139.0,243.0,0.36770053277066356,3.0
75.0,259.0,0.3745713184874437,3.0
59.0,274.0,0.3770076802389527,3.0
55.0,265.0,0.3775328103174626,4.0
101.0,258.0,0.37969036637235815,4.0
99.0,272.0,0.3833098687457792,12.0
126.0,150.0,0.3858024625685845,2.0
3.0,269.0,0.3858406632296285,5.0
118.0,256.0,0.386955239659726,3.0
257.0,282.0,0.3928550109295432,10.0
266.0,289.0,0.397931582047519,12.0
79.0,279.0,0.39811965841859104,9.0
4.0,270.0,0.4002912672797219,7.0
241.0,252.0,0.40480808736563856,4.0
240.0,255.0,0.40666401613091563,4.0
19.0,66.0,0.407199705785687,2.0
276.0,284.0,0.4077995113504788,4.0
76.0,294.0,0.4099879594773102,5.0
168.0,264.0,0.4208159375656451,4.0
47.0,213.0,0.4265476569018434,3.0
53.0,291.0,0.4411623333126938,4.0
261.0,278.0,0.4418745810254165,5.0
242.0,293.0,0.44286093676959704,6.0
74.0,311.0,0.4462813329820783,6.0
253.0,300.0,0.4480943723273197,14.0
295.0,301.0,0.45592152888368687,21.0
260.0,288.0,0.4562014728343774,13.0
28.0,292.0,0.46000432081593884,4.0
21.0,124.0,0.4632755591724891,2.0
230.0,303.0,0.4640619719257676,6.0
98.0,262.0,0.46728215307782356,3.0
290.0,305.0,0.4723572091247279,5.0
160.0,181.0,0.4730993929495364,2.0
299.0,316.0,0.47624022169485314,23.0
116.0,273.0,0.47762537196815025,3.0
239.0,281.0,0.4817053381150782,12.0
129.0,314.0,0.48274862105983035,15.0
249.0,277.0,0.4880108035138811,5.0
174.0,280.0,0.49894316817073286,4.0
286.0,313.0,0.5032820696468002,12.0
285.0,309.0,0.508753931580365,6.0
25.0,26.0,0.5097294844991447,2.0
283.0,307.0,0.5123505190545778,10.0
136.0,327.0,0.5219350352493868,6.0
308.0,312.0,0.5358514301008488,10.0
296.0,302.0,0.54212994946174,9.0
6.0,297.0,0.5500331641387021,6.0
9.0,324.0,0.5594451519051972,4.0
163.0,335.0,0.5690742964936797,10.0
33.0,306.0,0.5699560820003997,5.0
50.0,336.0,0.573397453724687,7.0
298.0,326.0,0.5767089416279042,18.0
15.0,319.0,0.5898106233074638,7.0
37.0,333.0,0.5963722310641809,7.0
338.0,341.0,0.5981018520574272,28.0
318.0,321.0,0.6095809006990907,7.0
315.0,344.0,0.6247343086514201,49.0
330.0,332.0,0.6337470097674076,16.0
2.0,334.0,0.6349775574706783,11.0
329.0,342.0,0.6352123073119308,19.0
320.0,343.0,0.6392624401405653,10.0
325.0,331.0,0.658367974010196,14.0
328.0,339.0,0.6864129638412411,9.0
304.0,323.0,0.6978260334151997,27.0
337.0,345.0,0.7174420793152445,11.0
322.0,340.0,0.7197056692007988,9.0
72.0,352.0,0.7418449173437904,10.0
317.0,350.0,0.7488540929726282,14.0
172.0,349.0,0.7549574536480388,20.0
347.0,355.0,0.7586537880476563,25.0
351.0,353.0,0.7645002451366566,41.0
348.0,360.0,0.7825969051457612,52.0
356.0,358.0,0.8317566090757362,30.0
346.0,362.0,0.87901280205328,79.0
310.0,357.0,0.8863933767628892,18.0
359.0,361.0,0.9128844342409266,77.0
354.0,363.0,0.9385446936009455,90.0
364.0,365.0,0.9550165223248528,95.0
366.0,367.0,1.2071624698931596,185.0
