child_1,child_2,distance,n_observations
26.0,44.0,0.10594188256260795,2.0
30.0,73.0,0.11827209673143446,2.0
112.0,167.0,0.1404055651341407,2.0
110.0,150.0,0.14213065678014425,2.0
96.0,160.0,0.14358928912597613,2.0
6.0,16.0,0.1496532971471758,2.0
45.0,46.0,0.15907657414728182,2.0
92.0,186.0,0.16290168428304846,3.0
32.0,42.0,0.16609451061402736,2.0
111.0,187.0,0.16772733959200492,3.0
116.0,121.0,0.17647076863428435,2.0
7.0,74.0,0.1801365538414551,2.0
190.0,192.0,0.18052535949669837,5.0
75.0,102.0,0.1841282792743244,2.0
40.0,193.0,0.18696906970166188,3.0
84.0,130.0,0.2063721555391731,2.0
176.0,183.0,0.20884874872203485,2.0
4.0,93.0,0.21125489543758902,2.0
29.0,47.0,0.21309111016722204,2.0
54.0,82.0,0.21564092860423711,2.0
144.0,179.0,0.21978741115048328,2.0
1.0,76.0,0.21990637240159128,2.0
122.0,123.0,0.2201807720210145,2.0
24.0,185.0,0.2257072703060778,3.0
95.0,98.0,0.225763208468429,2.0
35.0,109.0,0.23495205975521638,2.0
145.0,154.0,0.23575809019336713,2.0
68.0,155.0,0.2375109045720616,2.0
126.0,165.0,0.23787152042045867,2.0
138.0,173.0,0.24165238923920995,2.0
52.0,97.0,0.24289010283923262,2.0
159.0,201.0,0.24450400262401,3.0
10.0,107.0,0.245100046516468,2.0
51.0,60.0,0.24633380222350632,2.0
9.0,146.0,0.2502520716365918,2.0
43.0,208.0,0.251551107160206,4.0
139.0,216.0,0.25332256608132864,4.0
162.0,178.0,0.25427427224034993,2.0
56.0,119.0,0.2572962147595461,2.0
174.0,182.0,0.261283559116696,2.0
100.0,180.0,0.26202346172557023,2.0
143.0,189.0,0.26512464945059727,3.0
37.0,199.0,0.26559829008901753,4.0
94.0,197.0,0.2665302503045404,6.0
28.0,34.0,0.26804406127044966,2.0
20.0,133.0,0.2689508816566525,2.0
3.0,23.0,0.27017871654392245,2.0
104.0,170.0,0.27510848251227493,2.0
22.0,91.0,0.2762256763747344,2.0
71.0,169.0,0.2780992253696436,2.0
89.0,101.0,0.2797423455110164,2.0
78.0,141.0,0.28004201251690763,2.0
113.0,124.0,0.2835961600098367,2.0
80.0,188.0,0.285686386754436,3.0
36.0,228.0,0.28969992687763435,7.0
59.0,212.0,0.29545618171342414,3.0
140.0,152.0,0.29744586848014243,2.0
38.0,41.0,0.31100756107994854,2.0
61.0,163.0,0.31370477586199763,2.0
33.0,49.0,0.31464250850597075,2.0
88.0,137.0,0.31652593209635727,2.0
50.0,148.0,0.3205587318555376,2.0
168.0,175.0,0.32134922326095616,2.0
202.0,226.0,0.32506765353794376,5.0
196.0,206.0,0.3252743588112573,4.0
232.0,233.0,0.3261688782907829,4.0
156.0,171.0,0.3263939575064849,2.0
19.0,103.0,0.32662046627147046,2.0
69.0,204.0,0.32688930335114547,3.0
118.0,234.0,0.3289330218908933,3.0
0.0,131.0,0.3302204627060302,2.0
27.0,227.0,0.3333645839458634,5.0
210.0,220.0,0.3377680414580946,6.0
114.0,158.0,0.3412007284535785,2.0
79.0,217.0,0.34213652831749386,3.0
135.0,246.0,0.34366507731921514,3.0
211.0,251.0,0.34466176086209677,4.0
205.0,248.0,0.34596741494790395,7.0
149.0,166.0,0.3561152469366494,2.0
213.0,250.0,0.35887027122502463,6.0
62.0,64.0,0.363017472016964,2.0
194.0,214.0,0.3654365734432777,5.0
99.0,164.0,0.36686159204974356,2.0
105.0,224.0,0.3675188219110102,3.0
21.0,195.0,0.36763232951579294,3.0
221.0,241.0,0.3678114155008606,6.0
18.0,249.0,0.36822205912790096,5.0
207.0,238.0,0.3691059213044805,5.0
13.0,115.0,0.37245572554833717,2.0
200.0,253.0,0.3787418009796613,5.0
203.0,256.0,0.379185055286653,7.0
177.0,181.0,0.3807247412007113,2.0
239.0,271.0,0.38645206477799143,12.0
5.0,257.0,0.3869925165985408,7.0
222.0,240.0,0.3901005742184815,5.0
219.0,230.0,0.4007624957995142,4.0
254.0,274.0,0.4038074257487335,8.0
218.0,261.0,0.4096317379028976,6.0
172.0,259.0,0.41058365289859206,4.0
65.0,209.0,0.4182998180142107,3.0
151.0,243.0,0.41999201724688473,3.0
236.0,262.0,0.4201554151678038,9.0
85.0,90.0,0.42027398115597236,2.0
225.0,266.0,0.42105563917944433,7.0
48.0,184.0,0.4240134595884111,2.0
147.0,235.0,0.42417763284550897,3.0
117.0,258.0,0.42526943310804716,3.0
53.0,77.0,0.4257613941163798,2.0
8.0,237.0,0.42633606263743373,3.0
106.0,120.0,0.42759782159129467,2.0
252.0,269.0,0.42976781896603755,5.0
31.0,108.0,0.43367294826073577,2.0
229.0,275.0,0.4376404112266794,9.0
128.0,134.0,0.44041051863076264,2.0
81.0,255.0,0.4417786002109524,3.0
157.0,279.0,0.4433419198712346,6.0
270.0,282.0,0.4494374093051305,12.0
283.0,286.0,0.4565738628934041,13.0
11.0,297.0,0.4662530553798241,10.0
264.0,281.0,0.4668740802741452,14.0
215.0,267.0,0.4677414300124433,4.0
39.0,242.0,0.46850313739586713,3.0
66.0,223.0,0.4724207802744137,3.0
17.0,87.0,0.4779580463700086,2.0
25.0,244.0,0.4788634329790489,3.0
127.0,292.0,0.480170858560323,3.0
72.0,231.0,0.4804807277704973,3.0
272.0,288.0,0.48188551573778954,12.0
132.0,293.0,0.4851417695457392,4.0
142.0,290.0,0.49003288313535337,4.0
125.0,280.0,0.4902130127684823,5.0
129.0,276.0,0.49312421187499,3.0
70.0,247.0,0.4989586735675945,3.0
14.0,260.0,0.5002034902248004,4.0
191.0,277.0,0.5034821238195667,14.0
245.0,298.0,0.5045123946042387,4.0
67.0,291.0,0.5049644873207512,4.0
2.0,265.0,0.5228531264902764,3.0
278.0,285.0,0.5298728794882176,10.0
83.0,295.0,0.5362653591043285,6.0
268.0,294.0,0.5478100708721182,5.0
314.0,322.0,0.5500948010429992,7.0
15.0,304.0,0.5611635200338984,15.0
198.0,284.0,0.5678227163229145,5.0
306.0,313.0,0.5753514673001217,7.0
305.0,326.0,0.5823312046460565,11.0
300.0,317.0,0.5830683707203027,9.0
86.0,263.0,0.5833916666819157,3.0
301.0,315.0,0.5883550124721787,17.0
323.0,329.0,0.595867845506994,17.0
63.0,161.0,0.6024411173940186,2.0
296.0,302.0,0.6050160963570517,15.0
136.0,318.0,0.6144337222077485,5.0
58.0,328.0,0.6192939792127146,6.0
303.0,309.0,0.6223482318699721,13.0
273.0,308.0,0.6301736805552217,4.0
319.0,327.0,0.6333134078616386,29.0
55.0,299.0,0.6386791435269515,4.0
316.0,330.0,0.6404080610306223,14.0
287.0,331.0,0.6447186208395586,11.0
312.0,321.0,0.6522163759963765,16.0
307.0,325.0,0.6568799025316622,8.0
57.0,310.0,0.6667505312621782,4.0
153.0,337.0,0.6668910295847655,6.0
332.0,333.0,0.6702476357471777,20.0
336.0,343.0,0.6860493879543563,29.0
334.0,339.0,0.6953450845198113,30.0
345.0,349.0,0.6990503533074485,36.0
311.0,348.0,0.7065657173753213,9.0
335.0,344.0,0.7067046756340806,13.0
320.0,338.0,0.7228264731312217,10.0
12.0,352.0,0.727810372726677,37.0
324.0,354.0,0.7311798849011901,19.0
289.0,342.0,0.7374891681403196,6.0
341.0,355.0,0.7418859394536786,39.0
340.0,351.0,0.7751039779232587,34.0
346.0,357.0,0.8342398408820203,27.0
347.0,350.0,0.8489718846912411,33.0
356.0,358.0,0.9041585651517283,43.0
360.0,361.0,0.921638277111065,61.0
353.0,359.0,0.9225645089854236,48.0
362.0,363.0,0.9634875835366621,76.0
364.0,365.0,1.0397289517121837,109.0
366.0,367.0,1.142418684750846,185.0
