child_1,child_2,distance,n_observations
135.0,146.0,0.07389050573923017,2.0
25.0,31.0,0.0808450887928055,2.0
35.0,37.0,0.08113512162599845,2.0
59.0,161.0,0.08813880871966495,2.0
113.0,166.0,0.10144988577862146,2.0
79.0,110.0,0.12069371646702687,2.0
151.0,152.0,0.12589765860894608,2.0
40.0,145.0,0.12729883572748357,2.0
13.0,20.0,0.1318231092756409,2.0
14.0,178.0,0.13401978106779155,2.0
115.0,159.0,0.13498253872624166,2.0
19.0,71.0,0.1403701871082842,2.0
27.0,138.0,0.14174685197291503,2.0
162.0,175.0,0.14801023662544466,2.0
9.0,91.0,0.14826776880045056,2.0
64.0,67.0,0.1495538621042275,2.0
106.0,189.0,0.14988621755720094,3.0
56.0,100.0,0.15732319300764164,2.0
43.0,186.0,0.15831115080017005,3.0
30.0,38.0,0.16684143280659358,2.0
2.0,196.0,0.1681611175264084,3.0
66.0,117.0,0.1683136280556714,2.0
72.0,85.0,0.1701220904770704,2.0
8.0,68.0,0.1730270472396802,2.0
128.0,191.0,0.17438062853161568,3.0
116.0,124.0,0.1750240240852723,2.0
82.0,95.0,0.1750558094738156,2.0
149.0,172.0,0.17612170356049484,2.0
167.0,197.0,0.17794157647601794,3.0
47.0,187.0,0.17932479403347834,3.0
32.0,33.0,0.17944312500337767,2.0
1.0,23.0,0.18037440117452053,2.0
45.0,48.0,0.18289309065449588,2.0
184.0,195.0,0.18306259397828978,3.0
26.0,36.0,0.185857948446988,2.0
28.0,214.0,0.1865561605414138,4.0
104.0,154.0,0.18828121329280534,2.0
29.0,180.0,0.19060000133390353,2.0
130.0,163.0,0.1917758685247115,2.0
58.0,62.0,0.19401578393762997,2.0
39.0,112.0,0.19806435629067976,2.0
42.0,147.0,0.19851614761761271,2.0
55.0,193.0,0.20011486261120714,3.0
51.0,103.0,0.20446151075304275,2.0
125.0,153.0,0.20597155179790183,2.0
7.0,89.0,0.2064203480957678,2.0
129.0,217.0,0.20707411701490003,3.0
134.0,136.0,0.2105963335532285,2.0
6.0,12.0,0.21267141803098144,2.0
17.0,54.0,0.21278222195554852,2.0
111.0,179.0,0.21667290842229414,2.0
53.0,114.0,0.22068875102249763,2.0
150.0,228.0,0.22088912882254147,3.0
78.0,80.0,0.22369690265358322,2.0
0.0,208.0,0.22391612414093037,3.0
4.0,190.0,0.22718470328729545,3.0
165.0,212.0,0.22948071065068593,3.0
93.0,123.0,0.23061563389242679,2.0
41.0,75.0,0.23103378851001766,2.0
133.0,185.0,0.2336558820318228,3.0
209.0,215.0,0.2341519167029998,5.0
99.0,200.0,0.23842989949878912,3.0
120.0,140.0,0.2387773568647905,2.0
69.0,122.0,0.24071965248662697,2.0
10.0,205.0,0.24692677679611294,4.0
16.0,21.0,0.24787294904267043,2.0
60.0,183.0,0.25316910187934516,2.0
97.0,98.0,0.2541439276191195,2.0
164.0,246.0,0.2547117880300307,4.0
96.0,176.0,0.2556894178105248,2.0
44.0,203.0,0.26068344395682586,4.0
70.0,90.0,0.2657412036413901,2.0
157.0,237.0,0.2675906267977325,4.0
194.0,236.0,0.26759777737437795,4.0
137.0,245.0,0.26762712775002884,6.0
46.0,143.0,0.2727332799415402,2.0
213.0,222.0,0.2743060233769329,5.0
170.0,177.0,0.2756984274846763,2.0
119.0,220.0,0.27656366363541934,5.0
199.0,230.0,0.2777713881768511,4.0
65.0,207.0,0.2778302898178482,3.0
173.0,174.0,0.2780637790572653,2.0
169.0,247.0,0.27903744851115786,3.0
74.0,206.0,0.27979793008968074,3.0
3.0,249.0,0.2820429977947575,5.0
202.0,240.0,0.28329419846301124,5.0
18.0,221.0,0.2884566804586956,3.0
15.0,264.0,0.2885541536237278,5.0
34.0,219.0,0.2950166939358291,3.0
108.0,218.0,0.29504325483216304,4.0
118.0,210.0,0.29836661067575704,3.0
127.0,260.0,0.2988221014390746,3.0
181.0,252.0,0.29984240060870626,3.0
57.0,257.0,0.3028512229190465,5.0
92.0,243.0,0.30313234494395674,3.0
52.0,182.0,0.3039415795545908,2.0
49.0,141.0,0.30650045517926405,2.0
107.0,160.0,0.3080765308044071,2.0
156.0,241.0,0.3108889633104111,4.0
204.0,253.0,0.3112745608765555,6.0
121.0,239.0,0.313650828435105,4.0
142.0,192.0,0.31658453345506365,3.0
216.0,258.0,0.3214637659275098,6.0
63.0,158.0,0.3271344101181546,2.0
88.0,155.0,0.32958443924133285,2.0
263.0,273.0,0.33549873931240715,8.0
254.0,270.0,0.3492843184454434,7.0
201.0,251.0,0.3498293346711384,5.0
132.0,226.0,0.3520960093769468,3.0
84.0,288.0,0.35534320229884897,3.0
188.0,287.0,0.35634984647589746,8.0
73.0,198.0,0.36063742724650283,3.0
83.0,168.0,0.3649433532214055,2.0
256.0,277.0,0.36682493175426895,5.0
286.0,289.0,0.3668386103512108,5.0
244.0,259.0,0.3698258976534125,9.0
211.0,227.0,0.3732972797408647,5.0
224.0,268.0,0.3768061726196512,5.0
266.0,275.0,0.37825472788123204,5.0
61.0,285.0,0.3785559528130218,5.0
231.0,281.0,0.38203744045878585,5.0
77.0,298.0,0.38362456490826585,6.0
126.0,148.0,0.3843180486406448,2.0
5.0,102.0,0.38468609756223693,2.0
271.0,272.0,0.38539634125978905,8.0
235.0,276.0,0.3894881156389536,5.0
139.0,300.0,0.3919860439224134,10.0
87.0,234.0,0.397597516334869,3.0
109.0,242.0,0.4017371299066388,3.0
94.0,265.0,0.40382231318033485,4.0
269.0,295.0,0.41530621850863425,13.0
101.0,225.0,0.4172862984547422,3.0
282.0,303.0,0.41738224386951417,7.0
131.0,238.0,0.41885437886901344,3.0
250.0,309.0,0.41919948628232767,10.0
232.0,311.0,0.42140846827853695,12.0
105.0,297.0,0.4403719006114507,3.0
267.0,280.0,0.44227431817303237,5.0
11.0,284.0,0.4478992508788144,7.0
144.0,261.0,0.4492722280001786,6.0
278.0,296.0,0.45653181242956825,8.0
274.0,279.0,0.46752295438519176,7.0
24.0,292.0,0.46783585824526064,6.0
283.0,293.0,0.47064390156555325,7.0
290.0,328.0,0.4878819486034575,15.0
299.0,320.0,0.48795286278206523,17.0
255.0,310.0,0.4920968564237597,9.0
312.0,319.0,0.4930765827847193,13.0
76.0,302.0,0.4945732452641467,6.0
86.0,223.0,0.4954926558708421,3.0
314.0,323.0,0.4955057804612978,11.0
305.0,331.0,0.505966556744692,14.0
291.0,304.0,0.5100545283485788,12.0
229.0,330.0,0.5197180984141294,19.0
301.0,306.0,0.5245125879762141,11.0
315.0,321.0,0.5252404224166946,16.0
307.0,334.0,0.5354650567610193,5.0
318.0,322.0,0.5421797991260017,8.0
233.0,326.0,0.5434346125168531,9.0
81.0,333.0,0.5624112996101736,7.0
294.0,339.0,0.5650611044365242,14.0
316.0,337.0,0.5661882381791575,15.0
308.0,343.0,0.5858716242544274,11.0
338.0,342.0,0.5991518375922432,27.0
248.0,327.0,0.6115982943714902,8.0
346.0,349.0,0.6286469924151388,23.0
313.0,340.0,0.6287658365834135,19.0
317.0,344.0,0.6522727579236471,14.0
22.0,335.0,0.6600039848395375,12.0
325.0,352.0,0.6924487408863162,22.0
