child_1,child_2,distance,n_observations
53.0,65.0,0.1398046573802092,2.0
57.0,68.0,0.14021782583852482,2.0
83.0,164.0,0.17037032257074292,2.0
51.0,167.0,0.17154916031580436,2.0
165.0,178.0,0.175979974905334,2.0
168.0,185.0,0.1827071690562998,3.0
89.0,127.0,0.1853161259859636,2.0
142.0,147.0,0.19066260103562926,2.0
67.0,186.0,0.19147093480998,3.0
159.0,162.0,0.1963825130143365,2.0
175.0,190.0,0.2015734966907149,4.0
72.0,105.0,0.20277097635491592,2.0
43.0,45.0,0.20470664739544997,2.0
188.0,193.0,0.2074479280560976,5.0
99.0,128.0,0.21132463210542451,2.0
141.0,173.0,0.21243618823463184,2.0
140.0,146.0,0.213846397839479,2.0
143.0,149.0,0.21911946066370402,2.0
112.0,132.0,0.223221874318838,2.0
16.0,30.0,0.22553202971697783,2.0
54.0,59.0,0.22927245328753187,2.0
118.0,151.0,0.23959035933900685,2.0
42.0,49.0,0.24546266175974518,2.0
189.0,194.0,0.249750762586523,4.0
35.0,41.0,0.2506201000822995,2.0
195.0,198.0,0.2559047966474302,9.0
75.0,76.0,0.2688138542679226,2.0
199.0,202.0,0.26962639642939457,4.0
103.0,184.0,0.2708700403109271,2.0
155.0,169.0,0.2713902116173267,2.0
139.0,192.0,0.27174988881594764,3.0
205.0,210.0,0.2743610287060658,11.0
6.0,26.0,0.2749803831398612,2.0
14.0,160.0,0.2760005579228133,2.0
131.0,201.0,0.2766748121025116,3.0
52.0,152.0,0.2804271482289874,2.0
31.0,209.0,0.2819055136804045,3.0
63.0,208.0,0.2878341450252127,5.0
22.0,91.0,0.288027070390404,2.0
137.0,206.0,0.2895521435168299,3.0
44.0,101.0,0.2921171556590688,2.0
66.0,153.0,0.3014571392512727,2.0
80.0,92.0,0.3047395086393746,2.0
82.0,212.0,0.3052398962155384,5.0
28.0,46.0,0.30548639454686444,2.0
69.0,216.0,0.30780263160301974,12.0
93.0,94.0,0.30800319187831793,2.0
19.0,104.0,0.3089977788722127,2.0
123.0,157.0,0.3101041383636923,2.0
5.0,215.0,0.31476712053802497,4.0
