image_name,cluster_label,pca_x,pca_y,plot_x,plot_y,tsne_x,tsne_y,distance_to_centroid,distance_to_medoid
image_0001,0,7.538536818208773,-1.5909918829490752,7.538536818208773,-1.5909918829490752,4.734148,4.70614,0.9410917679629767,0.9410917679629767
image_0002,1,-27.01419677292023,-1.6144793267390243,-27.01419677292023,-1.6144793267390243,-0.54496235,-3.198506,1.005981672036734,1.005981672036734
image_0003,1,-33.250243188594034,1.4645358028724793,-33.250243188594034,1.4645358028724793,3.2796016,2.4923117,1.1406371155365318,1.1406371155365318
image_0004,1,-49.005218895272925,-1.7638603463824174,-49.005218895272925,-1.7638603463824174,-3.8813035,-2.322986,0.9877897628244282,0.9877897628244282
image_0005,0,-44.83071385958578,0.26369324526869486,-44.83071385958578,0.26369324526869486,-1.6958791,-0.54239875,0.7561879555876776,0.7561879555876776
image_0006,1,-25.347849485199674,-1.1453744865877826,-25.347849485199674,-1.1453744865877826,-1.2471124,-1.7355386,1.1359730316268042,1.1359730316268042
image_0007,0,-47.17827343693561,5.0145336819931225,-47.17827343693561,5.0145336819931225,-0.5034963,0.4381821,0.7117118657257916,0.7117118657257916
image_0008,0,-9.330702074371514,9.382728177593489,-9.330702074371514,9.382728177593489,1.0636053,1.4848813,0.44960685727979155,0.44960685727979155
image_0009,0,-30.293847218908656,6.376504967239739,-30.293847218908656,6.376504967239739,0.17554353,5.393817,0.5742595337850068,0.5742595337850068
image_0010,0,-44.57270387079874,5.811335590440743,-44.57270387079874,5.811335590440743,0.97494954,0.52720195,0.7175789902759944,0.7175789902759944
image_0011,0,-47.04616290030761,5.263688075098566,-47.04616290030761,5.263688075098566,1.1881341,3.129782,0.517958426737058,0.517958426737058
image_0012,0,-32.01519496403961,3.035119002530773,-32.01519496403961,3.035119002530773,1.4656972,6.248163,0.5764560760234062,0.5764560760234062
image_0013,0,-26.005193867433025,3.8115197794399327,-26.005193867433025,3.8115197794399327,4.430761,1.5757902,0.6624436016146544,0.6624436016146544
image_0014,1,-44.92116770627567,0.9182273220734449,-44.92116770627567,0.9182273220734449,-5.3919916,4.5948634,1.092006277445346,1.092006277445346
image_0015,1,-26.512237974401128,-6.0422852083553495,-26.512237974401128,-6.0422852083553495,-0.4159614,-5.787344,0.5884679251164242,0.5884679251164242
image_0016,0,-23.00576922771437,1.1996210025874463,-23.00576922771437,1.1996210025874463,-0.53509223,-1.0810819,0.8997424909677966,0.8997424909677966
image_0017,0,-30.106486712044042,5.358330688977095,-30.106486712044042,5.358330688977095,-1.1908756,2.355118,0.59322246172742,0.59322246172742
image_0018,0,-25.554179267952733,10.429689189984911,-25.554179267952733,10.429689189984911,2.0393584,2.0726678,0.45961933716677406,0.45961933716677406
image_0019,0,-32.7621616875582,1.5920634571501247,-32.7621616875582,1.5920634571501247,-0.016035078,-0.6421706,0.8775868495486855,0.8775868495486855
image_0020,0,-32.317569612886984,8.363775619372062,-32.317569612886984,8.363775619372062,-0.5729169,0.9388158,0.6364470419978097,0.6364470419978097
image_0021,1,-27.255786170984738,-10.058245216898392,-27.255786170984738,-10.058245216898392,-0.80085015,-7.526154,0.5792882795066976,0.5792882795066976
image_0022,0,-21.36190070354643,2.565321322761869,-21.36190070354643,2.565321322761869,-1.996921,0.7351768,0.9292450911492689,0.9292450911492689
image_0023,1,-15.733698642451477,2.6978981192529004,-15.733698642451477,2.6978981192529004,4.2115917,3.2530987,1.1778872341577566,1.1778872341577566
image_0024,1,-26.575517774291257,-5.335877922060043,-26.575517774291257,-5.335877922060043,-3.0840616,-4.781094,0.7623386599136546,0.7623386599136546
image_0025,1,-24.762215703177223,-10.080049210193529,-24.762215703177223,-10.080049210193529,-3.0633564,-5.1743145,0.5799151925791959,0.5799151925791959
image_0026,1,-18.546496467091938,-1.8873391208016967,-18.546496467091938,-1.8873391208016967,6.1871634,5.0396776,0.9529677833081236,0.9529677833081236
image_0027,0,-41.50355053201957,8.491553748884106,-41.50355053201957,8.491553748884106,0.17530951,2.3861277,0.633235101203409,0.633235101203409
image_0028,0,-52.510009220401535,2.1934636533556007,-52.510009220401535,2.1934636533556007,4.0599937,4.9021096,0.5702949888436215,0.5702949888436215
image_0029,0,-51.89227960282959,13.105104627805659,-51.89227960282959,13.105104627805659,2.7599916,3.4726567,0.4916499335869704,0.4916499335869704
image_0030,0,-56.83743061572709,13.954457066612687,-56.83743061572709,13.954457066612687,1.0916046,2.9776018,0.3536528357147959,0.3536528357147959
image_0031,0,-16.849244413640694,5.459883334322121,-16.849244413640694,5.459883334322121,3.641948,4.9536986,0.5824842350030267,0.5824842350030267
image_0032,1,-52.55646067446882,-0.0457834946748663,-52.55646067446882,-0.0457834946748663,2.5593798,-3.3238125,1.0705461586333456,1.0705461586333456
image_0033,0,-57.44404388369154,7.734127315666215,-57.44404388369154,7.734127315666215,2.6918387,4.963098,0.342691477591638,0.342691477591638
image_0034,0,-70.47778534434777,1.7484217320305104,-70.47778534434777,1.7484217320305104,3.3399348,4.0450287,0.6759752999159441,0.6759752999159441
image_0035,0,-48.0530460245761,17.528710330982875,-48.0530460245761,17.528710330982875,1.4672457,4.4912806,0.31295648087787853,0.31295648087787853
image_0036,0,-52.04666828327075,8.141630230160825,-52.04666828327075,8.141630230160825,2.0350385,2.7582695,0.50369721897332,0.50369721897332
image_0037,0,-46.14644687213331,8.244250602107066,-46.14644687213331,8.244250602107066,-0.93813825,1.5928328,0.5600990353361986,0.5600990353361986
image_0038,0,5.685351870709467,4.970913658478069,5.685351870709467,4.970913658478069,0.27929577,8.744701,0.684728788382846,0.684728788382846
image_0039,1,-32.151279542289046,-4.734654397327744,-32.151279542289046,-4.734654397327744,-2.464189,-3.5396528,0.852841169840185,0.852841169840185
image_0040,0,-30.579430808772205,8.762487760170025,-30.579430808772205,8.762487760170025,-0.56870145,0.9318072,0.5626711058405587,0.5626711058405587
image_0041,1,-26.407854050870913,2.108268143004161,-26.407854050870913,2.108268143004161,3.8288407,3.6255407,1.0464921513997814,1.0464921513997814
image_0042,0,-22.23162193737887,5.315582540439946,-22.23162193737887,5.315582540439946,1.9774537,3.5120316,0.723456012766162,0.723456012766162
image_0043,0,-33.923589118997484,1.590719337394066,-33.923589118997484,1.590719337394066,4.8503094,5.646138,0.7252095721798052,0.7252095721798052
image_0044,0,-41.6063181183033,24.007230743715606,-41.6063181183033,24.007230743715606,0.4853132,3.0893576,0.23429733343952974,0.23429733343952974
image_0045,0,-51.036180288214986,27.34457759558181,-51.036180288214986,27.34457759558181,1.1163288,4.0743594,0.0,0.0
image_0046,0,-51.109821514307875,16.384049517474804,-51.109821514307875,16.384049517474804,0.22009301,3.8895762,0.2913457965530316,0.2913457965530316
image_0047,0,-50.683800328160714,6.903620824975611,-50.683800328160714,6.903620824975611,2.2084367,3.8989928,0.3554549125020756,0.3554549125020756
image_0048,0,-39.67651806430661,8.977387910577761,-39.67651806430661,8.977387910577761,2.6297514,2.9607964,0.384541302252697,0.384541302252697
image_0049,0,-59.98653055031509,14.265372565301796,-59.98653055031509,14.265372565301796,0.27687606,2.2543354,0.3474599055844355,0.3474599055844355
image_0050,0,-72.52070568028766,9.834065203719009,-72.52070568028766,9.834065203719009,1.6366316,4.0578256,0.4506460980645385,0.4506460980645385
image_0051,1,36.85673849377352,-15.302839992964511,36.85673849377352,-15.302839992964511,-2.8059034,-9.178986,0.2890112249196999,0.2890112249196999
image_0052,1,13.84183040307861,-14.77633287069387,13.84183040307861,-14.77633287069387,-2.3221192,-9.0392885,0.3292175033217045,0.3292175033217045
image_0053,1,12.498991236479165,-14.87672856916602,12.498991236479165,-14.87672856916602,-1.8508271,-7.544603,0.4629017777968837,0.4629017777968837
image_0054,1,13.154920591674363,-15.481695369459816,13.154920591674363,-15.481695369459816,-1.6222041,-8.965378,0.35711051714533715,0.35711051714533715
image_0055,1,7.972016321713977,-22.104292095687864,7.972016321713977,-22.104292095687864,-2.0889413,-9.045575,0.20062549312493783,0.20062549312493783
image_0056,1,23.438034726846777,-17.858370246542272,23.438034726846777,-17.858370246542272,-2.2849874,-8.104074,0.35692842869739083,0.35692842869739083
image_0057,1,12.15915661359584,-18.345810752008372,12.15915661359584,-18.345810752008372,-1.5679262,-8.422788,0.2980855143712319,0.2980855143712319
image_0058,0,36.5848955541121,1.766367250737041,36.5848955541121,1.766367250737041,-4.3894634,3.3891912,1.079580017718889,1.079580017718889
image_0059,1,13.338569519105272,-7.908546489495918,13.338569519105272,-7.908546489495918,-1.2985357,-5.90901,0.6507130628747468,0.6507130628747468
image_0060,1,2.366127701046497,-12.899614620200817,2.366127701046497,-12.899614620200817,-1.6790317,-6.8042593,0.5694079015382294,0.5694079015382294
image_0061,0,23.041177497081247,1.0422269557389772,23.041177497081247,1.0422269557389772,5.44551,5.836457,0.8730268171500936,0.8730268171500936
image_0062,1,-2.6475480880541977,-15.45423891030024,-2.6475480880541977,-15.45423891030024,-1.8374653,-9.158938,0.30988762875281284,0.30988762875281284
image_0063,1,8.844752165391132,-21.121272097410678,8.844752165391132,-21.121272097410678,-2.1283991,-7.694927,0.31746509335750406,0.31746509335750406
image_0064,1,8.597836594911715,-12.3864973247987,8.597836594911715,-12.3864973247987,-2.9080515,-7.937259,0.34718101414092206,0.34718101414092206
image_0065,1,10.955582129650116,-16.525430675717917,10.955582129650116,-16.525430675717917,-1.7939229,-7.7611823,0.4068741170268837,0.4068741170268837
image_0066,0,10.50743344863393,-4.772784376122312,10.50743344863393,-4.772784376122312,-0.4227867,-3.9057555,1.2376481366380965,1.2376481366380965
image_0067,1,-6.1896431843410955,-11.942872147761108,-6.1896431843410955,-11.942872147761108,-0.81977445,-7.506577,0.5834537988491273,0.5834537988491273
image_0068,1,18.39994460908547,-26.739675420727437,18.39994460908547,-26.739675420727437,-2.50073,-8.759219,0.0,0.0
image_0069,1,-7.9391514378683015,-13.5901668033723,-7.9391514378683015,-13.5901668033723,-0.022642756,-6.6483297,0.3980102959652201,0.3980102959652201
image_0070,1,7.632713882974766,-11.216336861374705,7.632713882974766,-11.216336861374705,-1.1307244,-8.147835,0.4653916531780019,0.4653916531780019
image_0071,0,16.355696193247482,5.159368017781838,16.355696193247482,5.159368017781838,0.42804995,-1.1843737,0.7720553916547342,0.7720553916547342
image_0072,1,13.36091961007213,-10.52213744163486,13.36091961007213,-10.52213744163486,-4.2726254,-7.664804,0.463527718831489,0.463527718831489
image_0073,1,-18.374326530299893,-2.226837255567851,-18.374326530299893,-2.226837255567851,2.6683445,-3.6353803,0.8750639542245688,0.8750639542245688
image_0074,1,4.607487845091718,-5.259959309415386,4.607487845091718,-5.259959309415386,-3.400255,-6.343969,0.6543856769705567,0.6543856769705567
image_0075,1,2.802391614813517,-8.40372002418811,2.802391614813517,-8.40372002418811,-3.601741,-5.9306593,0.6965809086435955,0.6965809086435955
image_0076,0,7.45283253963758,2.5665688417880155,7.45283253963758,2.5665688417880155,2.7914672,7.638408,0.7846407365544144,0.7846407365544144
image_0077,0,10.95810415977132,5.6692650244223985,10.95810415977132,5.6692650244223985,2.5262458,1.0760213,0.6490300282732392,0.6490300282732392
image_0078,0,16.13325295851987,9.57435863136893,16.13325295851987,9.57435863136893,2.9230042,6.03587,0.4052334116837737,0.4052334116837737
image_0079,0,15.410451126022261,2.458461554629488,15.410451126022261,2.458461554629488,3.4868906,6.023385,0.6721227369183941,0.6721227369183941
image_0080,0,16.06139963560156,8.951447089136218,16.06139963560156,8.951447089136218,1.8154181,6.104137,0.5286751382472444,0.5286751382472444
image_0081,0,34.985878341510016,9.759152195120022,34.985878341510016,9.759152195120022,-0.55527705,8.134966,0.586083035422656,0.586083035422656
image_0082,0,31.720549982773598,12.914363450755673,31.720549982773598,12.914363450755673,1.8710893,5.503304,0.40014052804319,0.40014052804319
image_0083,0,82.89471522460444,10.254454070482053,82.89471522460444,10.254454070482053,-0.058172863,8.293857,0.7084879456586881,0.7084879456586881
image_0084,0,31.8742165212511,19.37605493057461,31.8742165212511,19.37605493057461,-0.32319778,4.1315312,0.39194376603663306,0.39194376603663306
image_0085,0,30.154038483915457,8.64901495223435,30.154038483915457,8.64901495223435,2.6613903,7.6749105,0.6164193289099158,0.6164193289099158
image_0086,0,22.73466270855951,16.424650290665436,22.73466270855951,16.424650290665436,-0.027143136,3.5081828,0.32650583585114035,0.32650583585114035
image_0087,0,32.00984964590926,6.097571080553815,32.00984964590926,6.097571080553815,1.4344758,0.33226302,0.6868519088810014,0.6868519088810014
image_0088,1,30.4857456085648,-1.3046148948942344,30.4857456085648,-1.3046148948942344,-1.8166515,-4.0362864,0.8871929030016679,0.8871929030016679
image_0089,0,45.10374621976688,12.636352061600023,45.10374621976688,12.636352061600023,-0.3497265,6.822458,0.5222143421082224,0.5222143421082224
image_0090,0,48.63404639226442,13.439263467198607,48.63404639226442,13.439263467198607,0.8217574,1.7116718,0.610639425751977,0.610639425751977
image_0091,0,51.977371734560094,4.371825790074641,51.977371734560094,4.371825790074641,0.5904683,8.902391,0.8189618547137799,0.8189618547137799
image_0092,0,-14.711322877180294,4.189967341496365,-14.711322877180294,4.189967341496365,-1.7413607,0.2523848,0.7024642151139846,0.7024642151139846
image_0093,0,27.54728290168305,16.38091250835523,27.54728290168305,16.38091250835523,0.17217506,4.5288796,0.37628810263768686,0.37628810263768686
image_0094,0,19.26487577619915,9.651206081160796,19.26487577619915,9.651206081160796,1.3325447,7.7090063,0.495821116428953,0.495821116428953
image_0095,0,32.94968570523898,8.982918188885659,32.94968570523898,8.982918188885659,0.52659994,7.9271283,0.6500055163282443,0.6500055163282443
image_0096,0,28.896353595259438,-0.4276107533561405,28.896353595259438,-0.4276107533561405,5.333249,6.1767397,1.0562603652148839,1.0562603652148839
image_0097,0,0.7417114880337016,4.852115974032294,0.7417114880337016,4.852115974032294,-0.9667139,0.1298189,0.8307597125041603,0.8307597125041603
image_0098,0,76.18949903125318,13.652152201932791,76.18949903125318,13.652152201932791,-0.06798898,8.3113985,0.580119899208144,0.580119899208144
image_0099,0,-2.0299964730703244,8.367845189396967,-2.0299964730703244,8.367845189396967,3.3057644,5.9157014,0.45288731924914427,0.45288731924914427
image_0100,0,41.652271201623975,16.563842752669828,41.652271201623975,16.563842752669828,0.36694843,1.3490285,0.5116802012160107,0.5116802012160107
image_0101,0,22.080453213261208,5.442459044608353,22.080453213261208,5.442459044608353,-3.7781196,3.9384246,1.0527950494667793,1.0527950494667793
image_0102,0,36.823616154955545,28.136389409939447,36.823616154955545,28.136389409939447,-0.48343205,5.4324994,0.4558529344190655,0.4558529344190655
