child_1,child_2,distance,n_observations
54.0,67.0,0.20062549312493783,2.0
52.0,64.0,0.21642229466233032,2.0
43.0,48.0,0.23297899064201533,2.0
62.0,174.0,0.24331384709581882,2.0
56.0,188.0,0.2615024632547757,3.0
127.0,143.0,0.2618686844391279,2.0
29.0,187.0,0.26335398699546314,3.0
78.0,98.0,0.268374075171697,2.0
50.0,185.0,0.27812468514867955,3.0
44.0,45.0,0.2913457965530316,2.0
51.0,193.0,0.2991222898788699,4.0
85.0,92.0,0.30019537538668073,2.0
34.0,49.0,0.3019519924500529,2.0
152.0,155.0,0.304843364989548,2.0
191.0,194.0,0.3062216424277957,5.0
19.0,39.0,0.3166428390842493,2.0
82.0,94.0,0.3360081339106441,2.0
154.0,167.0,0.3372558947530442,2.0
61.0,195.0,0.34081360967405316,5.0
55.0,66.0,0.34572237451960686,2.0
157.0,175.0,0.34729845452314834,2.0
150.0,182.0,0.35593196633673574,2.0
96.0,99.0,0.3626428991069188,2.0
11.0,79.0,0.36305797391464323,2.0
137.0,139.0,0.36334085979767705,2.0
53.0,189.0,0.3638093550372652,4.0
36.0,200.0,0.3648050148799307,3.0
17.0,47.0,0.3665527549779025,2.0
27.0,32.0,0.3684105448957522,2.0
101.0,125.0,0.3745449575081521,2.0
14.0,68.0,0.38247424992361523,2.0
203.0,210.0,0.38497630105025976,9.0
83.0,196.0,0.38542293862025884,3.0
131.0,132.0,0.38978082463523855,2.0
161.0,198.0,0.3946185632594288,3.0
97.0,201.0,0.4007929219466853,3.0
65.0,70.0,0.40522977489843814,2.0
197.0,199.0,0.410000518889382,7.0
69.0,186.0,0.410562351098041,3.0
42.0,213.0,0.41261148260333114,3.0
60.0,81.0,0.41445541759897997,2.0
202.0,206.0,0.4158187049283837,4.0
138.0,180.0,0.4186214055245914,2.0
8.0,16.0,0.41863533116432083,2.0
135.0,145.0,0.4186490305690913,2.0
77.0,192.0,0.41888190389586727,3.0
6.0,124.0,0.42064055058736616,2.0
59.0,205.0,0.4273336475484841,3.0
71.0,105.0,0.43044581893226797,2.0
24.0,103.0,0.43263728659278766,2.0
118.0,218.0,0.4345027640484835,3.0
166.0,178.0,0.4363247145233896,2.0
20.0,204.0,0.43659164942129897,3.0
216.0,223.0,0.43820696904732975,12.0
171.0,183.0,0.4382336664605663,2.0
108.0,211.0,0.4416874135578855,4.0
28.0,35.0,0.4428982602765599,2.0
7.0,89.0,0.44547036860417877,2.0
181.0,227.0,0.4508306830705,3.0
15.0,18.0,0.4540023425180215,2.0
58.0,232.0,0.45516628429715195,4.0
80.0,220.0,0.45578651536176035,4.0
217.0,222.0,0.45585606829397934,10.0
9.0,86.0,0.4567579440159446,2.0
75.0,84.0,0.4570122773085087,2.0
133.0,177.0,0.46028088298744607,2.0
190.0,235.0,0.46203214227988587,5.0
165.0,169.0,0.46655162245283,2.0
63.0,219.0,0.4686401548836511,4.0
5.0,121.0,0.4764950375418061,2.0
74.0,147.0,0.4812998690513788,2.0
88.0,246.0,0.48561631035394925,5.0
231.0,240.0,0.486001463965292,6.0
156.0,221.0,0.4899236177338091,3.0
102.0,159.0,0.4918929532892853,2.0
170.0,226.0,0.4940641346169597,5.0
111.0,208.0,0.4962538774167842,3.0
33.0,46.0,0.49815591524548364,2.0
129.0,214.0,0.5039936837267944,3.0
237.0,238.0,0.5051857270100912,15.0
140.0,229.0,0.50952635718275,3.0
112.0,120.0,0.509794633405448,2.0
107.0,173.0,0.5117809738311464,2.0
184.0,252.0,0.5124395220188063,3.0
13.0,40.0,0.5131820552778629,2.0
31.0,72.0,0.5138538619184665,2.0
212.0,241.0,0.514025896736596,4.0
12.0,176.0,0.5192939815760182,2.0
37.0,93.0,0.5202137792814034,2.0
0.0,30.0,0.5206495150434383,2.0
116.0,123.0,0.5213675991168085,2.0
153.0,233.0,0.5215214115401297,3.0
57.0,250.0,0.5231762046888828,3.0
119.0,243.0,0.5233483044875765,4.0
126.0,134.0,0.5277391216356812,2.0
158.0,253.0,0.5279489085570791,5.0
247.0,271.0,0.5368039759886887,14.0
113.0,148.0,0.5473902445864582,2.0
23.0,234.0,0.547798092316775,3.0
151.0,263.0,0.5510575834813336,4.0
215.0,268.0,0.5516552501765378,5.0
95.0,136.0,0.5519809361646912,2.0
91.0,257.0,0.5572677230364201,7.0
276.0,280.0,0.5579750037113155,8.0
100.0,277.0,0.5618431748661257,4.0
26.0,41.0,0.5659105330796179,2.0
224.0,230.0,0.5661181673867568,6.0
260.0,264.0,0.5664085553554117,20.0
4.0,207.0,0.5690388913796907,3.0
90.0,273.0,0.5722591403379373,3.0
164.0,239.0,0.5723473694183634,3.0
115.0,122.0,0.5758468519320111,2.0
22.0,254.0,0.5828950607740837,3.0
256.0,294.0,0.582900996046259,8.0
3.0,141.0,0.5836991392799262,2.0
163.0,265.0,0.5843802078964998,4.0
172.0,245.0,0.5926502332496992,5.0
21.0,244.0,0.5962886797615947,3.0
225.0,286.0,0.5967643402579088,4.0
292.0,295.0,0.5981505015412408,23.0
114.0,117.0,0.598273065251927,2.0
110.0,255.0,0.5983983424852614,3.0
242.0,281.0,0.5987889163673634,16.0
287.0,302.0,0.6124395292381286,10.0
274.0,291.0,0.6162504435456787,8.0
209.0,300.0,0.6169141064295602,6.0
128.0,298.0,0.617216474622998,9.0
278.0,304.0,0.619251697739658,27.0
149.0,261.0,0.6271940895866027,4.0
10.0,168.0,0.6307643439191006,2.0
251.0,310.0,0.6322815277999021,11.0
76.0,275.0,0.634509398617191,3.0
73.0,283.0,0.6372621740984449,4.0
288.0,301.0,0.6401364348878344,13.0
290.0,307.0,0.6451195351592653,18.0
312.0,318.0,0.6466668149362782,40.0
1.0,38.0,0.6475639346668444,2.0
258.0,293.0,0.6544595265502947,6.0
248.0,279.0,0.657144261359961,4.0
144.0,249.0,0.6610843432169967,3.0
236.0,285.0,0.667297526135824,7.0
179.0,299.0,0.6726252716413095,3.0
142.0,313.0,0.6759685568525817,5.0
228.0,284.0,0.6765110509447103,6.0
130.0,296.0,0.6789911542395102,3.0
104.0,305.0,0.68872978094216,3.0
259.0,270.0,0.6953525433334034,4.0
266.0,311.0,0.695701737925957,11.0
314.0,319.0,0.6965188619716485,20.0
308.0,322.0,0.6990502545991389,16.0
303.0,309.0,0.7064997741528756,12.0
262.0,333.0,0.7137354061194319,22.0
306.0,317.0,0.720680103942954,7.0
87.0,321.0,0.7267119510355875,3.0
162.0,325.0,0.7268766118793052,8.0
282.0,316.0,0.7336950637035883,5.0
327.0,328.0,0.7349603689975567,11.0
320.0,339.0,0.742523597669941,48.0
2.0,297.0,0.7508393081982767,4.0
269.0,331.0,0.7528239785746188,6.0
323.0,340.0,0.75683238928964,9.0
289.0,315.0,0.7619640615575188,15.0
109.0,334.0,0.7797606437319733,17.0
329.0,341.0,0.7808962458889362,14.0
324.0,335.0,0.7908174255808592,15.0
345.0,347.0,0.7969014330471966,26.0
272.0,336.0,0.8002700527765456,24.0
337.0,342.0,0.8061228084182973,55.0
