child_1,child_2,distance,n_observations
105.0,166.0,0.1157098898377249,2.0
37.0,47.0,0.1370222250882428,2.0
18.0,76.0,0.1375082296391381,2.0
26.0,49.0,0.1458889001224204,2.0
68.0,183.0,0.15876375854062574,2.0
4.0,20.0,0.16290720531842995,2.0
41.0,186.0,0.16336428397470604,3.0
60.0,161.0,0.17266592791731883,2.0
6.0,25.0,0.1735148738136546,2.0
30.0,91.0,0.1784175930962424,2.0
39.0,191.0,0.18363896441981423,4.0
59.0,185.0,0.1886991753255443,3.0
15.0,21.0,0.19167081646592043,2.0
130.0,133.0,0.1927705179555943,2.0
162.0,169.0,0.19665338165340185,2.0
42.0,195.0,0.20096021230853503,5.0
3.0,9.0,0.20169104211481848,2.0
10.0,31.0,0.2041408715678028,2.0
34.0,46.0,0.2046665913855208,2.0
106.0,179.0,0.21876480587479186,2.0
28.0,36.0,0.22356256200053104,2.0
187.0,197.0,0.2288520647611786,4.0
173.0,174.0,0.23114620182158463,2.0
73.0,92.0,0.23256126347182848,2.0
132.0,148.0,0.23367037792060186,2.0
35.0,188.0,0.2353974915390209,3.0
32.0,44.0,0.23929605379120256,2.0
67.0,87.0,0.2416535606475091,2.0
82.0,93.0,0.24175679219525126,2.0
115.0,192.0,0.2521442315023895,3.0
27.0,193.0,0.25497394076076035,3.0
1.0,88.0,0.2573602542750658,2.0
103.0,152.0,0.2602321059742798,2.0
13.0,202.0,0.2638366907407194,3.0
164.0,181.0,0.26694882905896944,2.0
8.0,110.0,0.2675806073302457,2.0
180.0,196.0,0.26800315505715205,4.0
43.0,203.0,0.2696398364226904,3.0
125.0,212.0,0.2699826281262135,3.0
69.0,172.0,0.279872630097021,2.0
122.0,190.0,0.2819348782346712,3.0
29.0,222.0,0.2830899019010694,4.0
207.0,221.0,0.2834749036082206,6.0
153.0,227.0,0.30301607743222325,7.0
56.0,142.0,0.30311680654460915,2.0
2.0,101.0,0.3044812973289752,2.0
200.0,205.0,0.30501162086196665,7.0
40.0,226.0,0.30813695431583576,5.0
118.0,206.0,0.3118809533274095,5.0
94.0,168.0,0.31538682904104764,2.0
211.0,215.0,0.3163595661295511,5.0
189.0,214.0,0.318466565741955,5.0
111.0,171.0,0.32448639317968,2.0
45.0,124.0,0.32689233458982236,2.0
19.0,95.0,0.3280560821095182,2.0
54.0,61.0,0.33025305785898795,2.0
140.0,145.0,0.3306555087798335,2.0
48.0,210.0,0.33578423600794904,4.0
182.0,236.0,0.3362076635363955,6.0
99.0,198.0,0.337489200558632,3.0
90.0,223.0,0.33808733714971656,4.0
199.0,224.0,0.34296171133301,4.0
154.0,157.0,0.34306201668002356,2.0
22.0,100.0,0.3526871776620323,2.0
12.0,114.0,0.35337607747778366,2.0
71.0,234.0,0.35345150037880224,3.0
83.0,176.0,0.3535961621998853,2.0
150.0,225.0,0.35366908091394117,4.0
235.0,242.0,0.35394288837315224,9.0
127.0,143.0,0.3539850244729664,2.0
55.0,57.0,0.35558970643646337,2.0
194.0,233.0,0.3562641156971859,7.0
78.0,229.0,0.35880578888939474,3.0
16.0,24.0,0.36131664172359423,2.0
107.0,204.0,0.3649091273577153,3.0
155.0,163.0,0.36497420614916054,2.0
147.0,149.0,0.3655621224408442,2.0
66.0,184.0,0.36851531930288994,2.0
