child_1,child_2,distance,n_observations
105.0,120.0,0.12021837293473958,2.0
101.0,106.0,0.12085140386942872,2.0
111.0,127.0,0.13165922299028432,2.0
98.0,160.0,0.13266402813931888,2.0
74.0,90.0,0.17505285920366054,2.0
83.0,179.0,0.18124716997542678,2.0
117.0,155.0,0.18517880673594167,2.0
22.0,91.0,0.19097184117073895,2.0
169.0,190.0,0.20100617543258964,3.0
107.0,181.0,0.204925157113643,2.0
122.0,186.0,0.20624606929451011,3.0
55.0,56.0,0.20662111741611777,2.0
112.0,187.0,0.20669228500003095,3.0
3.0,49.0,0.20699640157564458,2.0
87.0,193.0,0.20990876693698876,4.0
65.0,80.0,0.2101103846345237,2.0
92.0,97.0,0.21781882575235578,2.0
32.0,33.0,0.21946149012183935,2.0
40.0,189.0,0.2217725310134555,3.0
38.0,66.0,0.22223126595057385,2.0
23.0,114.0,0.22385890890812943,2.0
108.0,138.0,0.22841290302708883,2.0
14.0,19.0,0.23119841865036672,2.0
116.0,136.0,0.23341970180229787,2.0
51.0,70.0,0.2407712282839577,2.0
2.0,150.0,0.24278621980824144,2.0
143.0,195.0,0.25158618590920007,4.0
144.0,165.0,0.25306186611975356,2.0
194.0,206.0,0.25504404238205686,4.0
45.0,201.0,0.26087856082897815,3.0
25.0,175.0,0.26510915355562814,2.0
36.0,93.0,0.2662308594359998,2.0
27.0,48.0,0.26754365771326327,2.0
52.0,79.0,0.26923577330406434,2.0
1.0,17.0,0.2790714265460419,2.0
60.0,199.0,0.284284012367341,5.0
188.0,210.0,0.2885114933720634,4.0
50.0,78.0,0.2906262458760869,2.0
196.0,200.0,0.29334267272977566,4.0
191.0,211.0,0.2948820053529734,6.0
113.0,162.0,0.297052885186609,2.0
30.0,69.0,0.2977863332767813,2.0
135.0,142.0,0.29998469048489806,2.0
203.0,220.0,0.30021270970026465,8.0
161.0,208.0,0.30130489116966536,3.0
67.0,75.0,0.3027956639615418,2.0
72.0,147.0,0.30665982143584936,2.0
205.0,207.0,0.3069477887315824,4.0
63.0,64.0,0.3089179181348496,2.0
59.0,214.0,0.31364991476984116,4.0
185.0,197.0,0.314675893598319,5.0
221.0,224.0,0.31499170011372696,10.0
47.0,184.0,0.3339802062240551,2.0
11.0,192.0,0.335182732345444,3.0
4.0,9.0,0.3355679147173771,2.0
223.0,234.0,0.3399483400020659,8.0
8.0,54.0,0.34081451918675754,2.0
216.0,219.0,0.343311611786314,4.0
88.0,95.0,0.3465953988340448,2.0
228.0,229.0,0.34944362744147633,11.0
115.0,126.0,0.3531255967905842,2.0
232.0,236.0,0.3538720228556665,14.0
163.0,173.0,0.3542565152433593,2.0
13.0,61.0,0.3543415335868607,2.0
99.0,209.0,0.36000049742307033,3.0
29.0,53.0,0.3636125470599437,2.0
28.0,140.0,0.37140728744536156,2.0
154.0,167.0,0.371640777597382,2.0
128.0,168.0,0.37325232883116877,2.0
31.0,100.0,0.37476415866343915,2.0
151.0,217.0,0.37493158016840106,3.0
213.0,215.0,0.3753649397902424,6.0
57.0,94.0,0.383410730832185,2.0
18.0,121.0,0.38721397336353847,2.0
6.0,198.0,0.3872561480941091,3.0
152.0,202.0,0.3894247914746187,3.0
0.0,7.0,0.3902870861409403,2.0
42.0,204.0,0.39094751252958615,3.0
58.0,157.0,0.39365927606622364,2.0
141.0,153.0,0.39537281389250556,2.0
81.0,218.0,0.4074922602202862,3.0
86.0,244.0,0.40799798056285114,12.0
43.0,77.0,0.4131132458276042,2.0
166.0,180.0,0.4149542720857883,2.0
156.0,235.0,0.41602815311277014,6.0
176.0,225.0,0.4167945295659465,3.0
73.0,178.0,0.4185182711900929,2.0
16.0,96.0,0.4197665156065571,2.0
102.0,124.0,0.4203975272906787,2.0
