name,result_csv,n_images,n_voxels,clustering_method,distance_metric,linkage_method,normalization,best_k,silhouette,cluster_sizes,linkage_csv,dendrogram_png,distance_to_cluster_representative,meta
dp__rffa,public/data/ground_truth_clusters_hierarchical_corr/dp__rffa_clusters.csv,185,277,hierarchical,correlation,average,voxel_zscore,2,0.3209649830647059,"{'0': 90, '1': 95}",public/data/ground_truth_clusters_hierarchical_corr/dp__rffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/dp__rffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 277], 'reduction': 'none'}"
dp__lffa,public/data/ground_truth_clusters_hierarchical_corr/dp__lffa_clusters.csv,185,119,hierarchical,correlation,average,voxel_zscore,2,0.38786054363173206,"{'0': 80, '1': 105}",public/data/ground_truth_clusters_hierarchical_corr/dp__lffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/dp__lffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 119], 'reduction': 'none'}"
dp__reba,public/data/ground_truth_clusters_hierarchical_corr/dp__reba_clusters.csv,185,769,hierarchical,correlation,average,voxel_zscore,2,0.15993013147871635,"{'0': 61, '1': 124}",public/data/ground_truth_clusters_hierarchical_corr/dp__reba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/dp__reba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 769], 'reduction': 'none'}"
dp__leba,public/data/ground_truth_clusters_hierarchical_corr/dp__leba_clusters.csv,185,488,hierarchical,correlation,average,voxel_zscore,2,0.208929529044009,"{'0': 67, '1': 118}",public/data/ground_truth_clusters_hierarchical_corr/dp__leba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/dp__leba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 488], 'reduction': 'none'}"
p1__lffa,public/data/ground_truth_clusters_hierarchical_corr/p1__lffa_clusters.csv,185,325,hierarchical,correlation,average,voxel_zscore,2,0.2517277491860732,"{'0': 86, '1': 99}",public/data/ground_truth_clusters_hierarchical_corr/p1__lffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p1__lffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 325], 'reduction': 'none'}"
p1__rffa,public/data/ground_truth_clusters_hierarchical_corr/p1__rffa_clusters.csv,185,463,hierarchical,correlation,average,voxel_zscore,2,0.22938818061198007,"{'0': 59, '1': 126}",public/data/ground_truth_clusters_hierarchical_corr/p1__rffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p1__rffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 463], 'reduction': 'none'}"
p1__leba,public/data/ground_truth_clusters_hierarchical_corr/p1__leba_clusters.csv,185,535,hierarchical,correlation,average,voxel_zscore,2,0.22637096691444317,"{'0': 76, '1': 109}",public/data/ground_truth_clusters_hierarchical_corr/p1__leba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p1__leba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 535], 'reduction': 'none'}"
p1__reba,public/data/ground_truth_clusters_hierarchical_corr/p1__reba_clusters.csv,185,1121,hierarchical,correlation,average,voxel_zscore,2,0.194988496452902,"{'0': 76, '1': 109}",public/data/ground_truth_clusters_hierarchical_corr/p1__reba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p1__reba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 1121], 'reduction': 'none'}"
p1__lppa,public/data/ground_truth_clusters_hierarchical_corr/p1__lppa_clusters.csv,185,715,hierarchical,correlation,average,voxel_zscore,2,0.28673432873088,"{'0': 68, '1': 117}",public/data/ground_truth_clusters_hierarchical_corr/p1__lppa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p1__lppa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 715], 'reduction': 'none'}"
p1__rppa,public/data/ground_truth_clusters_hierarchical_corr/p1__rppa_clusters.csv,185,840,hierarchical,correlation,average,voxel_zscore,2,0.20892955471322508,"{'0': 88, '1': 97}",public/data/ground_truth_clusters_hierarchical_corr/p1__rppa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p1__rppa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 840], 'reduction': 'none'}"
p2__lffa,public/data/ground_truth_clusters_hierarchical_corr/p2__lffa_clusters.csv,185,299,hierarchical,correlation,average,voxel_zscore,2,0.3006018984232482,"{'0': 86, '1': 99}",public/data/ground_truth_clusters_hierarchical_corr/p2__lffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p2__lffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 299], 'reduction': 'none'}"
p2__rffa,public/data/ground_truth_clusters_hierarchical_corr/p2__rffa_clusters.csv,185,795,hierarchical,correlation,average,voxel_zscore,2,0.21368457805409438,"{'0': 65, '1': 120}",public/data/ground_truth_clusters_hierarchical_corr/p2__rffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p2__rffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 795], 'reduction': 'none'}"
p2__leba,public/data/ground_truth_clusters_hierarchical_corr/p2__leba_clusters.csv,185,400,hierarchical,correlation,average,voxel_zscore,2,0.3132415507270473,"{'0': 82, '1': 103}",public/data/ground_truth_clusters_hierarchical_corr/p2__leba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p2__leba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 400], 'reduction': 'none'}"
p2__reba,public/data/ground_truth_clusters_hierarchical_corr/p2__reba_clusters.csv,185,835,hierarchical,correlation,average,voxel_zscore,2,0.18259634361748162,"{'0': 82, '1': 103}",public/data/ground_truth_clusters_hierarchical_corr/p2__reba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p2__reba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 835], 'reduction': 'none'}"
p2__lppa,public/data/ground_truth_clusters_hierarchical_corr/p2__lppa_clusters.csv,185,453,hierarchical,correlation,average,voxel_zscore,2,0.3264126704942823,"{'0': 85, '1': 100}",public/data/ground_truth_clusters_hierarchical_corr/p2__lppa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p2__lppa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 453], 'reduction': 'none'}"
p2__rppa,public/data/ground_truth_clusters_hierarchical_corr/p2__rppa_clusters.csv,185,582,hierarchical,correlation,average,voxel_zscore,2,0.2524191264736251,"{'0': 87, '1': 98}",public/data/ground_truth_clusters_hierarchical_corr/p2__rppa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p2__rppa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 582], 'reduction': 'none'}"
p3__lffa,public/data/ground_truth_clusters_hierarchical_corr/p3__lffa_clusters.csv,185,138,hierarchical,correlation,average,voxel_zscore,2,0.3591445563156488,"{'0': 90, '1': 95}",public/data/ground_truth_clusters_hierarchical_corr/p3__lffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p3__lffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 138], 'reduction': 'none'}"
p3__rffa,public/data/ground_truth_clusters_hierarchical_corr/p3__rffa_clusters.csv,185,291,hierarchical,correlation,average,voxel_zscore,2,0.2570953452532337,"{'0': 96, '1': 89}",public/data/ground_truth_clusters_hierarchical_corr/p3__rffa_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p3__rffa_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 291], 'reduction': 'none'}"
p3__leba,public/data/ground_truth_clusters_hierarchical_corr/p3__leba_clusters.csv,185,315,hierarchical,correlation,average,voxel_zscore,2,0.27867253341905557,"{'0': 99, '1': 86}",public/data/ground_truth_clusters_hierarchical_corr/p3__leba_linkage.csv,public/data/ground_truth_clusters_hierarchical_corr/p3__leba_dendrogram.png,medoid_correlation_distance,"{'original_shape': [185, 315], 'reduction': 'none'}"
