child_1,child_2,distance,n_observations
37.0,115.0,0.13244363692337724,2.0
130.0,140.0,0.1687534616249151,2.0
13.0,110.0,0.17819231475517439,2.0
96.0,169.0,0.19548753835638943,2.0
154.0,167.0,0.20018095264525382,2.0
4.0,100.0,0.20202076194552543,2.0
99.0,143.0,0.20843485754815205,2.0
105.0,120.0,0.22254449737912707,2.0
118.0,179.0,0.24788245065924275,2.0
34.0,50.0,0.25073505605999924,2.0
94.0,97.0,0.25997812536762144,2.0
2.0,158.0,0.26314751021746663,2.0
68.0,172.0,0.2669229402551567,2.0
114.0,185.0,0.26733591217517677,3.0
122.0,192.0,0.28040604748148246,3.0
24.0,189.0,0.2880319744708499,3.0
71.0,109.0,0.2888978255583461,2.0
22.0,188.0,0.2981216959050193,3.0
124.0,190.0,0.30061772552442073,3.0
67.0,137.0,0.3034571129750596,2.0
159.0,165.0,0.3088192421435242,2.0
11.0,64.0,0.30908705082526333,2.0
194.0,200.0,0.31106535944927155,5.0
155.0,170.0,0.31552245855999317,2.0
47.0,103.0,0.31815149197124026,2.0
73.0,152.0,0.3208394327238002,2.0
112.0,141.0,0.32243642716470844,2.0
125.0,183.0,0.32286133800512085,2.0
30.0,186.0,0.32396094788005697,3.0
75.0,193.0,0.32429574369292097,3.0
36.0,49.0,0.3256653931702628,2.0
53.0,61.0,0.32573198103171785,2.0
108.0,119.0,0.32785830108039216,2.0
62.0,191.0,0.3300524377048442,3.0
176.0,187.0,0.33431842697130465,3.0
9.0,121.0,0.3361234565075969,2.0
0.0,198.0,0.33781111420672794,4.0
44.0,55.0,0.33927531047657267,2.0
138.0,175.0,0.34862786577127103,2.0
79.0,83.0,0.3491919641861462,2.0
82.0,146.0,0.35974257763544193,2.0
80.0,197.0,0.3602633024401202,3.0
35.0,84.0,0.36341524123208857,2.0
51.0,196.0,0.36417813434940505,3.0
113.0,134.0,0.36665104075767807,2.0
52.0,218.0,0.3678596708029646,4.0
69.0,177.0,0.3687345931398226,2.0
135.0,145.0,0.3717768259068259,2.0
90.0,123.0,0.3743712404195869,2.0
203.0,207.0,0.37449552976062417,8.0
8.0,199.0,0.37529130704738317,4.0
28.0,204.0,0.3830267425178777,3.0
40.0,201.0,0.38378743791502745,3.0
45.0,209.0,0.3870319930780949,3.0
149.0,224.0,0.38721396638792965,3.0
65.0,98.0,0.392662479154539,2.0
70.0,142.0,0.39757478600384777,2.0
205.0,226.0,0.40037991921360544,5.0
104.0,128.0,0.4033404844519167,2.0
220.0,233.0,0.4122591794669074,4.0
42.0,228.0,0.41697267273072497,4.0
20.0,77.0,0.41740567033066844,2.0
76.0,211.0,0.42027103228019563,3.0
29.0,132.0,0.42176042798864,2.0
213.0,236.0,0.4230598069566008,6.0
12.0,43.0,0.42483367988637843,2.0
117.0,234.0,0.4296539774012528,9.0
147.0,241.0,0.4308236283497211,3.0
101.0,168.0,0.43555704852286536,2.0
178.0,217.0,0.4380117063864749,3.0
156.0,219.0,0.43998486240882767,4.0
157.0,182.0,0.44029933262177323,2.0
16.0,87.0,0.4417687150397174,2.0
46.0,202.0,0.4446215950987924,4.0
63.0,184.0,0.449793183193542,2.0
111.0,221.0,0.4514465144867187,5.0
93.0,95.0,0.45199486302089353,2.0
41.0,88.0,0.4577835464618992,2.0
151.0,212.0,0.4609339908590297,3.0
161.0,242.0,0.4616904294562687,6.0
174.0,227.0,0.46230995029807187,3.0
17.0,222.0,0.46466648638819086,3.0
89.0,243.0,0.46688667604685885,3.0
39.0,237.0,0.4688783778849542,4.0
92.0,216.0,0.47176525412617737,3.0
7.0,33.0,0.47237892854848795,2.0
56.0,162.0,0.48168403362776113,2.0
206.0,251.0,0.4824537855106519,11.0
258.0,264.0,0.4845376847825035,10.0
223.0,240.0,0.48585381790013427,4.0
27.0,102.0,0.4867324402041683,2.0
106.0,230.0,0.487444163873194,5.0
231.0,232.0,0.4921155657662668,4.0
116.0,255.0,0.49318663487251996,5.0
38.0,66.0,0.4937359210997273,2.0
25.0,57.0,0.5011938814451437,2.0
214.0,238.0,0.5027606514483357,6.0
78.0,81.0,0.5036222661118125,2.0
215.0,254.0,0.5189529810191386,5.0
210.0,247.0,0.5236613085756866,5.0
244.0,275.0,0.5298711631090571,6.0
195.0,277.0,0.533141961623466,6.0
160.0,260.0,0.5343357801869602,6.0
144.0,148.0,0.5343614697019868,2.0
180.0,272.0,0.5391905873640753,12.0
131.0,171.0,0.540738939824358,2.0
129.0,133.0,0.5408424428645713,2.0
126.0,276.0,0.5446310648633867,6.0
229.0,259.0,0.5495891565049263,4.0
235.0,287.0,0.5534655458038571,10.0
91.0,273.0,0.554194916515111,11.0
26.0,250.0,0.5563602361933522,3.0
19.0,270.0,0.5589392274800535,3.0
72.0,248.0,0.5590057147008328,3.0
266.0,271.0,0.5626715556567462,5.0
136.0,181.0,0.5717567151069041,2.0
208.0,285.0,0.5756646703457079,8.0
59.0,295.0,0.5817462875110139,12.0
21.0,127.0,0.585371737060844,2.0
265.0,289.0,0.58762906588743,15.0
3.0,268.0,0.588318318971555,5.0
245.0,249.0,0.5942860380658745,10.0
10.0,246.0,0.5947736952322054,3.0
15.0,166.0,0.5972948391611028,2.0
239.0,263.0,0.5984171268258144,6.0
298.0,304.0,0.6024127568663988,18.0
280.0,283.0,0.6041697076524284,7.0
31.0,281.0,0.6211363796473846,7.0
58.0,267.0,0.625154974538201,4.0
107.0,278.0,0.627389001382154,6.0
225.0,300.0,0.6377263522209409,4.0
5.0,153.0,0.6381564529551136,2.0
284.0,305.0,0.6398237025561351,10.0
164.0,310.0,0.6442147906103158,19.0
18.0,314.0,0.6475304446580522,7.0
163.0,286.0,0.6506463311699696,7.0
139.0,309.0,0.6510671615417548,7.0
269.0,290.0,0.6518835875608495,5.0
60.0,253.0,0.6531896580444899,3.0
299.0,301.0,0.6566300350367402,13.0
279.0,324.0,0.6622487997069366,15.0
85.0,86.0,0.662670623639626,2.0
262.0,306.0,0.664982929795323,12.0
150.0,311.0,0.6672249577319668,8.0
312.0,313.0,0.668477207246055,11.0
32.0,307.0,0.6729686824305673,4.0
257.0,292.0,0.6753436650463178,8.0
173.0,317.0,0.6818159993231088,11.0
74.0,328.0,0.6946695913549139,9.0
274.0,327.0,0.69621974282447,16.0
302.0,320.0,0.6962376407688661,19.0
297.0,329.0,0.7004769652524705,14.0
252.0,256.0,0.7069908976219629,5.0
303.0,326.0,0.7188885160631234,4.0
23.0,294.0,0.7196007945177376,11.0
1.0,315.0,0.720427630320368,5.0
296.0,325.0,0.7257553592898639,18.0
14.0,261.0,0.7315061774553258,3.0
321.0,334.0,0.7379181978584365,23.0
322.0,339.0,0.7482400709581565,16.0
6.0,318.0,0.7593426602819643,20.0
54.0,345.0,0.7752298292672083,21.0
48.0,308.0,0.7755431758329405,3.0
331.0,336.0,0.7798446529910057,22.0
293.0,332.0,0.7822918144302257,15.0
282.0,291.0,0.7827224408304948,4.0
319.0,341.0,0.7932828537890247,25.0
323.0,330.0,0.7953392903549993,7.0
335.0,347.0,0.7991109138619602,22.0
288.0,346.0,0.8150965429099496,23.0
333.0,338.0,0.8206361074609301,13.0
337.0,348.0,0.8234992199133824,27.0
351.0,353.0,0.8285386193720495,47.0
344.0,354.0,0.840187595583744,39.0
343.0,349.0,0.852302939603517,38.0
340.0,342.0,0.880148822171722,8.0
352.0,357.0,0.8850113504605871,54.0
355.0,356.0,0.9048869168903203,40.0
350.0,360.0,0.9074518855158491,12.0
316.0,359.0,0.9605481050882596,40.0
362.0,364.0,0.9657621995157477,80.0
361.0,363.0,0.9792317829874412,66.0
358.0,365.0,1.068320488049694,119.0
366.0,367.0,1.096610889749792,185.0
