child_1,child_2,distance,n_observations
174.0,180.0,0.005039887636614893,2.0
126.0,147.0,0.008701286323690716,2.0
59.0,66.0,0.008852174257772405,2.0
88.0,131.0,0.011343167004876253,2.0
166.0,167.0,0.012021295038071256,2.0
5.0,6.0,0.012898508593425673,2.0
29.0,35.0,0.012971149954106864,2.0
28.0,191.0,0.013986557959547452,3.0
34.0,43.0,0.01423824467762913,2.0
82.0,83.0,0.014575737807970723,2.0
91.0,186.0,0.01698121763403626,3.0
146.0,194.0,0.01949829897290567,3.0
137.0,188.0,0.020645138610126734,3.0
92.0,93.0,0.020680218112310578,2.0
77.0,78.0,0.022533395781983878,2.0
125.0,129.0,0.023197346140150565,2.0
53.0,162.0,0.02406444705809696,2.0
68.0,157.0,0.02557798367616715,2.0
100.0,115.0,0.027181204995805897,2.0
45.0,48.0,0.02803846229479534,2.0
20.0,185.0,0.028191452747300283,3.0
49.0,103.0,0.028443039315901197,2.0
50.0,163.0,0.029189350525085866,2.0
46.0,193.0,0.029308763507118862,3.0
127.0,130.0,0.031558794164811776,2.0
178.0,187.0,0.03174552805966291,3.0
134.0,197.0,0.032109820532253495,4.0
65.0,80.0,0.03284092351505852,2.0
102.0,120.0,0.033233711782274855,2.0
81.0,195.0,0.033761200245322066,4.0
189.0,205.0,0.034226531642291703,5.0
192.0,204.0,0.034460081381076105,5.0
94.0,136.0,0.03482890727589649,2.0
199.0,200.0,0.036815074427787337,4.0
67.0,161.0,0.03709388221066923,2.0
54.0,55.0,0.0373942626447632,2.0
10.0,24.0,0.03841839771033673,2.0
159.0,160.0,0.038536302731976835,2.0
73.0,209.0,0.03972800253033082,3.0
1.0,21.0,0.03997786039337181,2.0
76.0,101.0,0.04217905416287948,2.0
61.0,173.0,0.042394239217291574,2.0
95.0,128.0,0.042555005970058124,2.0
171.0,220.0,0.04385944380456819,3.0
63.0,175.0,0.044570706224108525,2.0
27.0,179.0,0.04628766700628639,2.0
139.0,211.0,0.04757830060184226,5.0
60.0,202.0,0.04856878115818475,3.0
148.0,218.0,0.04885086038860709,5.0
17.0,19.0,0.04911369186807124,2.0
105.0,110.0,0.04977924665086331,2.0
4.0,108.0,0.051515327961421664,2.0
26.0,32.0,0.05156502650133954,2.0
44.0,208.0,0.05182075481661352,4.0
52.0,56.0,0.05208806071127969,2.0
121.0,210.0,0.05229802024937591,4.0
144.0,214.0,0.05340415930530154,5.0
181.0,219.0,0.05481131362008834,3.0
96.0,143.0,0.054973826568926354,2.0
135.0,198.0,0.05507735147993836,3.0
11.0,104.0,0.05583313305781146,2.0
79.0,149.0,0.056310066020145655,2.0
51.0,228.0,0.05650887391491066,4.0
111.0,176.0,0.057771441091009956,2.0
38.0,206.0,0.05800552747709575,3.0
226.0,240.0,0.05962496101835035,6.0
89.0,140.0,0.06098801929948272,2.0
196.0,244.0,0.06341546380236351,6.0
155.0,158.0,0.06378784662586345,2.0
90.0,97.0,0.06549721122618102,2.0
36.0,216.0,0.066592049568129,6.0
124.0,190.0,0.06673193914625475,3.0
74.0,227.0,0.06729158871068319,3.0
39.0,41.0,0.06903435356507248,2.0
177.0,182.0,0.06973256416110984,2.0
221.0,236.0,0.07140155836295198,4.0
109.0,234.0,0.0715130655511777,3.0
13.0,213.0,0.0720823604564077,3.0
75.0,99.0,0.07280006646541859,2.0
114.0,119.0,0.0730797847530742,2.0
215.0,250.0,0.07543642107078101,11.0
201.0,222.0,0.0756672388713237,4.0
58.0,232.0,0.07607060121972486,4.0
31.0,33.0,0.07667070307391799,2.0
