child_1,child_2,distance,n_observations
15.0,18.0,0.020532984876727167,2.0
166.0,167.0,0.02320148201201422,2.0
65.0,152.0,0.0257259896337122,2.0
13.0,123.0,0.02717376067060384,2.0
78.0,129.0,0.027284621806983655,2.0
180.0,186.0,0.03402770479809136,3.0
113.0,119.0,0.044211522235193756,2.0
76.0,101.0,0.04506217573202731,2.0
80.0,97.0,0.04547580707402188,2.0
8.0,32.0,0.04612824282818706,2.0
150.0,174.0,0.04629158448550086,2.0
102.0,185.0,0.049014227914487896,3.0
84.0,189.0,0.04920457405208478,3.0
11.0,19.0,0.050248114449045755,2.0
56.0,171.0,0.052636847662877795,2.0
1.0,22.0,0.057711931662909555,2.0
127.0,130.0,0.05903890687995894,2.0
2.0,192.0,0.059826586299447426,3.0
17.0,116.0,0.05996598467048153,2.0
64.0,72.0,0.06040329772374997,2.0
26.0,194.0,0.062099268225471405,3.0
55.0,182.0,0.06779672462848896,2.0
93.0,128.0,0.06797781897270738,2.0
96.0,98.0,0.07016470705654043,2.0
74.0,153.0,0.07046772330893636,2.0
88.0,131.0,0.07207319409608515,2.0
110.0,114.0,0.07314085036095008,2.0
51.0,62.0,0.07345193031922914,2.0
154.0,157.0,0.07349919383378056,2.0
16.0,196.0,0.07378448824682297,4.0
94.0,136.0,0.07443134590385325,2.0
52.0,206.0,0.07501169357987364,3.0
23.0,106.0,0.08057711597081763,2.0
91.0,202.0,0.08334184286878439,4.0
3.0,115.0,0.08417184068831551,2.0
21.0,200.0,0.08662061632290824,3.0
187.0,204.0,0.08682212677091522,4.0
105.0,205.0,0.08886526809403912,4.0
100.0,111.0,0.08926494210031266,2.0
43.0,46.0,0.09062527158095934,2.0
141.0,146.0,0.09065470050013202,2.0
212.0,216.0,0.09549862863515225,5.0
198.0,203.0,0.09766338660233476,4.0
160.0,173.0,0.09801974670077496,2.0
59.0,213.0,0.09922724394066434,3.0
188.0,223.0,0.09990534770718904,4.0
85.0,178.0,0.1006692146014625,2.0
77.0,81.0,0.10102144086228881,2.0
118.0,214.0,0.10139122465176356,5.0
20.0,195.0,0.10260000845770284,3.0
9.0,14.0,0.10727149414257076,2.0
92.0,134.0,0.10808143075295096,2.0
28.0,48.0,0.10825385389266728,2.0
137.0,210.0,0.10908446347311923,3.0
162.0,175.0,0.11467207267932733,2.0
6.0,227.0,0.11532445449402692,5.0
10.0,31.0,0.11555968814208939,2.0
35.0,49.0,0.11646409489314014,2.0
207.0,236.0,0.11824136184889103,4.0
126.0,144.0,0.1185310971869532,2.0
86.0,140.0,0.1187640513199959,2.0
45.0,237.0,0.11958026122243826,3.0
138.0,208.0,0.12259824295612415,3.0
176.0,226.0,0.12673586202068426,6.0
90.0,225.0,0.1288794712279394,3.0
12.0,124.0,0.1288885515673166,2.0
70.0,151.0,0.13011792502278519,2.0
108.0,240.0,0.13284948504106311,6.0
218.0,233.0,0.13307008390285052,9.0
197.0,201.0,0.1340902791766555,5.0
30.0,36.0,0.13468478648734705,2.0
44.0,224.0,0.13500059423053384,3.0
112.0,217.0,0.13591105042003165,3.0
60.0,66.0,0.13982068984468732,2.0
190.0,234.0,0.1428398908331455,6.0
228.0,229.0,0.14422320286666448,5.0
58.0,159.0,0.1458321318944622,2.0
215.0,243.0,0.14876764584945856,6.0
83.0,161.0,0.14925331554641552,2.0
25.0,27.0,0.15016158740282337,2.0
29.0,246.0,0.15017025241886353,4.0
95.0,193.0,0.15096659493197317,3.0
117.0,219.0,0.15277146019055637,3.0
147.0,247.0,0.1540977145976564,4.0
220.0,253.0,0.15435944210288577,12.0
125.0,232.0,0.15650661100258562,3.0
50.0,209.0,0.1581713860577279,3.0
239.0,261.0,0.15823945453436164,4.0
143.0,148.0,0.15970382226123359,2.0
54.0,248.0,0.16111698398369123,7.0
156.0,165.0,0.1614774911512541,2.0
221.0,271.0,0.16282492351086877,7.0
109.0,252.0,0.16436396322166186,7.0
107.0,235.0,0.1710160027160213,3.0
34.0,256.0,0.17344466553978077,4.0
24.0,250.0,0.1755992331680814,3.0
82.0,135.0,0.17971939064150366,2.0
139.0,238.0,0.1799346659982749,4.0
211.0,222.0,0.18181367044221022,6.0
61.0,259.0,0.18202327476405264,7.0
254.0,268.0,0.18410258944698668,9.0
53.0,274.0,0.18690766966265254,8.0
40.0,191.0,0.1875465708922474,3.0
168.0,269.0,0.18950718434951386,13.0
230.0,241.0,0.19135941329167372,6.0
155.0,169.0,0.1940328114002785,2.0
170.0,263.0,0.19415632864856935,3.0
249.0,281.0,0.19488904981974214,5.0
0.0,277.0,0.1990300275239542,8.0
122.0,283.0,0.19919613407653436,7.0
7.0,257.0,0.20300775237134697,4.0
260.0,284.0,0.21335366095369585,12.0
41.0,42.0,0.22004902364497225,2.0
145.0,181.0,0.2292956945968242,2.0
267.0,293.0,0.22962285742533325,11.0
68.0,199.0,0.23142984968672276,3.0
177.0,291.0,0.23413133250974275,4.0
244.0,273.0,0.23636839181386832,4.0
279.0,295.0,0.23734726663538344,8.0
272.0,275.0,0.23853612096067617,6.0
33.0,179.0,0.2386268560553495,2.0
99.0,163.0,0.24237480896583274,2.0
149.0,270.0,0.24335804972715447,4.0
103.0,104.0,0.24495410423953556,2.0
57.0,276.0,0.24705208040836868,8.0
262.0,292.0,0.25105098629629674,11.0
287.0,294.0,0.2525020149695613,10.0
286.0,296.0,0.25548965280468194,20.0
184.0,258.0,0.25559962246785217,3.0
278.0,299.0,0.2624442432284348,14.0
69.0,73.0,0.264115355135221,2.0
251.0,301.0,0.26865241716914706,6.0
285.0,307.0,0.27004392587417214,13.0
120.0,265.0,0.2770648768819718,5.0
280.0,289.0,0.2801922580686673,9.0
231.0,245.0,0.2819291088734093,4.0
164.0,316.0,0.28417630295255564,7.0
67.0,266.0,0.2866389098308733,4.0
75.0,142.0,0.2906586894889671,2.0
242.0,318.0,0.2987429344566995,7.0
87.0,290.0,0.30962758310580984,3.0
4.0,5.0,0.3142721880422952,2.0
39.0,297.0,0.3203610015374601,3.0
47.0,264.0,0.3238115621144197,3.0
302.0,317.0,0.3346870793551187,17.0
306.0,310.0,0.34461930955077624,13.0
255.0,303.0,0.36281613386629885,10.0
304.0,312.0,0.36573058046217705,26.0
133.0,298.0,0.37106576716195955,3.0
183.0,313.0,0.37411049166789595,4.0
322.0,330.0,0.377901385193929,17.0
63.0,172.0,0.38092547155036194,2.0
324.0,328.0,0.38497378484014927,10.0
288.0,329.0,0.38924510998412765,30.0
71.0,334.0,0.39259267131408004,5.0
309.0,321.0,0.39669774711505745,15.0
89.0,323.0,0.3969731663718621,3.0
37.0,319.0,0.42356626621322035,10.0
315.0,338.0,0.42867344558802717,32.0
38.0,331.0,0.4387216954600891,11.0
325.0,333.0,0.4395109885759254,6.0
311.0,342.0,0.43952108637550874,20.0
308.0,314.0,0.4525220345828583,16.0
320.0,340.0,0.4664959036656338,19.0
282.0,335.0,0.47599565834106533,21.0
344.0,347.0,0.4806567624142697,27.0
300.0,332.0,0.4806770117857434,29.0
