child_1,child_2,distance,n_observations
28.0,29.0,0.009877709442559723,2.0
77.0,81.0,0.014497055463582043,2.0
78.0,129.0,0.017008215812255312,2.0
43.0,46.0,0.01860521392499004,2.0
53.0,160.0,0.01913152455210343,2.0
44.0,45.0,0.019183581646600723,2.0
166.0,167.0,0.01942324169561338,2.0
64.0,180.0,0.022938839276522516,2.0
55.0,176.0,0.023283297815571702,2.0
79.0,186.0,0.02346251870197158,3.0
62.0,184.0,0.023768748578809618,2.0
185.0,190.0,0.023864512079367767,4.0
54.0,178.0,0.024193881778921456,2.0
126.0,144.0,0.024931038540508044,2.0
84.0,149.0,0.025370488656737633,2.0
174.0,191.0,0.025493015265683816,3.0
51.0,162.0,0.025562071529893537,2.0
97.0,132.0,0.02652234921402108,2.0
32.0,120.0,0.02760605144046302,2.0
34.0,188.0,0.029544529530290742,3.0
157.0,175.0,0.029960644952418902,2.0
159.0,165.0,0.03136050501148835,2.0
189.0,201.0,0.03252008090685246,4.0
61.0,200.0,0.034103930733665945,4.0
93.0,128.0,0.034393667948414475,2.0
72.0,150.0,0.03563956185411343,2.0
197.0,205.0,0.03565922044977626,4.0
125.0,198.0,0.035685154423515164,3.0
35.0,49.0,0.037031829851688625,2.0
52.0,57.0,0.03711100923968702,2.0
90.0,94.0,0.03778645203214215,2.0
8.0,203.0,0.03782617268226979,3.0
75.0,199.0,0.03803178526606743,3.0
148.0,187.0,0.0380770203493086,3.0
19.0,116.0,0.038203396193859485,2.0
82.0,146.0,0.03827778879295818,2.0
154.0,210.0,0.04004060443281887,3.0
63.0,195.0,0.042310936707083024,3.0
20.0,207.0,0.04236824235797043,5.0
192.0,208.0,0.042406321777703496,6.0
147.0,194.0,0.04564444650700298,4.0
68.0,211.0,0.046015050480106706,5.0
196.0,204.0,0.04676565405544483,7.0
202.0,220.0,0.04812899760414338,4.0
92.0,135.0,0.04878038352806002,2.0
193.0,221.0,0.04884892132266736,5.0
223.0,226.0,0.05114580976785103,10.0
171.0,224.0,0.05210373925951117,7.0
