child_1,child_2,distance,n_observations
8.0,105.0,0.026294708968291225,2.0
82.0,90.0,0.0338950696159106,2.0
71.0,182.0,0.03934080836675713,2.0
26.0,29.0,0.04149174862382632,2.0
158.0,184.0,0.0431009025495005,2.0
153.0,163.0,0.04366527595967673,2.0
102.0,106.0,0.04933534723583932,2.0
25.0,188.0,0.05223622751346385,3.0
95.0,135.0,0.05298106128062552,2.0
166.0,174.0,0.0541534113441593,2.0
61.0,172.0,0.05871486752541755,2.0
183.0,190.0,0.06132180548283378,3.0
27.0,28.0,0.062403410188611175,2.0
2.0,191.0,0.06264505947026716,3.0
180.0,194.0,0.06344880077742904,3.0
34.0,192.0,0.06498854957539361,4.0
132.0,141.0,0.06672832639055526,2.0
97.0,146.0,0.07003338892123334,2.0
94.0,186.0,0.07121748963244295,3.0
89.0,147.0,0.07452905604742244,2.0
127.0,143.0,0.07537629252850175,2.0
197.0,200.0,0.0817131810092182,6.0
81.0,149.0,0.08525221819438933,2.0
110.0,123.0,0.08583069211536831,2.0
66.0,189.0,0.0909176553113541,3.0
35.0,49.0,0.09245412547404652,2.0
3.0,46.0,0.09477391564312909,2.0
155.0,160.0,0.09511017499569063,2.0
32.0,45.0,0.0958398923701117,2.0
1.0,16.0,0.095991315250742,2.0
80.0,145.0,0.0969601680262695,2.0
68.0,168.0,0.09736070336841607,2.0
187.0,196.0,0.09894313247065992,5.0
56.0,199.0,0.09903688756818459,4.0
93.0,128.0,0.10176362478993761,2.0
39.0,42.0,0.10292096617818314,2.0
103.0,124.0,0.10343280693711576,2.0
101.0,198.0,0.10469309262949784,4.0
206.0,210.0,0.10807653787565888,8.0
44.0,48.0,0.1097890197667104,2.0
88.0,99.0,0.11183017638233295,2.0
59.0,62.0,0.11482033015754434,2.0
107.0,122.0,0.11526947839658386,2.0
77.0,207.0,0.11617885796281241,3.0
96.0,129.0,0.1174234439435552,2.0
212.0,217.0,0.11775037861587916,7.0
6.0,214.0,0.11842807676604056,3.0
134.0,203.0,0.11884218189707996,4.0
193.0,219.0,0.11923235035954868,4.0
10.0,14.0,0.12106208607981628,2.0
9.0,222.0,0.12119532099508323,5.0
75.0,142.0,0.12201171564231039,2.0
130.0,131.0,0.12237621523350084,2.0
7.0,104.0,0.12237655511495282,2.0
209.0,218.0,0.1244856051650007,7.0
195.0,230.0,0.12570041317629008,9.0
211.0,235.0,0.12672369876286269,7.0
133.0,204.0,0.13107059073371424,3.0
205.0,229.0,0.13324340199834472,4.0
213.0,223.0,0.13839240682780693,10.0
17.0,113.0,0.13844328668804662,2.0
137.0,225.0,0.1392349390827607,3.0
43.0,224.0,0.14024142786842597,3.0
162.0,216.0,0.14142238802618212,3.0
125.0,236.0,0.1425551771370014,3.0
53.0,156.0,0.14438504340307012,2.0
76.0,91.0,0.1467148725287919,2.0
20.0,227.0,0.15127390416216813,3.0
202.0,233.0,0.1524066714666576,6.0
0.0,100.0,0.15268858913445693,2.0
118.0,238.0,0.1539054132101561,3.0
31.0,120.0,0.16245250534046574,2.0
57.0,58.0,0.1640463878253463,2.0
136.0,232.0,0.16454370616861277,5.0
201.0,215.0,0.16753453953875005,4.0
54.0,164.0,0.16951728640319952,2.0
244.0,247.0,0.17057831773143056,13.0
240.0,248.0,0.17140754259479676,12.0
167.0,239.0,0.17379682403192293,8.0
52.0,226.0,0.17490115123715466,3.0
98.0,243.0,0.175052326158815,5.0
51.0,177.0,0.1753797789406213,2.0
19.0,255.0,0.1757394395308819,4.0
37.0,40.0,0.17633652506146247,2.0
12.0,13.0,0.17635286125881444,2.0
237.0,246.0,0.1831732024971894,5.0
138.0,265.0,0.18480160604934345,6.0
23.0,234.0,0.18538989039480647,3.0
228.0,249.0,0.1896403241666993,6.0
181.0,257.0,0.18971022974574503,3.0
263.0,264.0,0.1906359233578528,11.0
36.0,231.0,0.19241114923513478,4.0
73.0,161.0,0.20088048600734187,2.0
126.0,251.0,0.20480533857188965,3.0
253.0,258.0,0.20602222451980481,11.0
250.0,275.0,0.20693674734850517,13.0
108.0,269.0,0.2078636574703498,3.0
84.0,148.0,0.2089975283988995,2.0
22.0,121.0,0.2104724497025665,2.0
173.0,262.0,0.21969463163331848,13.0
114.0,272.0,0.22010516448280795,4.0
208.0,252.0,0.22067113592437307,5.0
47.0,261.0,0.22214570043091,14.0
33.0,185.0,0.2239316912218125,3.0
55.0,266.0,0.22674083532617106,3.0
11.0,109.0,0.22889538360632233,2.0
69.0,277.0,0.23103046938049526,3.0
175.0,274.0,0.23282980903347494,4.0
259.0,270.0,0.23340476538376312,9.0
86.0,140.0,0.24011532019648285,2.0
157.0,260.0,0.24404387299132113,3.0
241.0,285.0,0.24447737673777978,11.0
287.0,288.0,0.2477201496492478,17.0
254.0,267.0,0.24912722094971365,6.0
74.0,170.0,0.2501922153068754,2.0
65.0,152.0,0.25166354806194124,2.0
284.0,291.0,0.2558929178763156,16.0
271.0,278.0,0.25599896343134526,9.0
242.0,273.0,0.25710669552662807,9.0
24.0,221.0,0.2621397930105848,3.0
18.0,21.0,0.27190109875863155,2.0
256.0,297.0,0.27673450425719054,19.0
4.0,296.0,0.2776443292662459,12.0
289.0,299.0,0.2794252198668042,5.0
92.0,279.0,0.2802861508580925,12.0
280.0,295.0,0.28303035636464946,16.0
293.0,294.0,0.28823721680234593,11.0
41.0,268.0,0.2989083214572014,3.0
78.0,282.0,0.3051299276102245,3.0
301.0,310.0,0.3053023135548158,32.0
276.0,304.0,0.30801162071440435,7.0
38.0,119.0,0.31196046673794264,2.0
176.0,292.0,0.31701544493594924,5.0
112.0,307.0,0.3176428490032396,13.0
116.0,298.0,0.3189653160105555,7.0
178.0,308.0,0.3202663027871987,6.0
64.0,300.0,0.3233553295421835,3.0
63.0,165.0,0.3238700218035846,2.0
87.0,144.0,0.3252157176820132,2.0
111.0,305.0,0.34491101891907217,3.0
169.0,317.0,0.3450676527822695,6.0
70.0,314.0,0.35621076077375347,33.0
220.0,312.0,0.3623468776231579,5.0
79.0,313.0,0.3779808132075861,4.0
15.0,283.0,0.37975319349223086,3.0
306.0,315.0,0.38730680707379905,26.0
60.0,159.0,0.3893063994805438,2.0
302.0,303.0,0.3941890544995006,18.0
286.0,290.0,0.3981089716576408,7.0
50.0,179.0,0.4198552405280648,2.0
323.0,332.0,0.4242984322126616,20.0
30.0,330.0,0.42739495746545014,27.0
281.0,333.0,0.4300908938837556,10.0
325.0,326.0,0.43386005036882436,39.0
83.0,139.0,0.43943320742159,2.0
72.0,171.0,0.4497666817031267,2.0
67.0,321.0,0.45905304041976547,4.0
309.0,311.0,0.46270483232134224,23.0
115.0,319.0,0.474230518254361,8.0
150.0,154.0,0.4887655895563501,2.0
320.0,338.0,0.4921476905772404,45.0
318.0,334.0,0.5105012963225058,15.0
5.0,316.0,0.5150030864712046,3.0
328.0,335.0,0.5169746588365455,24.0
245.0,343.0,0.5511237402095592,10.0
85.0,339.0,0.5693392659395491,3.0
336.0,346.0,0.5699125879698166,42.0
117.0,337.0,0.603020613497911,11.0
324.0,329.0,0.6121683734276099,6.0
341.0,348.0,0.6256770045658419,28.0
322.0,331.0,0.6912323201046171,4.0
349.0,352.0,0.7189677298554948,21.0
342.0,354.0,0.7212935034003453,51.0
151.0,327.0,0.7436978632857962,6.0
340.0,355.0,0.7503590401343001,6.0
344.0,345.0,0.7543417767510061,47.0
357.0,359.0,0.7977102800273107,57.0
347.0,360.0,0.8227149546475129,50.0
351.0,353.0,0.8488400819278586,48.0
350.0,362.0,0.8603467509568786,53.0
358.0,364.0,0.9411768270620907,59.0
356.0,365.0,0.9825340586349455,80.0
361.0,366.0,1.1280901861026904,137.0
363.0,367.0,1.222885912962236,185.0
