child_1,child_2,distance,n_observations
28.0,29.0,0.00617317596557021,2.0
34.0,49.0,0.01634900945106721,2.0
31.0,44.0,0.019322922273376286,2.0
9.0,23.0,0.021589821605284998,2.0
45.0,185.0,0.02231362175373003,3.0
32.0,186.0,0.024820945901450175,3.0
27.0,33.0,0.027069839461334344,2.0
14.0,17.0,0.030271026889711616,2.0
88.0,140.0,0.03135633247821856,2.0
77.0,125.0,0.03229378611436606,2.0
75.0,81.0,0.03303573299199414,2.0
4.0,118.0,0.03347467849389196,2.0
92.0,93.0,0.03580476189444948,2.0
18.0,19.0,0.03594823292443283,2.0
43.0,48.0,0.03726341680814793,2.0
35.0,191.0,0.03756714854175991,3.0
143.0,195.0,0.037906481702296546,3.0
8.0,120.0,0.038129558271276065,2.0
189.0,190.0,0.03881110490999199,6.0
53.0,56.0,0.04266146440912666,2.0
89.0,98.0,0.042669459816886524,2.0
59.0,163.0,0.04283502462742084,2.0
128.0,197.0,0.04286136920935302,3.0
154.0,173.0,0.04329725060186396,2.0
94.0,136.0,0.04367614638177897,2.0
113.0,202.0,0.04393899788653888,3.0
1.0,15.0,0.045099240357024284,2.0
90.0,132.0,0.04531667923032667,2.0
91.0,194.0,0.046623666845822476,3.0
179.0,188.0,0.04875656096888342,3.0
79.0,201.0,0.05034598278218964,4.0
97.0,146.0,0.05250663090383456,2.0
26.0,187.0,0.05822984829118222,3.0
30.0,36.0,0.0583770849772729,2.0
73.0,131.0,0.05846023899007635,2.0
102.0,211.0,0.059278891620476004,3.0
126.0,213.0,0.06106535615780184,4.0
46.0,203.0,0.0619714533056829,7.0
69.0,144.0,0.06433645833812585,2.0
82.0,212.0,0.06590328025290387,3.0
84.0,215.0,0.06590512214498395,5.0
100.0,103.0,0.06844417608299913,2.0
137.0,193.0,0.06895539392389693,3.0
11.0,123.0,0.06967747221619147,2.0
96.0,159.0,0.06985844987557432,2.0
162.0,204.0,0.07380494161875711,3.0
78.0,129.0,0.07413290421199903,2.0
38.0,156.0,0.0745596482990547,2.0
2.0,60.0,0.07790724453815534,2.0
205.0,219.0,0.07915784818675647,4.0
157.0,178.0,0.08180614485831994,2.0
200.0,222.0,0.08531666450467486,10.0
147.0,225.0,0.0871560336711176,6.0
141.0,216.0,0.09281306005058376,3.0
174.0,180.0,0.09479386264092715,2.0
67.0,80.0,0.09562102019731122,2.0
206.0,208.0,0.0963999720309433,4.0
76.0,234.0,0.09673644214865518,5.0
122.0,124.0,0.09771331773567238,2.0
135.0,153.0,0.09862151739217484,2.0
127.0,149.0,0.09938747087766397,2.0
223.0,231.0,0.10099874033266476,4.0
101.0,221.0,0.10120426176007288,5.0
164.0,172.0,0.10206091900554792,2.0
24.0,25.0,0.10240870500814592,2.0
117.0,196.0,0.10281917839044091,3.0
3.0,214.0,0.10314902354130258,4.0
166.0,167.0,0.10772305589026443,2.0
227.0,242.0,0.10781455269890297,8.0
62.0,70.0,0.11063830085366999,2.0
207.0,244.0,0.11252957456169345,5.0
230.0,232.0,0.11787750517548896,5.0
21.0,220.0,0.1198001784514889,4.0
99.0,134.0,0.1199802620334306,2.0
246.0,247.0,0.12131198902339839,9.0
192.0,217.0,0.12298639446081813,5.0
83.0,142.0,0.12304072921943088,2.0
119.0,226.0,0.12598194738114393,3.0
7.0,218.0,0.12748998256427702,3.0
160.0,175.0,0.12875568761125467,2.0
237.0,245.0,0.13725384279014907,8.0
228.0,251.0,0.13808548520105518,6.0
95.0,238.0,0.14098455857420455,4.0
184.0,235.0,0.14215791389681093,3.0
71.0,155.0,0.1431174084200234,2.0
210.0,243.0,0.1431587508400455,5.0
106.0,262.0,0.14425418531210357,4.0
198.0,250.0,0.14530543364025222,5.0
253.0,261.0,0.15014177121265684,10.0
177.0,241.0,0.15232276586303634,5.0
239.0,252.0,0.15308133161513246,4.0
5.0,249.0,0.15331847011869953,3.0
257.0,263.0,0.15546656851283006,7.0
55.0,176.0,0.15588917232424215,2.0
224.0,258.0,0.15768841039404907,5.0
259.0,265.0,0.1592760051067572,17.0
10.0,110.0,0.1593498010968849,2.0
104.0,109.0,0.16194828297986485,2.0
236.0,260.0,0.16406395638561833,15.0
138.0,139.0,0.1656972251518829,2.0
248.0,268.0,0.16608207259851673,5.0
115.0,168.0,0.16794178543001725,2.0
57.0,170.0,0.16868398771029636,2.0
112.0,267.0,0.17299790748685553,5.0
47.0,199.0,0.1758120210108649,3.0
209.0,255.0,0.17793098677659958,7.0
105.0,271.0,0.1784635556639487,5.0
51.0,72.0,0.1795889052165155,2.0
87.0,151.0,0.18588370999577275,2.0
256.0,275.0,0.18990896688857645,9.0
116.0,264.0,0.19243653230750318,3.0
61.0,182.0,0.1943112295720979,2.0
6.0,121.0,0.19581198689543,2.0
41.0,42.0,0.19619371495101623,2.0
13.0,233.0,0.19658222834374678,3.0
12.0,270.0,0.20002802608200226,6.0
229.0,286.0,0.20004647776934087,4.0
283.0,289.0,0.20278172189470106,18.0
54.0,65.0,0.20751269110395043,2.0
266.0,300.0,0.2076671171957163,12.0
274.0,278.0,0.2100397196090637,7.0
287.0,290.0,0.22092439666851332,9.0
133.0,183.0,0.22483079582524435,2.0
130.0,148.0,0.22621912229912844,2.0
171.0,296.0,0.22726247669733296,3.0
85.0,279.0,0.22743133365664375,6.0
63.0,161.0,0.23273958456485455,2.0
294.0,305.0,0.23499613016586152,16.0
273.0,280.0,0.24229912011718516,27.0
108.0,291.0,0.2457444443906353,6.0
58.0,254.0,0.24914027168791725,3.0
20.0,150.0,0.25098774632109433,2.0
