child_1,child_2,distance,n_observations
28.0,29.0,0.03724724293302861,2.0
32.0,49.0,0.03843942883186946,2.0
113.0,120.0,0.05095470457659956,2.0
1.0,15.0,0.05700472437357962,2.0
8.0,105.0,0.05761237811598008,2.0
18.0,19.0,0.05824291632454881,2.0
185.0,186.0,0.0676345948507028,4.0
44.0,45.0,0.06959044082872778,2.0
7.0,190.0,0.08213145817878026,3.0
4.0,118.0,0.08371373544885641,2.0
16.0,188.0,0.09329664196370674,3.0
33.0,35.0,0.10067349313519769,2.0
27.0,34.0,0.10225579716934119,2.0
93.0,128.0,0.11651711236065487,2.0
9.0,110.0,0.11740919633038449,2.0
174.0,180.0,0.12756654252415411,2.0
191.0,196.0,0.12789838505710824,6.0
38.0,59.0,0.13108821101718293,2.0
78.0,84.0,0.13342505901552815,2.0
197.0,201.0,0.1402089190254783,8.0
65.0,72.0,0.14061650933893466,2.0
193.0,195.0,0.14858847795366156,6.0
187.0,189.0,0.1504425041103062,4.0
14.0,17.0,0.1515072040537776,2.0
31.0,122.0,0.15356497869075925,2.0
101.0,158.0,0.15432510326611704,2.0
13.0,115.0,0.1577422465817665,2.0
43.0,192.0,0.1636809924301501,3.0
152.0,205.0,0.16613767733854579,3.0
194.0,206.0,0.16616560071620842,8.0
92.0,198.0,0.17078694605238692,3.0
56.0,202.0,0.17809089296310293,3.0
24.0,124.0,0.18676490387043498,2.0
46.0,48.0,0.18680541825767727,2.0
30.0,36.0,0.18687787727586913,2.0
167.0,200.0,0.18914837143739865,3.0
40.0,47.0,0.19057413550777524,2.0
154.0,173.0,0.19191062488852006,2.0
77.0,81.0,0.1965925345483882,2.0
76.0,214.0,0.19714276300901865,9.0
107.0,211.0,0.1979224187343721,3.0
82.0,90.0,0.19831029980160775,2.0
67.0,80.0,0.19920198748101203,2.0
94.0,215.0,0.1992645062868379,4.0
20.0,150.0,0.21659415349032285,2.0
156.0,216.0,0.22068219825854118,4.0
207.0,209.0,0.22305659163486655,6.0
96.0,159.0,0.22379585834091265,2.0
125.0,143.0,0.23024098257538328,2.0
97.0,146.0,0.2309357677063124,2.0
129.0,203.0,0.2312611369452634,3.0
62.0,70.0,0.24265984741658797,2.0
88.0,140.0,0.2435711184339111,2.0
75.0,79.0,0.24476660970508657,2.0
51.0,176.0,0.24788256170065148,2.0
117.0,224.0,0.2511355426822517,10.0
168.0,210.0,0.2560566908529888,3.0
21.0,102.0,0.2599091491111384,2.0
22.0,121.0,0.26009711955185566,2.0
106.0,111.0,0.2630827854842218,2.0
53.0,222.0,0.2638319722313409,3.0
217.0,231.0,0.2661125049215504,8.0
133.0,223.0,0.26779359965767774,3.0
135.0,228.0,0.2697915814696265,5.0
0.0,199.0,0.2745929706679242,3.0
6.0,243.0,0.2777867152521061,3.0
64.0,213.0,0.27783147036668593,4.0
95.0,234.0,0.2904676344284844,3.0
91.0,225.0,0.291738746580525,4.0
100.0,119.0,0.29526762003468043,2.0
11.0,23.0,0.29735326530100137,2.0
42.0,221.0,0.2993057975372714,3.0
163.0,239.0,0.3013675110395517,3.0
63.0,183.0,0.30313892304720547,2.0
3.0,114.0,0.30328932567147504,2.0
109.0,240.0,0.30494826154645505,11.0
71.0,132.0,0.3053170423118765,2.0
208.0,212.0,0.3064807718577859,5.0
50.0,251.0,0.3127890782201689,5.0
69.0,232.0,0.31665998048612887,3.0
89.0,247.0,0.31803769339474747,4.0
52.0,54.0,0.3203739304250297,2.0
137.0,248.0,0.32688474593912253,6.0
10.0,260.0,0.32691354026919756,12.0
37.0,108.0,0.32704391104144626,2.0
233.0,238.0,0.33059340223055833,4.0
136.0,153.0,0.3306680424474052,2.0
83.0,99.0,0.3335907002458318,2.0
131.0,181.0,0.3341460079964452,2.0
144.0,253.0,0.3348851793788529,5.0
85.0,86.0,0.3387899198963974,2.0
112.0,141.0,0.3429779726019939,2.0
138.0,149.0,0.3480235446948049,2.0
220.0,245.0,0.34921503257707087,6.0
60.0,66.0,0.3494053054359709,2.0
230.0,257.0,0.3531091350883357,7.0
26.0,262.0,0.35404629087756556,6.0
147.0,148.0,0.3546651000424751,2.0
241.0,264.0,0.3554271347267915,6.0
87.0,139.0,0.35570769771106325,2.0
204.0,246.0,0.35967702548508385,16.0
74.0,170.0,0.3628213031379125,2.0
55.0,57.0,0.36398288707109183,2.0
178.0,184.0,0.3687046223409989,2.0
165.0,169.0,0.36910083245048575,2.0
145.0,226.0,0.37074911077099965,3.0
116.0,244.0,0.372061599456815,3.0
235.0,270.0,0.3769821820370842,7.0
104.0,242.0,0.38081092298998315,3.0
219.0,268.0,0.3847790576279439,14.0
98.0,273.0,0.38902097628700993,3.0
157.0,175.0,0.3962771692560355,2.0
237.0,272.0,0.39972320958439433,4.0
39.0,41.0,0.4006628690383456,2.0
61.0,151.0,0.40162266241383415,2.0
123.0,255.0,0.40494219351392746,3.0
103.0,280.0,0.41817064915950825,8.0
134.0,252.0,0.42288098923641865,4.0
73.0,258.0,0.4297542186846663,3.0
259.0,291.0,0.4307966358782067,5.0
265.0,283.0,0.4385310721328777,10.0
155.0,274.0,0.4391346481913515,6.0
293.0,294.0,0.4392334121614338,17.0
162.0,288.0,0.442815111443626,3.0
254.0,269.0,0.44697399597544973,4.0
250.0,267.0,0.4471887798701443,9.0
278.0,301.0,0.4550225919179762,14.0
12.0,285.0,0.457089952239524,17.0
166.0,179.0,0.4609424654940465,2.0
249.0,300.0,0.4615310043347996,6.0
261.0,290.0,0.4787882016722846,5.0
227.0,266.0,0.4824859788382181,4.0
292.0,305.0,0.48269748967375853,17.0
286.0,289.0,0.4876898281958364,4.0
58.0,172.0,0.4897919389800437,2.0
281.0,312.0,0.4986941752489114,23.0
130.0,282.0,0.5023117422129756,3.0
256.0,299.0,0.503416969815299,5.0
295.0,306.0,0.5048006371620661,9.0
236.0,263.0,0.5059569396484903,7.0
302.0,315.0,0.5067142675307209,9.0
164.0,271.0,0.5071665111653131,3.0
127.0,142.0,0.5114991266416486,2.0
182.0,311.0,0.5193339546188354,15.0
2.0,319.0,0.524943384463402,3.0
304.0,307.0,0.5311349198323486,22.0
275.0,297.0,0.5422826696328035,6.0
171.0,328.0,0.5494338500050941,16.0
314.0,320.0,0.559096909232833,29.0
177.0,276.0,0.5619060892543764,3.0
25.0,324.0,0.5653907294517607,8.0
323.0,330.0,0.5697891472845117,31.0
287.0,335.0,0.5803809903319499,10.0
161.0,218.0,0.5897387624962578,3.0
310.0,325.0,0.5904182419178039,18.0
5.0,279.0,0.5982586010871658,3.0
309.0,329.0,0.5992228395194915,7.0
322.0,332.0,0.6057469289221518,21.0
126.0,317.0,0.6103072472745916,18.0
277.0,284.0,0.6239091393788349,4.0
326.0,331.0,0.6396680198926197,9.0
316.0,342.0,0.6432681487161184,25.0
337.0,346.0,0.6551864098267521,35.0
303.0,308.0,0.6566797799434846,6.0
68.0,160.0,0.6599779364185914,2.0
339.0,345.0,0.6619242733981504,27.0
229.0,318.0,0.6635657516399271,6.0
336.0,343.0,0.6720774985268587,49.0
327.0,344.0,0.6763561462373828,6.0
313.0,333.0,0.6927179699999791,31.0
341.0,354.0,0.7183728496806413,38.0
296.0,347.0,0.7322999059000908,37.0
348.0,349.0,0.7626009706434203,8.0
340.0,351.0,0.8091668627428321,9.0
321.0,352.0,0.8291857286287614,52.0
357.0,359.0,0.8590302770261444,60.0
350.0,353.0,0.8684823725023905,33.0
298.0,360.0,0.8870628316788803,62.0
356.0,358.0,0.9136424523656338,46.0
361.0,362.0,0.9309136624073652,95.0
338.0,355.0,0.9423639156115303,41.0
334.0,363.0,0.9749018357340486,49.0
365.0,366.0,1.064738983739526,90.0
364.0,367.0,1.1664611833348641,185.0
