child_1,child_2,distance,n_observations
29.0,44.0,0.03418617849341632,2.0
81.0,147.0,0.034819820868355666,2.0
129.0,149.0,0.03606591695006556,2.0
78.0,79.0,0.042592984351171204,2.0
88.0,89.0,0.04267834895548095,2.0
53.0,167.0,0.04350856456922303,2.0
75.0,84.0,0.047147596362547395,2.0
77.0,186.0,0.048546925695160836,3.0
45.0,185.0,0.05090285751855422,3.0
140.0,142.0,0.052275149048821135,2.0
125.0,143.0,0.05810132528425205,2.0
18.0,19.0,0.06018371178696269,2.0
187.0,192.0,0.06373823250708686,5.0
55.0,176.0,0.06399938929713689,2.0
91.0,126.0,0.06506029117182599,2.0
173.0,174.0,0.06796328793814932,2.0
97.0,146.0,0.07115323271369045,2.0
31.0,193.0,0.0752791525163025,4.0
16.0,104.0,0.07594676994186611,2.0
98.0,189.0,0.07596407171615988,3.0
130.0,148.0,0.07614100380977395,2.0
188.0,191.0,0.07670428198342205,4.0
59.0,154.0,0.0767447686192444,2.0
190.0,200.0,0.07875849987879774,4.0
56.0,156.0,0.08653206451525386,2.0
195.0,197.0,0.0877133137548194,7.0
50.0,72.0,0.08852909748339177,2.0
94.0,135.0,0.09013256880484954,2.0
166.0,180.0,0.0929883407726333,2.0
82.0,132.0,0.09320974780786195,2.0
163.0,207.0,0.09382421737110469,3.0
1.0,7.0,0.09471036734498983,2.0
43.0,49.0,0.09805693658919845,2.0
131.0,204.0,0.09934969018708062,4.0
93.0,128.0,0.09938324837906864,2.0
175.0,209.0,0.10358008104373256,3.0
205.0,210.0,0.11032759162724512,9.0
194.0,218.0,0.11183811448346397,6.0
25.0,208.0,0.11190039902165166,5.0
90.0,214.0,0.11268972672165556,3.0
206.0,221.0,0.11497075199858386,13.0
213.0,223.0,0.1157544514846743,7.0
15.0,203.0,0.11580999471935821,3.0
118.0,196.0,0.11714691604526051,3.0
51.0,198.0,0.11761960780082004,3.0
101.0,133.0,0.11976513670299405,2.0
30.0,202.0,0.12153142867378605,5.0
141.0,201.0,0.12339878494972006,3.0
5.0,103.0,0.1287847487931334,2.0
76.0,183.0,0.13220475013258803,2.0
61.0,226.0,0.13443366291022998,8.0
92.0,219.0,0.13562657950935547,3.0
20.0,150.0,0.13564057596459067,2.0
32.0,217.0,0.1358505035978133,3.0
28.0,231.0,0.13766199254469372,6.0
211.0,233.0,0.1386852369415239,4.0
70.0,220.0,0.14296524098095464,4.0
52.0,241.0,0.1448187069824793,5.0
216.0,227.0,0.14840035166794777,5.0
48.0,239.0,0.14913058257393266,7.0
212.0,224.0,0.1493851868491938,5.0
199.0,225.0,0.14969740032912274,15.0
215.0,229.0,0.15058393295459852,6.0
67.0,178.0,0.15092169792360366,2.0
155.0,181.0,0.15141486020400297,2.0
95.0,232.0,0.16127694868976053,4.0
100.0,247.0,0.16358279343879126,7.0
22.0,80.0,0.1674143979488273,2.0
38.0,240.0,0.17443332385094273,5.0
10.0,13.0,0.17747627422271994,2.0
236.0,245.0,0.17871634265417094,8.0
96.0,168.0,0.18058701986589887,2.0
127.0,246.0,0.18227423291536976,16.0
66.0,242.0,0.18296762237543263,6.0
99.0,222.0,0.18399837981075265,7.0
64.0,171.0,0.18597370701458327,2.0
85.0,86.0,0.1862410382085764,2.0
179.0,253.0,0.18976891440918492,6.0
121.0,157.0,0.1905691785007867,2.0
68.0,235.0,0.1916324562865886,9.0
248.0,251.0,0.19309706065782134,9.0
238.0,244.0,0.19566877319524542,10.0
102.0,243.0,0.20412386818592973,6.0
33.0,120.0,0.20632935521039997,2.0
23.0,237.0,0.2077495044259317,3.0
258.0,264.0,0.21130495077600922,15.0
73.0,257.0,0.21203490200761949,17.0
112.0,250.0,0.2181146423326447,5.0
230.0,271.0,0.22747724971798025,19.0
107.0,110.0,0.22749548886456583,2.0
137.0,259.0,0.22774608676260108,8.0
54.0,260.0,0.2308366916917991,3.0
27.0,34.0,0.23148677215505653,2.0
9.0,111.0,0.23310919214533543,2.0
262.0,265.0,0.23311650003408335,15.0
71.0,255.0,0.23354682090770187,9.0
108.0,159.0,0.2360659530903232,2.0
228.0,267.0,0.244025918007832,9.0
3.0,116.0,0.2471997400311272,2.0
270.0,279.0,0.24925837428931644,30.0
252.0,272.0,0.25177568869501493,7.0
6.0,263.0,0.2549359853132587,3.0
158.0,234.0,0.2559847348920593,3.0
36.0,266.0,0.258571841332288,11.0
57.0,269.0,0.2592795469400539,4.0
17.0,282.0,0.26060926141720575,10.0
2.0,60.0,0.2679183765890274,2.0
69.0,138.0,0.2685790760056961,2.0
162.0,184.0,0.27487961414778106,2.0
254.0,274.0,0.2805114854955415,4.0
106.0,177.0,0.2821080582017401,2.0
12.0,24.0,0.28242860495149047,2.0
160.0,165.0,0.28446509742331283,2.0
134.0,145.0,0.2848478411345795,2.0
117.0,273.0,0.2871208266664221,20.0
114.0,124.0,0.2918552381633578,2.0
4.0,290.0,0.2979605698616802,11.0
287.0,299.0,0.30026891367833136,23.0
284.0,289.0,0.3034606800445309,34.0
115.0,256.0,0.30736442681031073,3.0
41.0,182.0,0.3079960618988975,2.0
275.0,302.0,0.30863152967124136,31.0
249.0,301.0,0.31746415811552414,13.0
105.0,119.0,0.32169743776817694,2.0
14.0,122.0,0.3237746575695779,2.0
261.0,298.0,0.33718067930198875,4.0
