child_1,child_2,distance,n_observations
93.0,162.0,6.481261471180666e-06,2.0
94.0,185.0,1.0143205230683794e-05,3.0
112.0,125.0,1.0566803235079192e-05,2.0
106.0,143.0,1.1335303118253925e-05,2.0
76.0,183.0,1.2031857863914475e-05,2.0
46.0,155.0,1.2892623292626304e-05,2.0
8.0,33.0,1.6471402230600063e-05,2.0
136.0,161.0,1.7417359469806826e-05,2.0
168.0,169.0,1.752417521794225e-05,2.0
13.0,116.0,1.8363361615980622e-05,2.0
3.0,187.0,2.0561569053723083e-05,3.0
165.0,170.0,2.166815296944513e-05,2.0
120.0,191.0,2.2777882307312147e-05,3.0
92.0,129.0,2.5176212558819522e-05,2.0
90.0,190.0,2.6338608509479666e-05,3.0
2.0,189.0,2.96656744590007e-05,3.0
126.0,153.0,2.9998691314037096e-05,2.0
110.0,114.0,3.2259859268357616e-05,2.0
80.0,199.0,3.297110957541557e-05,4.0
58.0,192.0,3.3223370328072654e-05,3.0
119.0,173.0,3.392844938132633e-05,2.0
164.0,166.0,3.443702853822561e-05,2.0
25.0,108.0,3.4789070096463703e-05,2.0
70.0,133.0,3.674399658848415e-05,2.0
59.0,156.0,3.718916200667888e-05,2.0
132.0,201.0,4.078123742795592e-05,3.0
141.0,147.0,4.2360371532601526e-05,2.0
124.0,200.0,4.346725588314874e-05,4.0
107.0,195.0,4.367398279925272e-05,4.0
175.0,205.0,4.540768971489362e-05,3.0
186.0,203.0,4.569379210069465e-05,7.0
18.0,113.0,4.8634104880762585e-05,2.0
134.0,160.0,4.934179003890371e-05,2.0
98.0,117.0,4.98511112193567e-05,2.0
50.0,193.0,5.025499463573446e-05,3.0
137.0,204.0,5.3505759142683886e-05,4.0
178.0,198.0,5.5973926938901464e-05,3.0
105.0,202.0,5.7237810100640996e-05,3.0
65.0,135.0,5.838783664680047e-05,2.0
63.0,91.0,6.349642861958049e-05,2.0
152.0,212.0,6.355477581604374e-05,5.0
38.0,208.0,6.358678509177373e-05,3.0
188.0,210.0,6.513903782373598e-05,5.0
89.0,158.0,6.575973822853243e-05,2.0
14.0,67.0,6.576773565225569e-05,2.0
10.0,100.0,6.676485619705463e-05,2.0
213.0,214.0,6.797058358556005e-05,7.0
197.0,216.0,6.819720656053851e-05,5.0
61.0,150.0,7.729007203471916e-05,2.0
220.0,221.0,7.739498956639095e-05,7.0
69.0,225.0,7.796384638574239e-05,6.0
11.0,31.0,7.843074120017501e-05,2.0
