child_1,child_2,distance,n_observations
76.0,147.0,1.0852007583106449e-05,2.0
97.0,98.0,2.5664269075575952e-05,2.0
152.0,153.0,2.6940478349612995e-05,2.0
136.0,178.0,3.0316275356101485e-05,2.0
92.0,165.0,3.455957068709825e-05,2.0
2.0,185.0,4.111504126025345e-05,3.0
20.0,24.0,4.449847597243206e-05,2.0
3.0,25.0,4.616067543206093e-05,2.0
38.0,154.0,5.224906272704999e-05,2.0
131.0,171.0,5.347696434843119e-05,2.0
169.0,170.0,6.473682314733775e-05,2.0
120.0,124.0,6.773182687502821e-05,2.0
58.0,67.0,7.139069121531172e-05,2.0
89.0,173.0,7.95563568771751e-05,2.0
93.0,95.0,8.410243850109911e-05,2.0
65.0,117.0,9.133722602361338e-05,2.0
14.0,70.0,9.174667343636589e-05,2.0
31.0,181.0,0.00011566047208588781,2.0
4.0,8.0,0.00012901653000441105,2.0
160.0,187.0,0.00013810053687146606,3.0
11.0,34.0,0.0001412501748783157,2.0
132.0,143.0,0.00014285589387752484,2.0
29.0,186.0,0.00015668467806528863,3.0
96.0,146.0,0.00016996883913789063,2.0
189.0,200.0,0.00017051986691665744,4.0
36.0,52.0,0.00018110699265339036,2.0
0.0,105.0,0.00019577042656138133,2.0
10.0,15.0,0.0002155213137891021,2.0
79.0,109.0,0.00023456118795273095,2.0
73.0,141.0,0.0002359337430376529,2.0
128.0,142.0,0.00024233681965546428,2.0
161.0,201.0,0.00026991920160168714,3.0
119.0,126.0,0.000285631448334156,2.0
22.0,193.0,0.0003041788797291112,3.0
86.0,149.0,0.00031058605124356653,2.0
6.0,21.0,0.0003224802000009186,2.0
113.0,204.0,0.0003396422883897854,4.0
114.0,196.0,0.00034383618319877574,3.0
134.0,192.0,0.0003446100753197179,3.0
91.0,175.0,0.00035165640747181204,2.0
57.0,135.0,0.00036339197148149704,2.0
48.0,133.0,0.00036402013994540905,2.0
188.0,209.0,0.00037799264215551687,6.0
101.0,163.0,0.00039790332719746857,2.0
16.0,108.0,0.0004283394925171935,2.0
90.0,129.0,0.0004343073325305813,2.0
137.0,174.0,0.00044508678239096877,2.0
51.0,69.0,0.00046709000462474837,2.0
61.0,158.0,0.0004919475581919297,2.0
104.0,118.0,0.0005271268489340786,2.0
56.0,162.0,0.0005402584012766942,2.0
156.0,212.0,0.0005418005984401675,3.0
18.0,214.0,0.0005659370771779471,3.0
66.0,180.0,0.0005856578016241176,2.0
167.0,218.0,0.0005925600347020943,4.0
112.0,166.0,0.0005952905123938201,2.0
125.0,217.0,0.00059772371756045,3.0
53.0,82.0,0.0005987009553047873,2.0
150.0,221.0,0.0006334427128960041,5.0
144.0,151.0,0.0006502102244164698,2.0
190.0,232.0,0.0006649675819643448,5.0
80.0,155.0,0.0006670273281722539,2.0
87.0,145.0,0.0006922392689870938,2.0
203.0,206.0,0.0007167616908353436,4.0
35.0,230.0,0.0007353099750186387,3.0
81.0,159.0,0.000739585078411209,2.0
111.0,248.0,0.0007450756974674011,5.0
223.0,233.0,0.0007611161499067969,5.0
7.0,40.0,0.0007740217843806851,2.0
216.0,239.0,0.0008127438512880356,7.0
106.0,198.0,0.0008530919307151996,3.0
74.0,177.0,0.0008621990891127806,2.0
37.0,115.0,0.0008623765099905478,2.0
122.0,191.0,0.0008690551594757179,3.0
208.0,226.0,0.0009053750211486244,4.0
107.0,224.0,0.0009083200134031855,3.0
62.0,168.0,0.0009526641030854766,2.0
32.0,164.0,0.0010449554535254535,2.0
197.0,259.0,0.0010525046915577513,6.0
13.0,260.0,0.0010668840125147943,4.0
1.0,78.0,0.0010927578755979273,2.0
231.0,242.0,0.0011186664836479454,4.0
202.0,207.0,0.0011434154887884351,5.0
77.0,85.0,0.0012661802921946075,2.0
182.0,225.0,0.001317771354539643,3.0
100.0,244.0,0.0013235930072148516,3.0
49.0,241.0,0.0013308649059167548,4.0
12.0,236.0,0.001344587859089826,4.0
50.0,238.0,0.0013655292427923738,3.0
215.0,227.0,0.0013817317604258397,8.0
33.0,42.0,0.0014361987467201853,2.0
138.0,228.0,0.0014448371868452936,3.0
55.0,102.0,0.0014831235507180018,2.0
44.0,266.0,0.001488328374751574,5.0
30.0,249.0,0.0016353544568593985,4.0
45.0,60.0,0.001684953021422242,2.0
110.0,240.0,0.0018052472323187296,3.0
84.0,205.0,0.0018994110337575698,3.0
176.0,264.0,0.0019318275635743232,5.0
195.0,246.0,0.001972390066670604,4.0
47.0,245.0,0.001987018448128719,6.0
256.0,276.0,0.001995342101586454,5.0
63.0,262.0,0.0021134145378016167,3.0
213.0,247.0,0.0021588777904089362,4.0
127.0,140.0,0.002200852877101034,2.0
5.0,130.0,0.0022349661907443696,2.0
26.0,121.0,0.0022991227443259765,2.0
46.0,279.0,0.0023220807731207938,5.0
19.0,267.0,0.0023270187255889805,6.0
211.0,258.0,0.0023816914885412634,5.0
183.0,252.0,0.0023839566166115934,6.0
243.0,271.0,0.00253339998284306,9.0
254.0,277.0,0.002553217543239767,9.0
59.0,253.0,0.002593007758913135,3.0
261.0,278.0,0.0029381253679751198,7.0
54.0,72.0,0.003067574772672832,2.0
23.0,273.0,0.003104709734101929,4.0
250.0,280.0,0.003186855882945455,4.0
210.0,272.0,0.0031968953964281732,6.0
234.0,275.0,0.003197225056243841,4.0
229.0,257.0,0.0032070253274286697,4.0
94.0,274.0,0.0033315853232456782,9.0
116.0,268.0,0.0033726336151876923,3.0
9.0,194.0,0.0035096207234490695,3.0
123.0,282.0,0.003681221011354966,4.0
285.0,303.0,0.0037005670337104113,12.0
222.0,251.0,0.0037293272402367426,8.0
103.0,235.0,0.004043154656963588,3.0
139.0,157.0,0.004164656736655337,2.0
88.0,288.0,0.004331465188524175,5.0
287.0,305.0,0.004388108784619269,7.0
39.0,296.0,0.004416975860521612,10.0
71.0,255.0,0.004776499915116528,4.0
99.0,312.0,0.0048203578318056035,4.0
27.0,284.0,0.005344793740489906,5.0
184.0,307.0,0.005545642037972143,4.0
172.0,265.0,0.005929499049695475,3.0
219.0,286.0,0.006008145571632506,7.0
199.0,292.0,0.0060628249713554185,7.0
291.0,300.0,0.006473520886208228,4.0
263.0,302.0,0.006774049754479669,10.0
237.0,304.0,0.006901215235603432,7.0
64.0,290.0,0.006998879667696578,3.0
297.0,318.0,0.007429430907642429,13.0
283.0,314.0,0.008112159037992029,10.0
17.0,309.0,0.008703808058358548,5.0
83.0,320.0,0.00902790975125134,5.0
75.0,310.0,0.009138198720435734,13.0
289.0,299.0,0.009734802616906577,9.0
