child_1,child_2,distance,n_observations
111.0,134.0,2.3141731356757234e-05,2.0
45.0,64.0,2.5486747818881383e-05,2.0
113.0,173.0,2.9413343189288454e-05,2.0
129.0,170.0,3.779928119973519e-05,2.0
12.0,107.0,3.838654373788941e-05,2.0
76.0,112.0,3.844698016608472e-05,2.0
3.0,119.0,4.642703314283736e-05,2.0
69.0,125.0,4.9134352609114806e-05,2.0
175.0,187.0,5.0658238234913e-05,3.0
155.0,169.0,5.262220644963733e-05,2.0
56.0,188.0,5.2811349126935525e-05,3.0
18.0,20.0,7.168279028657576e-05,2.0
84.0,182.0,7.176861607860463e-05,2.0
162.0,195.0,7.265574371632481e-05,4.0
141.0,183.0,7.488988998050061e-05,2.0
40.0,71.0,7.841563151678166e-05,2.0
85.0,190.0,7.972785350102152e-05,3.0
5.0,186.0,8.309197696038106e-05,3.0
70.0,161.0,8.495725486923345e-05,2.0
185.0,193.0,8.912544918182608e-05,5.0
108.0,160.0,9.076251921513734e-05,2.0
30.0,178.0,9.17359392141881e-05,2.0
15.0,192.0,9.561125726503805e-05,3.0
79.0,109.0,0.00010347198089433185,2.0
90.0,94.0,0.00010561806342579416,2.0
50.0,53.0,0.00010942258049839726,2.0
165.0,194.0,0.00011319485856614575,3.0
114.0,176.0,0.00011451161311237801,2.0
93.0,210.0,0.0001204223826027917,3.0
158.0,166.0,0.00012330959317474743,2.0
10.0,110.0,0.00012337568166242985,2.0
189.0,196.0,0.000133046471090692,4.0
59.0,147.0,0.0001343871267914798,2.0
200.0,207.0,0.00013543007262930193,5.0
33.0,120.0,0.00014357627837557896,2.0
156.0,208.0,0.00014706434364830656,3.0
87.0,116.0,0.00014827309113962794,2.0
103.0,140.0,0.00015107708208272896,2.0
11.0,35.0,0.00015383093530052516,2.0
57.0,197.0,0.0001560609829754367,3.0
67.0,137.0,0.0001733637340504135,2.0
212.0,215.0,0.00017372421022246454,4.0
28.0,202.0,0.00017478299482072876,4.0
66.0,203.0,0.00017723295938654182,3.0
191.0,219.0,0.00017904186317113657,4.0
