child_1,child_2,distance,n_observations
93.0,128.0,0.13535359431927352,2.0
51.0,59.0,0.13968981068681685,2.0
7.0,19.0,0.1411587298632503,2.0
15.0,118.0,0.15485571113814667,2.0
174.0,180.0,0.15499767235351758,2.0
53.0,67.0,0.15684655354852572,2.0
23.0,103.0,0.16013342894674532,2.0
125.0,143.0,0.16599912097638092,2.0
8.0,105.0,0.1678361518490329,2.0
21.0,188.0,0.17266358982509278,3.0
0.0,116.0,0.1778722738018148,2.0
45.0,49.0,0.1887818851446128,2.0
55.0,56.0,0.19146471641861063,2.0
18.0,104.0,0.192344126060093,2.0
43.0,46.0,0.19239831700796528,2.0
1.0,5.0,0.19264951587375712,2.0
28.0,29.0,0.19626437980919986,2.0
167.0,189.0,0.1977256782480229,3.0
9.0,108.0,0.20243606873319597,2.0
152.0,154.0,0.20454380294516117,2.0
42.0,47.0,0.20841003192624963,2.0
194.0,195.0,0.21676659120137987,5.0
63.0,175.0,0.2207909481189977,2.0
81.0,126.0,0.2259615882603806,2.0
77.0,129.0,0.22643826410627266,2.0
79.0,192.0,0.22910644626120585,3.0
191.0,200.0,0.23276380472756833,4.0
41.0,205.0,0.2356693296264748,3.0
99.0,137.0,0.23642866196398638,2.0
32.0,33.0,0.23776249431281193,2.0
198.0,206.0,0.2381079594120024,7.0
147.0,149.0,0.2381776144037745,2.0
54.0,157.0,0.2382383768838081,2.0
186.0,197.0,0.23981421885234594,4.0
37.0,39.0,0.2448004295052144,2.0
166.0,202.0,0.2527914209131975,4.0
85.0,86.0,0.25409524563324226,2.0
72.0,204.0,0.25498749744116983,3.0
83.0,190.0,0.25880839422085533,3.0
90.0,185.0,0.260322219362521,3.0
22.0,121.0,0.2648290259193862,2.0
80.0,146.0,0.26696449009652223,2.0
3.0,203.0,0.2673406299549488,3.0
159.0,207.0,0.27255201331960704,3.0
115.0,117.0,0.278472881631209,2.0
88.0,142.0,0.28017408190181525,2.0
211.0,215.0,0.28157652480674666,11.0
68.0,218.0,0.28163580141822386,5.0
208.0,209.0,0.28226260075373866,4.0
44.0,196.0,0.2825211040777403,3.0
13.0,31.0,0.2837103758618733,2.0
57.0,62.0,0.2887726085632728,2.0
34.0,199.0,0.29024588336062807,3.0
100.0,111.0,0.2936860142171328,2.0
212.0,219.0,0.29645093256369776,5.0
161.0,222.0,0.2964849863632514,4.0
35.0,234.0,0.29841204025663254,4.0
14.0,109.0,0.30020052639640105,2.0
150.0,179.0,0.3012553765139192,2.0
232.0,236.0,0.3044839839924247,7.0
138.0,213.0,0.30984125627106174,3.0
127.0,210.0,0.31306562894257967,4.0
11.0,227.0,0.3133996629048274,4.0
10.0,110.0,0.319653750359022,2.0
229.0,247.0,0.3223900762742601,6.0
82.0,224.0,0.32380064255106217,4.0
160.0,228.0,0.32518414956846586,4.0
92.0,95.0,0.32682246725900777,2.0
201.0,241.0,0.3305719797813254,6.0
24.0,124.0,0.3308479848482677,2.0
171.0,220.0,0.3311689845940996,5.0
244.0,251.0,0.3330478941239231,11.0
97.0,226.0,0.33349220183535616,3.0
4.0,102.0,0.33385861661027416,2.0
52.0,64.0,0.3345523942048607,2.0
156.0,177.0,0.33574047144645347,2.0
223.0,240.0,0.33981960923129667,7.0
187.0,231.0,0.3406743564908354,13.0
6.0,16.0,0.3448171150473154,2.0
135.0,250.0,0.3478631045663483,5.0
132.0,245.0,0.3508259851155233,4.0
40.0,239.0,0.35509786309797614,6.0
148.0,216.0,0.3581272052045249,3.0
114.0,173.0,0.35982193410189145,2.0
27.0,214.0,0.3609414236722681,3.0
66.0,164.0,0.3734721266637263,2.0
256.0,260.0,0.37365806992492845,13.0
78.0,246.0,0.3754970523971041,5.0
119.0,120.0,0.37703464648732943,2.0
107.0,249.0,0.3794618894068016,7.0
225.0,262.0,0.3813690673203573,15.0
36.0,237.0,0.3856418760507763,4.0
61.0,255.0,0.38629055841691906,6.0
91.0,233.0,0.3887293381929884,5.0
2.0,258.0,0.3887993663255195,3.0
153.0,163.0,0.39352207888575885,2.0
25.0,26.0,0.39813325569447267,2.0
12.0,248.0,0.4067547200926313,3.0
193.0,235.0,0.412551891406122,4.0
134.0,257.0,0.412908803998808,4.0
122.0,123.0,0.4176272037635166,2.0
38.0,70.0,0.4177797824139997,2.0
259.0,261.0,0.4183925265202052,9.0
87.0,133.0,0.41936377251142143,2.0
264.0,265.0,0.42201953596656605,9.0
144.0,272.0,0.42587202950322656,6.0
263.0,275.0,0.4259832413937122,17.0
151.0,168.0,0.42753600404210423,2.0
238.0,274.0,0.43170543182951027,9.0
243.0,287.0,0.43587741850409284,11.0
71.0,252.0,0.4363457868879546,3.0
182.0,217.0,0.4367048221498711,3.0
74.0,271.0,0.44275472290937845,14.0
254.0,293.0,0.44365798391730216,11.0
270.0,297.0,0.4450368929370462,16.0
130.0,158.0,0.44766053086222335,2.0
94.0,181.0,0.45284316166006455,2.0
136.0,145.0,0.4552725505731311,2.0
96.0,98.0,0.45568855263609487,2.0
253.0,276.0,0.4568176469825863,10.0
17.0,291.0,0.45933810879714665,18.0
50.0,183.0,0.45941222071947574,2.0
69.0,178.0,0.4615263268620491,2.0
267.0,290.0,0.46342010305050046,9.0
76.0,278.0,0.46390123457539867,6.0
140.0,288.0,0.4671096147882395,3.0
165.0,169.0,0.4690115903156056,2.0
20.0,285.0,0.4694557459510316,3.0
170.0,172.0,0.4771154534557117,2.0
30.0,73.0,0.47737146074218806,2.0
75.0,139.0,0.4839892374991134,2.0
277.0,299.0,0.4877378987809558,22.0
282.0,283.0,0.4887498756542493,7.0
162.0,184.0,0.489506060295249,2.0
155.0,311.0,0.4960828794705861,3.0
65.0,294.0,0.49761324530724155,12.0
84.0,230.0,0.5021357644412061,3.0
48.0,304.0,0.5087802193871578,11.0
305.0,314.0,0.5194696259478575,20.0
266.0,286.0,0.5307444296393484,8.0
303.0,309.0,0.53238607932368,8.0
316.0,320.0,0.5325413130588602,34.0
112.0,176.0,0.5370011578730828,2.0
273.0,298.0,0.5401248623044137,13.0
279.0,323.0,0.5424956652524351,23.0
141.0,310.0,0.5450042143918918,4.0
269.0,281.0,0.5503985777396984,5.0
289.0,302.0,0.5582882739377052,11.0
308.0,325.0,0.5585817467957619,17.0
313.0,319.0,0.5688447633117257,5.0
296.0,326.0,0.5758409742230133,37.0
131.0,221.0,0.5769594708832337,3.0
106.0,242.0,0.5861974910565342,3.0
295.0,336.0,0.5895648280471503,6.0
300.0,329.0,0.596956108464303,25.0
322.0,331.0,0.6137821099636045,16.0
337.0,339.0,0.6213319224228999,28.0
58.0,280.0,0.6431313989183262,3.0
89.0,321.0,0.6436615993003233,4.0
301.0,332.0,0.6486401477037304,13.0
328.0,341.0,0.6508122275776133,41.0
307.0,335.0,0.6596260833273292,39.0
284.0,343.0,0.6702776965167236,8.0
317.0,340.0,0.6728442701498573,23.0
306.0,346.0,0.6767602849986134,41.0
292.0,330.0,0.6900705733054715,6.0
315.0,344.0,0.7034530079212017,15.0
268.0,327.0,0.712349359915711,4.0
101.0,333.0,0.7160106848927102,18.0
318.0,334.0,0.7233392039629546,7.0
113.0,312.0,0.7280147955948951,4.0
324.0,348.0,0.7413856001885762,31.0
338.0,351.0,0.7444913889519461,21.0
342.0,350.0,0.7684171474842997,9.0
60.0,349.0,0.7696735782946537,42.0
354.0,359.0,0.8034394560597519,49.0
345.0,353.0,0.8224346804386855,59.0
347.0,360.0,0.8243809550971192,57.0
352.0,361.0,0.8739129759539435,63.0
358.0,362.0,0.8867541794786872,66.0
355.0,363.0,0.945945312727207,67.0
357.0,365.0,0.9618274786012432,88.0
356.0,364.0,1.0073705233880978,97.0
366.0,367.0,1.1891875589973628,185.0
