child_1,child_2,distance,n_observations
81.0,143.0,0.05559232864150132,2.0
28.0,44.0,0.05575011725675405,2.0
92.0,93.0,0.06913627023040181,2.0
95.0,128.0,0.08026062648340304,2.0
29.0,186.0,0.08241114178316128,3.0
43.0,46.0,0.08381779021089364,2.0
34.0,190.0,0.10995897205037886,3.0
88.0,131.0,0.11110951624421384,2.0
9.0,110.0,0.11479244806818012,2.0
1.0,16.0,0.11808893252680375,2.0
166.0,167.0,0.11900247942467279,2.0
187.0,188.0,0.12427915760792407,4.0
122.0,123.0,0.12438493202151779,2.0
24.0,124.0,0.12581199066600413,2.0
45.0,189.0,0.12828290768429215,4.0
174.0,180.0,0.12952705776404227,2.0
32.0,33.0,0.1295368291373128,2.0
137.0,192.0,0.13117191859175847,3.0
49.0,199.0,0.14167132372174404,5.0
18.0,19.0,0.14409866404591554,2.0
15.0,194.0,0.14738861714030077,3.0
8.0,105.0,0.14884847927996225,2.0
126.0,185.0,0.14901275919636803,3.0
99.0,132.0,0.15640396064494255,2.0
129.0,149.0,0.15970567316393247,2.0
13.0,193.0,0.16073016443742832,3.0
103.0,205.0,0.16353258658388814,4.0
35.0,203.0,0.16720720445086287,6.0
78.0,144.0,0.17279290545969872,2.0
120.0,201.0,0.1789681432360971,3.0
20.0,197.0,0.18035962205574502,3.0
202.0,208.0,0.1890559487541409,5.0
76.0,207.0,0.1921124603966691,4.0
79.0,84.0,0.19276531403979758,2.0
26.0,31.0,0.19659440313975474,2.0
10.0,107.0,0.20400954753736145,2.0
181.0,183.0,0.20972632603096597,2.0
108.0,210.0,0.20973908916436734,4.0
158.0,184.0,0.21070154280493925,2.0
36.0,191.0,0.21513175787426575,4.0
3.0,101.0,0.2185352781490809,2.0
119.0,206.0,0.21926695033181326,3.0
91.0,217.0,0.2193648766114027,5.0
153.0,163.0,0.22529116633555013,2.0
11.0,114.0,0.22720856881547824,2.0
90.0,146.0,0.2283248682015404,2.0
127.0,130.0,0.23192402003121193,2.0
102.0,211.0,0.2336328883169792,5.0
77.0,125.0,0.23520880013239742,2.0
48.0,214.0,0.24248337052368255,4.0
172.0,182.0,0.24529815110464936,2.0
4.0,225.0,0.24630326105174255,3.0
59.0,100.0,0.2484142721607867,2.0
89.0,147.0,0.24914446595442508,2.0
73.0,165.0,0.24922668169339024,2.0
219.0,229.0,0.24978249630149743,4.0
111.0,173.0,0.2499647718419139,2.0
116.0,204.0,0.2533856804482975,3.0
157.0,200.0,0.2579913783144324,3.0
94.0,230.0,0.2612462314911727,3.0
212.0,224.0,0.26464794606987085,10.0
220.0,222.0,0.2656634895362525,6.0
5.0,6.0,0.2671430165392409,2.0
63.0,175.0,0.27037101692712784,2.0
42.0,47.0,0.27065949696042135,2.0
209.0,233.0,0.2795678247992054,4.0
64.0,72.0,0.2832473000418858,2.0
136.0,196.0,0.2857924796314402,5.0
62.0,195.0,0.2864313839135529,3.0
228.0,235.0,0.28939841172442576,4.0
85.0,87.0,0.29125697603326606,2.0
216.0,238.0,0.2954354337199654,7.0
7.0,104.0,0.3000065319886459,2.0
69.0,239.0,0.3031861449851759,3.0
135.0,252.0,0.303948004892656,6.0
12.0,25.0,0.30755854681034567,2.0
14.0,236.0,0.31084577607601166,4.0
37.0,41.0,0.31222613675296707,2.0
161.0,221.0,0.3126422676544707,3.0
97.0,244.0,0.31359605020925113,4.0
17.0,198.0,0.3161182540424215,3.0
51.0,57.0,0.3168018164210643,2.0
226.0,234.0,0.3203280329538705,7.0
74.0,156.0,0.3258077984323664,2.0
227.0,256.0,0.32853826290181803,12.0
70.0,134.0,0.3300724912311417,2.0
240.0,246.0,0.33039423852524236,10.0
148.0,218.0,0.33081371639192814,3.0
140.0,142.0,0.33112377516784663,2.0
98.0,250.0,0.33637816829564166,5.0
30.0,109.0,0.3422965838505576,2.0
237.0,243.0,0.34420558656436623,5.0
67.0,154.0,0.3467607398616622,2.0
58.0,164.0,0.34691149387962195,2.0
82.0,264.0,0.349492740359437,5.0
162.0,248.0,0.35044541195593437,3.0
178.0,223.0,0.35270255361263436,3.0
139.0,151.0,0.3595903540377494,2.0
21.0,232.0,0.3616680280829808,6.0
40.0,249.0,0.36736961258048817,3.0
71.0,155.0,0.3683664827016885,2.0
60.0,133.0,0.3691016385602637,2.0
254.0,263.0,0.37056624637861457,7.0
27.0,267.0,0.37311080683883124,8.0
118.0,257.0,0.3736405532169804,3.0
213.0,255.0,0.3769541403054975,4.0
177.0,253.0,0.38223188984322554,4.0
150.0,215.0,0.38731950419609934,4.0
121.0,247.0,0.38755971234156955,3.0
80.0,279.0,0.38886542555483244,6.0
23.0,283.0,0.3933730833582973,7.0
171.0,251.0,0.39408297476900817,3.0
38.0,241.0,0.3957266011981632,3.0
75.0,273.0,0.3973043856030495,3.0
39.0,262.0,0.3980725040186454,3.0
2.0,261.0,0.4008305055881676,5.0
54.0,160.0,0.4013938088985547,2.0
245.0,265.0,0.4101925127366175,13.0
271.0,292.0,0.4107063856060186,14.0
141.0,269.0,0.4112736469257981,13.0
115.0,258.0,0.41184362969664096,4.0
65.0,277.0,0.4160026990301215,3.0
259.0,282.0,0.42128411444011415,8.0
113.0,288.0,0.42325908163594383,9.0
106.0,112.0,0.4272950244900977,2.0
276.0,291.0,0.43482222648796065,9.0
55.0,266.0,0.43731560646524,3.0
56.0,278.0,0.44100643284383695,3.0
52.0,287.0,0.44372593748726663,8.0
260.0,309.0,0.4439579779192265,4.0
138.0,272.0,0.44424192060726053,4.0
281.0,311.0,0.44933278877757665,6.0
231.0,298.0,0.45289545920120206,5.0
280.0,296.0,0.4566267998568354,6.0
117.0,176.0,0.4578557270509058,2.0
22.0,268.0,0.46132116532368095,3.0
295.0,302.0,0.47537434644247867,20.0
96.0,168.0,0.47579695907400965,2.0
286.0,290.0,0.4809913092017052,6.0
270.0,317.0,0.48283268583170447,7.0
301.0,316.0,0.48658903993303576,8.0
285.0,313.0,0.4889524344569651,10.0
284.0,299.0,0.490042016409479,6.0
66.0,170.0,0.5001227435708995,2.0
300.0,321.0,0.5030133754400452,25.0
242.0,293.0,0.5052702961044498,6.0
304.0,324.0,0.5062406883108419,20.0
274.0,315.0,0.5070279271103101,9.0
297.0,310.0,0.5141129317376065,12.0
303.0,308.0,0.5150458241105415,23.0
294.0,307.0,0.5172053846069572,14.0
