child_1,child_2,distance,n_observations
8.0,105.0,0.1536902611796166,2.0
29.0,44.0,0.1858928260653887,2.0
42.0,47.0,0.2218859876528777,2.0
31.0,33.0,0.22544708814146597,2.0
28.0,186.0,0.22780451755034886,3.0
93.0,128.0,0.23651810729423883,2.0
165.0,171.0,0.24206667930404113,2.0
7.0,19.0,0.25480128545622005,2.0
18.0,116.0,0.257106809823323,2.0
110.0,123.0,0.2702570241836588,2.0
9.0,13.0,0.270486091957466,2.0
118.0,193.0,0.2806592587139508,3.0
43.0,189.0,0.2893196979117523,4.0
72.0,152.0,0.29374055611913097,2.0
82.0,90.0,0.3014407992529351,2.0
185.0,188.0,0.3033684484190996,4.0
25.0,26.0,0.30369987135415,2.0
0.0,192.0,0.3155731098139495,3.0
94.0,190.0,0.3156596068132799,3.0
111.0,112.0,0.31673265639679415,2.0
158.0,184.0,0.32183204410059474,2.0
6.0,102.0,0.32891512877038687,2.0
21.0,196.0,0.3369924311371985,4.0
1.0,36.0,0.3443537819450553,2.0
45.0,197.0,0.34600926619951416,5.0
114.0,202.0,0.3483314865578344,4.0
35.0,48.0,0.3498646681911288,2.0
166.0,167.0,0.350798024779281,2.0
11.0,195.0,0.3555978604591435,3.0
92.0,146.0,0.3593824708786829,2.0
12.0,108.0,0.3598920700647651,2.0
14.0,23.0,0.36030800318661804,2.0
52.0,64.0,0.36649686721669184,2.0
15.0,16.0,0.37048466106393796,2.0
160.0,169.0,0.3706399525598687,2.0
65.0,198.0,0.37200201845638803,3.0
59.0,161.0,0.3725587148425298,2.0
122.0,194.0,0.3770181443404815,3.0
115.0,207.0,0.3837122191372797,5.0
137.0,203.0,0.38450437802464066,4.0
104.0,210.0,0.38654562803699866,5.0
34.0,46.0,0.3867315699890034,2.0
20.0,222.0,0.3998595717160353,4.0
213.0,215.0,0.40079325211359895,5.0
174.0,212.0,0.40151356320186565,3.0
67.0,220.0,0.40280189347128054,4.0
32.0,200.0,0.4053096565903813,5.0
223.0,225.0,0.40772788449670366,10.0
37.0,41.0,0.4106030418004927,2.0
191.0,205.0,0.4147188685908455,4.0
199.0,214.0,0.41792157695371185,4.0
201.0,231.0,0.4196043592107183,7.0
81.0,127.0,0.4229724131507293,2.0
106.0,232.0,0.423482167186431,11.0
40.0,187.0,0.4236880704712367,3.0
2.0,216.0,0.43317852661832756,3.0
63.0,234.0,0.4331802134196038,5.0
164.0,178.0,0.4409273276817244,2.0
209.0,226.0,0.44173528481692337,7.0
103.0,208.0,0.4428522754132628,3.0
17.0,238.0,0.44603498238614586,12.0
75.0,77.0,0.4461590003442778,2.0
204.0,245.0,0.45664911969563365,14.0
84.0,149.0,0.4612106154884813,2.0
143.0,237.0,0.46664860776882067,3.0
162.0,219.0,0.4683165165933638,3.0
78.0,79.0,0.4759669556981587,2.0
125.0,126.0,0.4794582346968813,2.0
119.0,120.0,0.48196675780233045,2.0
30.0,244.0,0.4829448304855449,4.0
124.0,206.0,0.4840814948156819,3.0
74.0,170.0,0.4841142784674073,2.0
85.0,86.0,0.4857022661538355,2.0
136.0,235.0,0.48588359480871546,5.0
153.0,163.0,0.4887212306523856,2.0
88.0,97.0,0.4889738311042148,2.0
4.0,100.0,0.4893390785266558,2.0
55.0,61.0,0.48941067723000165,2.0
95.0,224.0,0.4898335476778986,5.0
180.0,229.0,0.49489751840934176,4.0
233.0,239.0,0.495451516491646,5.0
109.0,228.0,0.4954718429735349,6.0
80.0,134.0,0.5008545853190725,2.0
211.0,243.0,0.5044205049544519,9.0
154.0,241.0,0.5066846766609086,6.0
132.0,145.0,0.5108210797443431,2.0
135.0,263.0,0.5117562719185244,6.0
24.0,247.0,0.5172033983266767,15.0
76.0,91.0,0.5201735851663831,2.0
227.0,261.0,0.5258380334013625,6.0
10.0,107.0,0.527312997424034,2.0
51.0,177.0,0.5285895932584077,2.0
54.0,157.0,0.5290589949906048,2.0
148.0,248.0,0.5316199961853786,3.0
139.0,142.0,0.5337984467998684,2.0
5.0,255.0,0.534377627984834,4.0
49.0,268.0,0.5349779041540701,10.0
53.0,230.0,0.539842107237817,5.0
83.0,140.0,0.5419322697565966,2.0
22.0,121.0,0.5420407047469179,2.0
62.0,250.0,0.5433776989430248,4.0
138.0,246.0,0.5570986391827685,3.0
144.0,252.0,0.5589235588070698,3.0
258.0,271.0,0.5630391413947313,11.0
240.0,272.0,0.5642754024046465,18.0
96.0,155.0,0.5654737081745693,2.0
266.0,275.0,0.5693163602937761,8.0
71.0,181.0,0.5701105670354976,2.0
101.0,117.0,0.5732536059817819,2.0
50.0,217.0,0.5734907377272411,3.0
150.0,264.0,0.5744976140757636,5.0
