child_1,child_2,distance,n_observations
34.0,46.0,0.1015612435700971,2.0
60.0,70.0,0.10945566169381171,2.0
44.0,45.0,0.11841335527377972,2.0
79.0,148.0,0.11889249174072158,2.0
28.0,29.0,0.12010283800811217,2.0
37.0,42.0,0.12080346706083067,2.0
53.0,152.0,0.13194039370685473,2.0
129.0,188.0,0.13804387608765495,3.0
185.0,187.0,0.14912119299969745,4.0
154.0,191.0,0.15349070528863795,3.0
126.0,130.0,0.16284374924894562,2.0
122.0,123.0,0.16626590351399217,2.0
166.0,174.0,0.1717036472245007,2.0
167.0,197.0,0.17582073780578927,3.0
92.0,93.0,0.18222847571687983,2.0
175.0,194.0,0.18697109645947,4.0
189.0,193.0,0.1887061192504771,6.0
89.0,142.0,0.19222845664494337,2.0
8.0,31.0,0.19439155159734733,2.0
143.0,195.0,0.19635812262808872,3.0
59.0,161.0,0.19951074429900573,2.0
192.0,204.0,0.1999230269795708,6.0
64.0,65.0,0.2028532895719779,2.0
180.0,198.0,0.2042588115510562,4.0
171.0,200.0,0.21813601269665236,5.0
48.0,201.0,0.21827353752255876,7.0
127.0,147.0,0.22337944491223682,2.0
55.0,67.0,0.22347596366502864,2.0
176.0,178.0,0.22423780881658495,2.0
51.0,157.0,0.22542918103092047,2.0
149.0,211.0,0.22629758556459234,3.0
20.0,209.0,0.233035327733191,6.0
76.0,91.0,0.23392357327309743,2.0
61.0,183.0,0.2346613465399695,2.0
75.0,125.0,0.23583342465399393,2.0
10.0,108.0,0.23955152315589312,2.0
14.0,103.0,0.24067371237773327,2.0
135.0,146.0,0.2413696940759511,2.0
52.0,159.0,0.24243359753610882,2.0
177.0,205.0,0.2428253649206169,3.0
96.0,155.0,0.24552272850148926,2.0
128.0,199.0,0.25503619474194245,3.0
69.0,165.0,0.2567662301672331,2.0
72.0,207.0,0.25758410924052433,3.0
87.0,206.0,0.25879621376338957,7.0
202.0,229.0,0.27097216669285795,9.0
30.0,210.0,0.2710483527583741,8.0
24.0,124.0,0.27154513138611525,2.0
208.0,212.0,0.27276044485577267,6.0
32.0,40.0,0.27633097716281096,2.0
39.0,88.0,0.2773429108715746,2.0
23.0,85.0,0.280801626581757,2.0
71.0,224.0,0.28131654899285,4.0
43.0,49.0,0.2826409461981998,2.0
73.0,190.0,0.2830650824399388,3.0
132.0,222.0,0.2861825311015797,3.0
151.0,225.0,0.2868341517608173,3.0
164.0,223.0,0.2891841701757925,3.0
216.0,218.0,0.2934003474605172,8.0
78.0,144.0,0.2992747702356794,2.0
114.0,221.0,0.3035750501970423,3.0
36.0,231.0,0.30916974054339535,9.0
182.0,214.0,0.30966159744367733,3.0
228.0,243.0,0.3117465671119648,11.0
54.0,233.0,0.3127075510063035,7.0
27.0,47.0,0.31538337064633604,2.0
105.0,203.0,0.31541220173097095,3.0
162.0,172.0,0.3183796162868878,2.0
215.0,230.0,0.3197409666621352,12.0
82.0,226.0,0.32714346619788365,4.0
107.0,110.0,0.327459239511791,2.0
57.0,249.0,0.3291054980734363,8.0
236.0,245.0,0.32958701164723464,5.0
5.0,6.0,0.3343270747877817,2.0
63.0,160.0,0.33809409764956366,2.0
86.0,133.0,0.3382360845152218,2.0
116.0,235.0,0.33845753657322775,3.0
247.0,252.0,0.33878693678598293,5.0
196.0,232.0,0.3418001269430052,4.0
58.0,156.0,0.3461372929615546,2.0
240.0,254.0,0.3476974423636011,7.0
7.0,15.0,0.35967713573614535,2.0
56.0,66.0,0.36085464233712106,2.0
74.0,170.0,0.3673170782215285,2.0
217.0,253.0,0.3712070191725662,14.0
131.0,140.0,0.3734643850039294,2.0
234.0,246.0,0.37368036952445005,11.0
90.0,97.0,0.3739736281420859,2.0
219.0,269.0,0.3747984996842354,16.0
242.0,248.0,0.37683090385684853,14.0
213.0,256.0,0.37763310021954793,10.0
257.0,263.0,0.38159033884310495,9.0
17.0,106.0,0.38338337782347087,2.0
186.0,241.0,0.38348952716648016,5.0
239.0,261.0,0.38358786626912345,6.0
265.0,272.0,0.39231695110624587,9.0
35.0,238.0,0.398509948461032,3.0
3.0,255.0,0.4013856508701488,3.0
22.0,169.0,0.4035870223230271,2.0
80.0,134.0,0.4051092558571808,2.0
81.0,101.0,0.4070469603189899,2.0
12.0,19.0,0.40823298288633547,2.0
250.0,271.0,0.40936015942445164,13.0
274.0,275.0,0.41091258638080996,24.0
100.0,173.0,0.41523189298323027,2.0
273.0,279.0,0.42179647253075764,22.0
84.0,260.0,0.42674185064718273,3.0
264.0,268.0,0.4293495355135247,4.0
111.0,282.0,0.42947367741415493,4.0
94.0,95.0,0.44024434372846943,2.0
139.0,270.0,0.4420512357308751,3.0
145.0,280.0,0.4472663094111958,10.0
1.0,16.0,0.4512338507425905,2.0
259.0,267.0,0.4523229893786581,4.0
2.0,98.0,0.45348798014694425,2.0
33.0,281.0,0.4584949350799192,4.0
50.0,220.0,0.4598733537185619,3.0
104.0,266.0,0.46072650070928,3.0
181.0,262.0,0.46108216313299144,6.0
13.0,168.0,0.463031037130332,2.0
287.0,290.0,0.46322862677399634,35.0
62.0,288.0,0.4730038171973358,25.0
141.0,163.0,0.476802407134682,2.0
184.0,227.0,0.4808247849044486,3.0
137.0,244.0,0.48391748675243745,3.0
301.0,306.0,0.49019059766900624,28.0
99.0,296.0,0.4910051457149726,11.0
258.0,276.0,0.49148634761036303,11.0
291.0,295.0,0.5060684694262149,6.0
9.0,112.0,0.506728948666421,2.0
25.0,150.0,0.5080949600552531,2.0
278.0,304.0,0.5089543047298264,7.0
11.0,305.0,0.5109830277671018,36.0
115.0,293.0,0.515671095136571,5.0
21.0,237.0,0.5168989441956209,5.0
283.0,312.0,0.5246057399209002,13.0
294.0,311.0,0.5277937899112933,13.0
286.0,297.0,0.5354897144924367,4.0
77.0,285.0,0.5369227956897151,3.0
309.0,317.0,0.5412550817623178,39.0
303.0,308.0,0.5440340721615696,9.0
289.0,310.0,0.5494149352338341,30.0
277.0,314.0,0.5598716504094897,4.0
18.0,322.0,0.5610949116624429,5.0
68.0,326.0,0.5683618246903737,31.0
284.0,321.0,0.5706667118505027,15.0
113.0,120.0,0.5763228208259605,2.0
117.0,138.0,0.5850756461548544,2.0
325.0,329.0,0.5857568534755642,40.0
251.0,320.0,0.5924654801120602,16.0
