child_1,child_2,distance,n_observations
8.0,105.0,0.033209769593829375,2.0
174.0,180.0,0.04539691240401722,2.0
76.0,91.0,0.05589750232840196,2.0
32.0,45.0,0.05764964141292406,2.0
29.0,44.0,0.058620711801818604,2.0
93.0,128.0,0.06488952891458799,2.0
90.0,146.0,0.07548127235779412,2.0
34.0,43.0,0.07896100519435134,2.0
48.0,189.0,0.07916099607153393,3.0
56.0,167.0,0.08216026191966419,2.0
28.0,193.0,0.08689419765807194,4.0
88.0,137.0,0.08705313792103886,2.0
132.0,145.0,0.0886490415100567,2.0
89.0,141.0,0.09383706421370519,2.0
78.0,149.0,0.09408251281867108,2.0
31.0,49.0,0.0941605014048349,2.0
35.0,195.0,0.0982100462808248,5.0
3.0,4.0,0.09837138937547074,2.0
94.0,191.0,0.0995049626594885,3.0
26.0,200.0,0.10212595137334046,3.0
54.0,178.0,0.10364158002406298,2.0
124.0,188.0,0.1039088542346136,3.0
1.0,16.0,0.10823318163255469,2.0
187.0,196.0,0.11571410323833603,4.0
166.0,194.0,0.12040468384388675,3.0
63.0,175.0,0.12584376958496613,2.0
9.0,114.0,0.1259320062421162,2.0
81.0,208.0,0.12838298066315032,5.0
110.0,122.0,0.12920888342741244,2.0
82.0,197.0,0.1318310277058089,3.0
204.0,206.0,0.13221804634988224,6.0
131.0,140.0,0.1341349628353865,2.0
99.0,214.0,0.14162972718399688,4.0
36.0,192.0,0.1441363119539833,3.0
169.0,205.0,0.1452499841616262,3.0
201.0,215.0,0.14942031009585324,11.0
10.0,24.0,0.15082155168028477,2.0
171.0,182.0,0.15221498026322078,2.0
59.0,66.0,0.15512581762627764,2.0
60.0,70.0,0.15833655862097196,2.0
162.0,181.0,0.1595719779189716,2.0
58.0,160.0,0.16115787729614328,2.0
136.0,203.0,0.16123868009454514,4.0
198.0,212.0,0.16171588999252667,7.0
98.0,138.0,0.16456602104524864,2.0
186.0,209.0,0.1650038427881364,5.0
71.0,155.0,0.16536909794482135,2.0
127.0,148.0,0.1674484494071593,2.0
134.0,228.0,0.17112819413469935,8.0
135.0,227.0,0.1714993001192481,5.0
57.0,64.0,0.17275800273504238,2.0
14.0,23.0,0.17313447076894772,2.0
111.0,185.0,0.17401483985247407,3.0
158.0,165.0,0.17772484262317323,2.0
80.0,97.0,0.18151762369489255,2.0
52.0,55.0,0.18302468385932968,2.0
41.0,47.0,0.18303058246408277,2.0
210.0,226.0,0.18334639527750785,4.0
96.0,129.0,0.1844832591580463,2.0
27.0,220.0,0.1845132572753445,12.0
153.0,163.0,0.18679994600207406,2.0
46.0,179.0,0.1879380745274194,2.0
67.0,154.0,0.1886530107744393,2.0
219.0,222.0,0.19023005110300006,5.0
77.0,125.0,0.19102006606843325,2.0
13.0,211.0,0.1920397455814079,3.0
92.0,190.0,0.1971730082652241,3.0
177.0,235.0,0.2030722374971367,3.0
217.0,234.0,0.2096111057617449,9.0
126.0,249.0,0.21089369180397927,3.0
183.0,184.0,0.21101203802823032,2.0
104.0,116.0,0.21684350878219405,2.0
20.0,213.0,0.2176564842684161,3.0
51.0,240.0,0.21919771929640963,3.0
221.0,244.0,0.22104158893850556,14.0
157.0,248.0,0.2251613256957965,6.0
143.0,147.0,0.22799566763194523,2.0
118.0,151.0,0.23046544444132822,2.0
75.0,139.0,0.2332940028776488,2.0
230.0,258.0,0.2334287838657315,8.0
5.0,6.0,0.23885140803602334,2.0
102.0,236.0,0.23921898302154648,3.0
119.0,120.0,0.23932534572861053,2.0
232.0,233.0,0.24351622420504698,10.0
42.0,241.0,0.24689432946922768,3.0
172.0,231.0,0.25164040259465376,3.0
164.0,223.0,0.2529178666474533,3.0
25.0,33.0,0.25309405724641465,2.0
239.0,253.0,0.25503348450135765,11.0
15.0,18.0,0.2582171410895284,2.0
61.0,242.0,0.25870915844634856,5.0
218.0,259.0,0.25913534991727155,17.0
107.0,117.0,0.2597781760746518,2.0
229.0,243.0,0.26429495462205144,4.0
69.0,255.0,0.26705375610907467,3.0
254.0,268.0,0.26818101117028253,13.0
21.0,207.0,0.2682250724200607,3.0
17.0,202.0,0.2742391361383405,3.0
95.0,251.0,0.27596590698607565,4.0
130.0,216.0,0.2778842514055912,3.0
260.0,271.0,0.28323861537221234,9.0
22.0,121.0,0.2832782996720643,2.0
2.0,101.0,0.28740039010265994,2.0
53.0,247.0,0.2893662536403656,3.0
79.0,199.0,0.2964289052224164,3.0
263.0,280.0,0.2972116392593692,15.0
108.0,250.0,0.29729514862864115,4.0
106.0,112.0,0.3021833609008313,2.0
50.0,72.0,0.3056708501953117,2.0
62.0,288.0,0.30676196163442027,4.0
225.0,238.0,0.3071992988179396,4.0
275.0,285.0,0.30849402327407904,14.0
65.0,252.0,0.3092707667894037,4.0
246.0,266.0,0.3157488068586528,5.0
261.0,290.0,0.3231410917374632,17.0
83.0,85.0,0.323837580323898,2.0
265.0,276.0,0.324979389322869,19.0
38.0,103.0,0.32623459691981727,2.0
237.0,272.0,0.3308655474700699,5.0
264.0,296.0,0.33667150278283425,22.0
273.0,283.0,0.33826392282279416,15.0
113.0,123.0,0.3384018677645996,2.0
84.0,289.0,0.34609379638761534,4.0
267.0,291.0,0.3471439643538058,6.0
281.0,298.0,0.35720764920989573,8.0
40.0,301.0,0.3575254592411515,20.0
19.0,274.0,0.3597027821165549,3.0
295.0,297.0,0.3600340710937315,8.0
156.0,170.0,0.3690509294655644,2.0
7.0,256.0,0.37276950765602906,3.0
176.0,279.0,0.37514422209564885,4.0
144.0,299.0,0.37732674677259187,18.0
30.0,284.0,0.3815262689092751,4.0
257.0,303.0,0.3830625996963037,8.0
73.0,262.0,0.3854444172589727,3.0
282.0,287.0,0.38943546833651227,5.0
11.0,277.0,0.4018060488164938,3.0
87.0,168.0,0.4048616110143053,2.0
317.0,319.0,0.40506480432636427,7.0
161.0,270.0,0.4072398397607118,4.0
109.0,115.0,0.4088588716949998,2.0
173.0,245.0,0.41060959856696466,3.0
12.0,325.0,0.41061227341361256,3.0
100.0,315.0,0.4258094526050586,5.0
294.0,304.0,0.426359864824702,26.0
313.0,324.0,0.4386280873613947,6.0
326.0,329.0,0.44960527985091797,29.0
293.0,312.0,0.45067984398818073,10.0
306.0,308.0,0.45788832827222165,8.0
316.0,323.0,0.46144975265340193,25.0
86.0,307.0,0.4634122504907904,5.0
302.0,310.0,0.46813301917833783,22.0
133.0,334.0,0.4834679157477668,26.0
328.0,331.0,0.4839549340660383,34.0
286.0,311.0,0.48413801994315175,5.0
292.0,321.0,0.48780497672470946,5.0
150.0,318.0,0.4881770936634713,9.0
68.0,338.0,0.49635445207598583,35.0
269.0,320.0,0.4966622140229104,8.0
305.0,337.0,0.511716151678911,41.0
278.0,335.0,0.5186610520234247,9.0
309.0,343.0,0.523161703006221,16.0
330.0,332.0,0.5321704745033622,16.0
142.0,300.0,0.5643833534459808,3.0
224.0,322.0,0.5809107875785826,4.0
0.0,327.0,0.5958304285664898,4.0
333.0,341.0,0.595843196369376,17.0
336.0,346.0,0.6077867477839327,38.0
37.0,39.0,0.6498868071197279,2.0
342.0,347.0,0.6718797423215381,51.0
314.0,350.0,0.6735779510557547,7.0
159.0,344.0,0.6781590475513635,42.0
340.0,355.0,0.6849574768201172,12.0
345.0,356.0,0.6975622952841676,51.0
349.0,354.0,0.7294262963231551,55.0
351.0,352.0,0.7958878643539478,55.0
74.0,348.0,0.8220842254695856,4.0
152.0,359.0,0.8237051727593081,56.0
358.0,361.0,0.8542873679363687,55.0
339.0,363.0,0.9235475023972625,60.0
353.0,360.0,0.9332713261771404,57.0
357.0,365.0,0.9508655301109028,69.0
362.0,364.0,1.1281991978813282,116.0
366.0,367.0,1.2024536483596338,185.0
