child_1,child_2,distance,n_observations
8.0,105.0,0.04556587658433642,2.0
167.0,174.0,0.046622196542619454,2.0
166.0,186.0,0.05799562581277229,3.0
52.0,64.0,0.05800959629591784,2.0
104.0,118.0,0.06504081646412518,2.0
180.0,187.0,0.06603356771435102,4.0
32.0,33.0,0.06644352113668728,2.0
82.0,145.0,0.06765229153141183,2.0
18.0,22.0,0.07317290122453712,2.0
14.0,106.0,0.07349801997014938,2.0
43.0,45.0,0.08438824581394855,2.0
92.0,95.0,0.08926954942847198,2.0
68.0,154.0,0.08956237177820003,2.0
76.0,193.0,0.09478836859424783,3.0
93.0,128.0,0.09578863432225504,2.0
29.0,34.0,0.09871192011031193,2.0
74.0,165.0,0.10056464544560473,2.0
171.0,201.0,0.10521355246479952,3.0
75.0,89.0,0.1084298834666626,2.0
110.0,123.0,0.11004582435598997,2.0
3.0,194.0,0.11276144181865627,3.0
26.0,31.0,0.11437900080969843,2.0
146.0,196.0,0.11486895652395968,3.0
1.0,16.0,0.11691537060783697,2.0
11.0,116.0,0.11732087143320014,2.0
2.0,121.0,0.11761447102831557,2.0
56.0,157.0,0.11912079503262119,2.0
65.0,67.0,0.11928640360375786,2.0
54.0,188.0,0.12460171502279344,3.0
39.0,42.0,0.12533102324528478,2.0
84.0,143.0,0.12587119956134019,2.0
153.0,177.0,0.12594013971957208,2.0
156.0,197.0,0.12857455031578946,3.0
59.0,66.0,0.13149057527747743,2.0
107.0,204.0,0.13408908182200402,3.0
134.0,199.0,0.13537194011574094,3.0
37.0,40.0,0.13707151057309275,2.0
189.0,210.0,0.13773749168281174,4.0
15.0,198.0,0.13801776181071954,4.0
103.0,208.0,0.14068007255920156,3.0
13.0,209.0,0.14184024329454104,3.0
9.0,10.0,0.14496858790173484,2.0
61.0,160.0,0.1487772826358813,2.0
203.0,212.0,0.15008530551279467,4.0
60.0,70.0,0.1573260364137279,2.0
195.0,200.0,0.1618924290445119,4.0
112.0,222.0,0.16235100088024004,5.0
36.0,46.0,0.16679950013449985,2.0
214.0,221.0,0.16832252692134939,4.0
109.0,223.0,0.16917441825375162,5.0
4.0,115.0,0.17318340491809092,2.0
113.0,122.0,0.17395023305452895,2.0
20.0,185.0,0.17466269849468663,3.0
94.0,99.0,0.17505873381825876,2.0
27.0,49.0,0.17507108758013767,2.0
152.0,202.0,0.17515142027421812,4.0
55.0,178.0,0.17519447256272047,2.0
6.0,224.0,0.17557728127266314,4.0
100.0,176.0,0.17733014005718406,2.0
137.0,192.0,0.17814563136221195,3.0
85.0,86.0,0.17914031267749442,2.0
205.0,226.0,0.18106040699987552,5.0
24.0,25.0,0.18137856528353058,2.0
35.0,44.0,0.1826139086335511,2.0
211.0,213.0,0.18367167911537682,5.0
79.0,129.0,0.1847056989402278,2.0
77.0,148.0,0.19155023977852526,2.0
140.0,244.0,0.19208786743058415,4.0
81.0,98.0,0.19749816977360768,2.0
83.0,139.0,0.19824335091057987,2.0
135.0,207.0,0.2000630539865794,4.0
173.0,240.0,0.20052658253462166,5.0
225.0,246.0,0.2013776334021105,8.0
164.0,229.0,0.20288926743568803,3.0
111.0,219.0,0.2033960574838142,4.0
30.0,136.0,0.2121148038807379,2.0
181.0,227.0,0.21362031703150947,3.0
220.0,238.0,0.2150384822558935,5.0
231.0,234.0,0.22112468916828515,10.0
163.0,216.0,0.221962257296473,3.0
119.0,124.0,0.22199697112333172,2.0
117.0,235.0,0.2231332672593057,3.0
97.0,142.0,0.22698467179852322,2.0
47.0,233.0,0.22732680988242593,5.0
28.0,230.0,0.22768719836598883,5.0
215.0,251.0,0.2300082338281628,4.0
131.0,252.0,0.23091288673702975,5.0
17.0,102.0,0.23373247996493007,2.0
0.0,114.0,0.23536842263959767,2.0
158.0,190.0,0.2380170370375773,5.0
108.0,273.0,0.24109784974653392,3.0
53.0,254.0,0.2419649283308612,3.0
