child_1,child_2,distance,n_observations
159.0,178.0,0.05126294083001015,2.0
167.0,180.0,0.05745169652333959,2.0
44.0,45.0,0.06182463506639524,2.0
53.0,185.0,0.06896329896159031,3.0
52.0,157.0,0.07134610277483489,2.0
81.0,127.0,0.07425448776396226,2.0
166.0,186.0,0.07462876168076144,3.0
171.0,188.0,0.07870232718891194,4.0
149.0,190.0,0.08665543482694926,3.0
174.0,191.0,0.08849304846100066,4.0
152.0,175.0,0.09386418947955644,2.0
28.0,29.0,0.0952098569370261,2.0
91.0,96.0,0.09531646541544192,2.0
8.0,105.0,0.09553152084191996,2.0
46.0,187.0,0.0957733209447661,3.0
76.0,197.0,0.096038218509579,3.0
189.0,192.0,0.09631132385525752,6.0
58.0,184.0,0.09707952880793003,2.0
54.0,64.0,0.09825232482014667,2.0
62.0,165.0,0.09984937207854172,2.0
119.0,120.0,0.10215077543407736,2.0
125.0,126.0,0.10633371843817563,2.0
79.0,84.0,0.10941379023072673,2.0
34.0,196.0,0.11015849728747584,3.0
88.0,151.0,0.11692986110267334,2.0
48.0,199.0,0.11879666018929276,4.0
77.0,147.0,0.11912373127779208,2.0
69.0,204.0,0.12012233892172292,3.0
61.0,150.0,0.12039493578872751,2.0
95.0,128.0,0.1239488511852862,2.0
51.0,201.0,0.1261867704163745,7.0
160.0,195.0,0.1277316776680159,3.0
82.0,94.0,0.1283006680758556,2.0
172.0,176.0,0.1300859338587168,2.0
164.0,216.0,0.13512914834992976,4.0
83.0,139.0,0.13605047642974966,2.0
193.0,211.0,0.13618047424105645,5.0
65.0,72.0,0.14033184204929716,2.0
101.0,142.0,0.14042694930824495,2.0
203.0,212.0,0.1460004943113856,5.0
97.0,145.0,0.14617463504824346,2.0
93.0,146.0,0.1464061733088431,2.0
129.0,207.0,0.14689741781054994,3.0
100.0,123.0,0.14866972565566416,2.0
182.0,215.0,0.15146668821594617,8.0
118.0,210.0,0.15354335298047828,5.0
63.0,202.0,0.1537647696447817,3.0
148.0,206.0,0.15402472296893266,3.0
2.0,10.0,0.15551536754395867,2.0
113.0,228.0,0.15824067835858885,3.0
194.0,213.0,0.16120444007371704,6.0
200.0,232.0,0.16352151171894094,6.0
55.0,57.0,0.16522940943915576,2.0
59.0,156.0,0.16673871918362249,2.0
183.0,219.0,0.16838562147329417,5.0
56.0,235.0,0.17332813782419673,7.0
208.0,230.0,0.17651407088495802,8.0
144.0,221.0,0.17930118509060625,6.0
3.0,233.0,0.1797878330401994,3.0
231.0,239.0,0.18197265868853343,8.0
170.0,181.0,0.18257836635715297,2.0
229.0,240.0,0.18339133224175977,15.0
26.0,27.0,0.18371818740999746,2.0
15.0,16.0,0.18588151718747203,2.0
6.0,121.0,0.18588672855757404,2.0
217.0,226.0,0.18969278133055195,4.0
71.0,238.0,0.19418204415205836,3.0
209.0,236.0,0.1950187490316906,8.0
0.0,110.0,0.19823479872351024,2.0
78.0,242.0,0.20261330017811505,7.0
67.0,222.0,0.21031382817797623,3.0
224.0,246.0,0.21176773303952307,20.0
80.0,135.0,0.21219821789236093,2.0
50.0,68.0,0.21271001692739067,2.0
143.0,227.0,0.21415135333131483,4.0
89.0,252.0,0.21810863924073173,9.0
66.0,158.0,0.22283411025836164,2.0
9.0,243.0,0.22381068969239673,4.0
20.0,218.0,0.22386513417446358,3.0
223.0,260.0,0.22874373407049914,11.0
41.0,47.0,0.23427057580987332,2.0
90.0,132.0,0.23548744928802046,2.0
37.0,42.0,0.23645977751845093,2.0
225.0,250.0,0.23693899594101453,6.0
254.0,264.0,0.24226891325951325,18.0
140.0,220.0,0.2431910381695953,3.0
137.0,241.0,0.24372303947124035,9.0
205.0,234.0,0.24486761279821465,5.0
161.0,237.0,0.24913646037439324,3.0
138.0,259.0,0.25427394294928124,5.0
162.0,245.0,0.25443481024709913,3.0
43.0,102.0,0.25854425178325613,2.0
14.0,103.0,0.2649882891972073,2.0
74.0,244.0,0.2670931017290271,9.0
75.0,247.0,0.2697046898647307,3.0
153.0,258.0,0.27217854331600716,3.0
106.0,177.0,0.2749367385341367,2.0
266.0,268.0,0.27598619824350357,8.0
255.0,256.0,0.27881031176635024,23.0
92.0,214.0,0.2818421048807557,3.0
30.0,265.0,0.287539171771595,3.0
263.0,273.0,0.2880134767413443,6.0
73.0,251.0,0.28961613446626117,4.0
13.0,111.0,0.2926531271054984,2.0
154.0,278.0,0.2936047729329229,10.0
22.0,249.0,0.30128883409114293,3.0
31.0,33.0,0.30163839901663414,2.0
35.0,49.0,0.3023772882893787,2.0
112.0,124.0,0.3042534023321697,2.0
253.0,272.0,0.3061641794005566,7.0
283.0,289.0,0.30919342565620134,33.0
130.0,267.0,0.31369655661215007,3.0
261.0,287.0,0.31471920730987446,6.0
85.0,86.0,0.3153605341131148,2.0
136.0,284.0,0.3190179138863176,4.0
60.0,107.0,0.3249280637216312,2.0
262.0,271.0,0.325740740806192,13.0
98.0,270.0,0.326346767274702,4.0
25.0,279.0,0.32721482379978223,4.0
275.0,297.0,0.3298565608963829,9.0
286.0,295.0,0.3357250355579832,39.0
1.0,248.0,0.3364713601953953,3.0
277.0,290.0,0.3538552634912462,5.0
17.0,23.0,0.3611878205633494,2.0
269.0,274.0,0.364681351219181,23.0
179.0,301.0,0.368192650757622,14.0
39.0,276.0,0.37039059471998315,3.0
141.0,257.0,0.3754553474976506,3.0
12.0,109.0,0.37814997724000887,2.0
163.0,280.0,0.3863611352335276,4.0
87.0,133.0,0.39191871876320916,2.0
282.0,299.0,0.39264231018623974,12.0
296.0,309.0,0.3992510699712272,26.0
285.0,292.0,0.40538552052777704,5.0
21.0,293.0,0.4076849481080738,3.0
32.0,311.0,0.4205407719294203,4.0
7.0,281.0,0.4230078525786039,3.0
70.0,99.0,0.4313453853785959,2.0
108.0,294.0,0.4324873867965505,8.0
36.0,318.0,0.4362310902897016,6.0
115.0,116.0,0.4406802035724251,2.0
122.0,323.0,0.44733454766568465,9.0
310.0,317.0,0.4486423443566062,40.0
104.0,308.0,0.45182702440273304,3.0
288.0,325.0,0.45396557532354015,4.0
19.0,319.0,0.45872584536361166,4.0
169.0,314.0,0.4612688190686075,5.0
198.0,291.0,0.4637058188899992,4.0
305.0,326.0,0.4731233526715616,48.0
303.0,324.0,0.47752464993506516,10.0
11.0,300.0,0.47910299187633076,3.0
18.0,313.0,0.4791678891625495,3.0
134.0,312.0,0.49148551253298134,4.0
320.0,329.0,0.4934795216579657,8.0
38.0,307.0,0.4963285340858244,6.0
331.0,333.0,0.5052140692304884,53.0
298.0,315.0,0.5059094257119354,4.0
114.0,332.0,0.5109412219591779,5.0
24.0,328.0,0.5278759689449817,4.0
306.0,338.0,0.5389118101927242,11.0
304.0,321.0,0.5446446826538603,12.0
173.0,339.0,0.5527121331132873,7.0
5.0,334.0,0.5792410012889991,11.0
302.0,341.0,0.5863831870710952,8.0
4.0,168.0,0.5864013342997885,2.0
327.0,347.0,0.60128137543167,51.0
155.0,345.0,0.6059478359682564,13.0
337.0,346.0,0.617579348047996,11.0
336.0,340.0,0.6462626964574857,56.0
117.0,351.0,0.664570815092322,14.0
40.0,350.0,0.6734194910072112,52.0
344.0,348.0,0.6754739283007949,19.0
330.0,343.0,0.6866957209038984,8.0
131.0,316.0,0.6937202635555005,13.0
335.0,354.0,0.6965307652772493,17.0
355.0,357.0,0.6981113666500341,60.0
342.0,352.0,0.726098474186092,16.0
322.0,358.0,0.73584997734728,15.0
356.0,360.0,0.7672543037777064,79.0
353.0,359.0,0.8282282792744746,73.0
361.0,364.0,0.903558503211019,89.0
362.0,363.0,0.9112681594808552,94.0
349.0,366.0,0.9935922646998048,96.0
365.0,367.0,1.3188173153537357,185.0
