child_1,child_2,distance,n_observations
92.0,95.0,0.021366605827069507,2.0
32.0,48.0,0.026798483893299307,2.0
8.0,105.0,0.026995598075118754,2.0
122.0,123.0,0.028524428471853103,2.0
138.0,143.0,0.028803702275224552,2.0
94.0,146.0,0.0311198875737968,2.0
81.0,125.0,0.032149614564647044,2.0
178.0,182.0,0.03665040156104615,2.0
93.0,128.0,0.03674169427902518,2.0
56.0,167.0,0.03745045050655438,2.0
77.0,129.0,0.03792465160698866,2.0
79.0,149.0,0.039350366045620144,2.0
43.0,46.0,0.043907896997829265,2.0
44.0,45.0,0.04493884272417381,2.0
59.0,160.0,0.04534951715381508,2.0
191.0,195.0,0.04536016392891293,4.0
84.0,98.0,0.04618196557218046,2.0
88.0,134.0,0.048343138705727595,2.0
153.0,163.0,0.04885849743643489,2.0
1.0,16.0,0.04944978882696749,2.0
19.0,121.0,0.0500640942472268,2.0
185.0,193.0,0.05213403718605272,4.0
28.0,29.0,0.0553659046856797,2.0
34.0,36.0,0.05577535093210573,2.0
58.0,175.0,0.05633963466456693,2.0
33.0,49.0,0.05772931000680681,2.0
96.0,126.0,0.059442595791775577,2.0
196.0,201.0,0.06086790495778638,4.0
130.0,202.0,0.0619233799235307,3.0
99.0,132.0,0.0631224506090643,2.0
120.0,124.0,0.06401737723305323,2.0
166.0,194.0,0.06415003454253271,3.0
80.0,82.0,0.06769160933418072,2.0
170.0,199.0,0.06847171710279198,3.0
200.0,212.0,0.06966823865388555,8.0
174.0,180.0,0.07051520552183355,2.0
158.0,184.0,0.07229214084664148,2.0
190.0,206.0,0.07305524999363065,6.0
127.0,189.0,0.07572099290472062,3.0
5.0,205.0,0.07682912887464655,3.0
52.0,63.0,0.07734263104049677,2.0
35.0,210.0,0.07917366356978661,3.0
119.0,187.0,0.08139002688826263,3.0
131.0,213.0,0.08200455645170761,4.0
164.0,209.0,0.08312550620133585,3.0
207.0,208.0,0.08451152664460185,4.0
145.0,214.0,0.08600201864903928,3.0
76.0,91.0,0.08740731204134278,2.0
75.0,133.0,0.08789614315163596,2.0
41.0,47.0,0.09175925465741397,2.0
147.0,219.0,0.09193643230140339,9.0
69.0,169.0,0.09535575495657966,2.0
197.0,198.0,0.09607465699903775,4.0
24.0,215.0,0.0969411176431541,3.0
51.0,165.0,0.09716976273456246,2.0
90.0,97.0,0.09748541567838132,2.0
186.0,226.0,0.09925652305085099,5.0
10.0,13.0,0.1019667195543209,2.0
144.0,211.0,0.10572477584265932,3.0
157.0,171.0,0.1063102335160726,2.0
78.0,89.0,0.10672500199420654,2.0
17.0,102.0,0.10716297371344052,2.0
139.0,141.0,0.10780785197519471,2.0
177.0,218.0,0.1090981656901167,4.0
135.0,136.0,0.10917365202331719,2.0
161.0,172.0,0.10998868357227698,2.0
54.0,181.0,0.11032765831139091,2.0
103.0,204.0,0.11166122341310913,3.0
68.0,192.0,0.11178955298589272,3.0
228.0,231.0,0.11486934017844717,7.0
223.0,235.0,0.11575799650339502,12.0
225.0,239.0,0.11839412964562512,4.0
217.0,249.0,0.11956933965388186,4.0
229.0,236.0,0.12147796007952957,5.0
15.0,252.0,0.12499165980799143,4.0
110.0,188.0,0.12570701217791957,3.0
20.0,162.0,0.12732870455310163,2.0
248.0,253.0,0.1302335424646496,7.0
87.0,233.0,0.13104781277859723,3.0
6.0,238.0,0.13307401299691435,4.0
247.0,254.0,0.13629590105867684,9.0
111.0,260.0,0.13674709240573568,4.0
221.0,256.0,0.13929552220413455,6.0
7.0,224.0,0.13944024069378824,4.0
12.0,25.0,0.14014734479406932,2.0
148.0,245.0,0.1452485364190222,3.0
222.0,257.0,0.14834486463616656,10.0
0.0,116.0,0.15103665741927608,2.0
232.0,243.0,0.15343395572626847,5.0
86.0,255.0,0.1571088396792808,13.0
26.0,114.0,0.16396976153107823,2.0
230.0,237.0,0.1671214358219619,8.0
273.0,274.0,0.17111556733528988,18.0
216.0,220.0,0.17233169278174001,5.0
100.0,261.0,0.17594459919694672,3.0
66.0,203.0,0.1766094500791074,3.0
156.0,262.0,0.17706528760073745,8.0
83.0,142.0,0.1780721131077323,2.0
23.0,264.0,0.17831477121357484,5.0
37.0,42.0,0.18175704191745112,2.0
61.0,251.0,0.18217066000784582,3.0
240.0,271.0,0.18442876530311667,12.0
9.0,242.0,0.18840279342448657,3.0
2.0,101.0,0.19034163475325372,2.0
22.0,38.0,0.19357964266791317,2.0
140.0,265.0,0.1955267090211896,10.0
64.0,159.0,0.19598400126209092,2.0
244.0,267.0,0.19844601109691848,8.0
14.0,246.0,0.20033852912059114,3.0
109.0,117.0,0.20439241664966346,2.0
50.0,183.0,0.2060485233359608,2.0
258.0,292.0,0.2062279455030922,13.0
71.0,155.0,0.20628190486929532,2.0
31.0,241.0,0.20695917473688413,6.0
113.0,266.0,0.20937888000384466,5.0
18.0,118.0,0.21599761913386373,2.0
137.0,290.0,0.2184017809250292,11.0
250.0,285.0,0.220683281694158,5.0
277.0,301.0,0.22347629222618182,29.0
27.0,276.0,0.22678446474208258,9.0
268.0,283.0,0.23178982945139381,9.0
108.0,299.0,0.24686494006960286,6.0
280.0,281.0,0.248984047115165,11.0
234.0,284.0,0.2535238733930831,4.0
227.0,279.0,0.254662033222814,6.0
270.0,303.0,0.2687698906922846,32.0
73.0,151.0,0.26951108183979144,2.0
4.0,106.0,0.2729772504782737,2.0
275.0,287.0,0.27465834917145676,5.0
263.0,310.0,0.2814829820465702,35.0
296.0,302.0,0.2826490341501227,18.0
112.0,115.0,0.28327257123812755,2.0
259.0,304.0,0.3024600786484333,13.0
293.0,313.0,0.30320762542634266,8.0
278.0,307.0,0.30366004223208287,16.0
11.0,294.0,0.305684491994081,3.0
150.0,176.0,0.3115188278345493,2.0
288.0,312.0,0.31639879932382853,4.0
298.0,305.0,0.32155056348756206,15.0
306.0,309.0,0.32923286953243114,12.0
154.0,291.0,0.3349117888372505,3.0
72.0,74.0,0.338841814903972,2.0
53.0,315.0,0.3405571881686859,19.0
21.0,30.0,0.3436618532617114,2.0
57.0,327.0,0.34552110624809473,20.0
104.0,300.0,0.3621241132914523,3.0
289.0,323.0,0.3637505609241424,17.0
3.0,318.0,0.36757956965775607,9.0
173.0,319.0,0.3686217163173789,17.0
295.0,329.0,0.3787206750059278,22.0
65.0,325.0,0.38109883957879603,4.0
85.0,282.0,0.38247438069415324,3.0
60.0,168.0,0.38491690757993824,2.0
316.0,324.0,0.38618713915030106,14.0
152.0,333.0,0.3974271546598431,18.0
62.0,334.0,0.41556450883937557,23.0
269.0,320.0,0.41791257907462553,5.0
272.0,332.0,0.42059868357893293,11.0
39.0,40.0,0.42288143972181136,2.0
67.0,335.0,0.42422271798704314,5.0
308.0,328.0,0.4674944144091838,6.0
297.0,339.0,0.4691771822074937,20.0
340.0,346.0,0.4831726692446382,43.0
179.0,344.0,0.48656516087567053,6.0
322.0,341.0,0.5176951931778258,9.0
55.0,347.0,0.5441110221604379,44.0
286.0,314.0,0.5502458868048244,47.0
338.0,342.0,0.5602849032736167,25.0
317.0,331.0,0.5615669074299767,30.0
107.0,349.0,0.5646480367295396,10.0
321.0,350.0,0.5898092383370701,46.0
311.0,345.0,0.6105251016916731,8.0
326.0,348.0,0.6137594996830497,8.0
343.0,353.0,0.6205607051893925,32.0
70.0,354.0,0.6397668530166692,11.0
336.0,351.0,0.6527254007491847,50.0
330.0,358.0,0.6709052470494467,35.0
352.0,361.0,0.722914493017222,60.0
337.0,355.0,0.7344023543580676,48.0
357.0,360.0,0.7516552058422526,58.0
356.0,359.0,0.7823088157104912,19.0
364.0,365.0,0.864322131820983,77.0
362.0,363.0,1.1094540152747825,108.0
366.0,367.0,1.2618401854719163,185.0
