child_1,child_2,distance,n_observations
69.0,112.0,0.00040181142928719105,2.0
73.0,119.0,0.0005524887202732476,2.0
75.0,140.0,0.0006566834429238,2.0
94.0,105.0,0.0009015082440039235,2.0
108.0,135.0,0.0010389360228241218,2.0
7.0,136.0,0.0013161385128264147,2.0
24.0,58.0,0.0016915470446694503,2.0
47.0,57.0,0.001706154477155497,2.0
55.0,165.0,0.0019498165884509477,2.0
4.0,40.0,0.0021417236863433553,2.0
31.0,48.0,0.0031971082395385597,2.0
35.0,160.0,0.0033450336386912083,2.0
49.0,137.0,0.003447781612062162,2.0
26.0,43.0,0.003602893868389745,2.0
104.0,179.0,0.0036761473897709562,2.0
74.0,124.0,0.003887566924297148,2.0
27.0,193.0,0.0039239115835659755,3.0
44.0,96.0,0.003940737122042126,2.0
127.0,192.0,0.004335837479752136,3.0
182.0,203.0,0.004837479426521056,4.0
128.0,190.0,0.0051195872479777305,3.0
13.0,115.0,0.005163880212736838,2.0
54.0,150.0,0.005181943708931991,2.0
195.0,196.0,0.005445328915386488,4.0
50.0,90.0,0.005662798567867111,2.0
157.0,174.0,0.005882319079807075,2.0
84.0,187.0,0.005911771219119122,3.0
152.0,189.0,0.006959875111962721,3.0
36.0,178.0,0.007369883287108414,2.0
132.0,210.0,0.00790787244006641,3.0
6.0,9.0,0.007950764625245466,2.0
30.0,67.0,0.008200357151142645,2.0
33.0,120.0,0.008443102919167833,2.0
42.0,158.0,0.008473809558162015,2.0
71.0,194.0,0.008570396034492556,3.0
202.0,209.0,0.008701977876557632,4.0
45.0,103.0,0.008944014383432841,2.0
155.0,162.0,0.009131925878032021,2.0
51.0,145.0,0.009353226210391363,2.0
62.0,95.0,0.009371792805680457,2.0
109.0,183.0,0.00947641175369196,2.0
15.0,212.0,0.009779749804968763,4.0
59.0,171.0,0.009898159233429737,2.0
166.0,186.0,0.00991436440392568,3.0
8.0,198.0,0.01006773763253882,3.0
125.0,134.0,0.010303763662399712,2.0
102.0,188.0,0.010536770012667729,3.0
70.0,89.0,0.01060781450638515,2.0
16.0,52.0,0.010670487536021955,2.0
106.0,205.0,0.010746489027223749,4.0
118.0,199.0,0.010914891605799726,3.0
17.0,123.0,0.011591065623432595,2.0
114.0,231.0,0.011623281129873653,4.0
169.0,222.0,0.011684817574142692,3.0
2.0,226.0,0.012283700781503232,5.0
64.0,143.0,0.012430593440387327,2.0
23.0,159.0,0.013520850047782362,2.0
110.0,176.0,0.013851638344265393,2.0
116.0,206.0,0.013945505398645974,3.0
175.0,225.0,0.015316783361578212,3.0
204.0,213.0,0.016925741665105007,6.0
168.0,220.0,0.01801732112524762,5.0
37.0,93.0,0.018073983261771454,2.0
88.0,164.0,0.018123884762031528,2.0
201.0,215.0,0.01872843123847625,5.0
216.0,235.0,0.01968842295459111,5.0
91.0,148.0,0.020739317722563655,2.0
83.0,149.0,0.021042312729667723,2.0
3.0,228.0,0.021742721581121855,4.0
153.0,218.0,0.022676471233587236,3.0
25.0,151.0,0.023218049969030208,2.0
29.0,167.0,0.023566264252939728,2.0
20.0,236.0,0.023890997866192643,3.0
131.0,229.0,0.02392501454964217,4.0
79.0,85.0,0.024024075835914815,2.0
68.0,97.0,0.024118127181624205,2.0
121.0,249.0,0.024275847699035256,6.0
221.0,245.0,0.02547527196641286,8.0
72.0,233.0,0.025476501762794368,3.0
22.0,46.0,0.027239265430266002,2.0
219.0,244.0,0.027455754256034744,6.0
101.0,146.0,0.02760130810686079,2.0
53.0,217.0,0.0277430476868209,3.0
184.0,237.0,0.028266736381062446,5.0
82.0,232.0,0.02982710489451168,3.0
130.0,197.0,0.03017309665821516,3.0
214.0,250.0,0.030697819180411073,8.0
61.0,78.0,0.031120689001507995,2.0
14.0,154.0,0.03127634365719223,2.0
139.0,234.0,0.03146101517970368,5.0
241.0,257.0,0.03165175259870421,5.0
76.0,239.0,0.032181580577964164,6.0
185.0,230.0,0.03221860856911918,4.0
240.0,263.0,0.03228107086158096,5.0
39.0,117.0,0.03281124114725997,2.0
191.0,200.0,0.03463148971019456,4.0
126.0,252.0,0.034718312599083534,3.0
242.0,268.0,0.03831609079471667,7.0
262.0,271.0,0.038697041051831,16.0
34.0,92.0,0.039740564798618205,2.0
100.0,208.0,0.040005751649874216,5.0
41.0,255.0,0.04254634953683334,3.0
80.0,251.0,0.04346304805033252,3.0
253.0,272.0,0.04369482199251612,6.0
142.0,144.0,0.04527273665582743,2.0
238.0,246.0,0.04616179976276027,8.0
98.0,223.0,0.04626931092075187,3.0
12.0,258.0,0.05065050465299131,5.0
81.0,266.0,0.051370526900704316,3.0
77.0,172.0,0.05182035942514451,2.0
28.0,227.0,0.052765210618466674,3.0
256.0,285.0,0.05534565863388166,7.0
86.0,278.0,0.05626591529387455,6.0
177.0,259.0,0.05631761472109997,3.0
207.0,267.0,0.05780489619907079,5.0
111.0,133.0,0.05796511704098639,2.0
10.0,279.0,0.05826543789548477,3.0
261.0,290.0,0.06122854870163797,14.0
11.0,156.0,0.0640181145413471,2.0
265.0,277.0,0.06573547449424368,10.0
21.0,65.0,0.06580400437750933,2.0
138.0,283.0,0.0666622678557244,17.0
243.0,294.0,0.06716905422523774,5.0
173.0,181.0,0.06874002236797072,2.0
32.0,282.0,0.06938768610722733,8.0
129.0,163.0,0.07108974582099703,2.0
38.0,56.0,0.07131173629615462,2.0
224.0,274.0,0.0726931135104367,7.0
99.0,306.0,0.07331938369480383,18.0
276.0,304.0,0.076565859813303,16.0
211.0,297.0,0.07731346315683574,9.0
170.0,247.0,0.07799979722074757,3.0
248.0,288.0,0.08048440630020685,8.0
254.0,291.0,0.08752419488232706,6.0
273.0,284.0,0.09110722374912378,4.0
280.0,312.0,0.09172547255822239,11.0
63.0,301.0,0.09682213765425556,4.0
122.0,310.0,0.09759622628952741,3.0
269.0,289.0,0.09904629745701936,5.0
0.0,18.0,0.10156257478702035,2.0
161.0,292.0,0.11054706405233816,6.0
19.0,305.0,0.11055799283013545,3.0
147.0,308.0,0.11217533528138329,3.0
141.0,298.0,0.11367100011155588,4.0
260.0,275.0,0.1143845484053049,7.0
180.0,311.0,0.11508200279472514,3.0
287.0,293.0,0.11698297755896601,6.0
296.0,299.0,0.11834082861429625,12.0
264.0,302.0,0.12100067368531069,16.0
281.0,323.0,0.12482097708945172,8.0
303.0,325.0,0.13192701531456816,8.0
309.0,324.0,0.14308369188148695,10.0
87.0,270.0,0.15031768070884224,4.0
307.0,333.0,0.15138886163489804,21.0
319.0,332.0,0.15458906001271655,16.0
313.0,320.0,0.1562526976460452,29.0
5.0,318.0,0.1609658564808847,7.0
60.0,321.0,0.17647789933336513,5.0
66.0,322.0,0.17784024440579513,4.0
107.0,316.0,0.18477680774988378,4.0
113.0,331.0,0.18675856890834486,7.0
317.0,328.0,0.19782500587728327,12.0
1.0,295.0,0.20301561988436947,4.0
314.0,342.0,0.2034734152618415,21.0
286.0,315.0,0.21431707723845106,12.0
329.0,338.0,0.2184137423902016,28.0
300.0,343.0,0.2287644717102554,6.0
341.0,348.0,0.27290500682858765,28.0
326.0,335.0,0.2914557882284631,11.0
339.0,347.0,0.2946651318596719,20.0
334.0,340.0,0.310713699629027,37.0
336.0,344.0,0.3108954843946829,14.0
337.0,349.0,0.3335046405662781,16.0
350.0,356.0,0.3613853109493242,42.0
327.0,345.0,0.3892342512845615,10.0
355.0,357.0,0.3940228553877644,53.0
330.0,354.0,0.41590956854834815,23.0
346.0,352.0,0.41833924310369947,40.0
358.0,359.0,0.6065991404276583,52.0
360.0,361.0,0.6371866212681813,76.0
351.0,364.0,0.7417832912064247,82.0
362.0,363.0,0.8646941965081912,92.0
353.0,366.0,0.9450136901894166,103.0
365.0,367.0,1.4271044240820436,185.0
