child_1,child_2,distance,n_observations
162.0,169.0,0.0017191074718484467,2.0
42.0,158.0,0.0036364071287479094,2.0
44.0,96.0,0.005458647859604704,2.0
69.0,112.0,0.006580065688924885,2.0
2.0,152.0,0.007432199275800522,2.0
84.0,140.0,0.00788358123624111,2.0
9.0,27.0,0.008063150713948919,2.0
47.0,182.0,0.008272655330288647,2.0
118.0,179.0,0.010442038631761852,2.0
55.0,168.0,0.01198096825698225,2.0
75.0,190.0,0.01201846723388389,3.0
16.0,52.0,0.01202186754351764,2.0
36.0,192.0,0.013022325831812231,3.0
191.0,194.0,0.013619309638509769,4.0
64.0,143.0,0.01441940717257173,2.0
104.0,193.0,0.01536025022325399,3.0
125.0,134.0,0.016473028604800266,2.0
72.0,196.0,0.016716465380961,3.0
76.0,189.0,0.016933059812205664,3.0
153.0,166.0,0.016954071660639447,2.0
109.0,188.0,0.017147109576964303,3.0
90.0,187.0,0.017308638276713306,3.0
51.0,145.0,0.017591651323645152,2.0
13.0,77.0,0.019197588523189757,2.0
57.0,195.0,0.020558750672055887,4.0
45.0,103.0,0.021259793560384543,2.0
83.0,178.0,0.02297616024227911,2.0
54.0,150.0,0.02311786070891375,2.0
165.0,198.0,0.023492303593615815,5.0
102.0,116.0,0.024808920632491183,2.0
101.0,208.0,0.026335651647685032,3.0
121.0,213.0,0.026813337954411497,6.0
50.0,206.0,0.02761967731160427,4.0
62.0,127.0,0.0279165394147175,2.0
199.0,202.0,0.02930319243520226,5.0
186.0,207.0,0.02940412432370662,4.0
71.0,203.0,0.030291676220507695,4.0
40.0,205.0,0.030419662129137603,4.0
197.0,200.0,0.03104551193197135,6.0
80.0,155.0,0.031123992023859293,2.0
175.0,183.0,0.03129521728663731,2.0
115.0,159.0,0.03250682943577232,2.0
174.0,211.0,0.03399603647837446,3.0
0.0,105.0,0.03651027538433016,2.0
30.0,99.0,0.0366885747333936,2.0
46.0,170.0,0.0367527326192536,2.0
209.0,219.0,0.039211104446145104,9.0
31.0,160.0,0.03971463215820514,2.0
15.0,221.0,0.042019131897770345,5.0
106.0,210.0,0.04274914992288742,3.0
28.0,218.0,0.044008254686622506,3.0
49.0,137.0,0.04465797813529626,2.0
61.0,73.0,0.04503913251300018,2.0
128.0,234.0,0.04602934408051077,4.0
23.0,123.0,0.04630874458134071,2.0
132.0,229.0,0.050146699840774966,3.0
126.0,231.0,0.05019845288939309,10.0
92.0,167.0,0.05067087124014702,2.0
107.0,110.0,0.05152957690619009,2.0
224.0,230.0,0.05193157777492874,4.0
139.0,227.0,0.05437088671431881,4.0
79.0,85.0,0.05707663492845427,2.0
130.0,240.0,0.057097764550804286,4.0
91.0,148.0,0.057169589756939976,2.0
74.0,136.0,0.0572955193481165,2.0
17.0,239.0,0.057453003120876256,3.0
3.0,177.0,0.058733801881767134,2.0
88.0,164.0,0.059649299165073555,2.0
