child_1,child_2,distance,n_observations
15.0,16.0,0.007030401914339124,2.0
167.0,180.0,0.008438202777844461,2.0
95.0,128.0,0.013367956737860398,2.0
93.0,187.0,0.01466160691244417,3.0
5.0,23.0,0.016237118832301056,2.0
166.0,174.0,0.019093339836091405,2.0
7.0,104.0,0.019484672274868275,2.0
178.0,182.0,0.020973513954954615,2.0
63.0,175.0,0.021432744791280545,2.0
1.0,185.0,0.024309371420669135,3.0
66.0,193.0,0.024687807559863606,3.0
84.0,127.0,0.02604367163877752,2.0
186.0,190.0,0.02752987749307917,4.0
103.0,189.0,0.029244044555502335,3.0
21.0,118.0,0.029292308432831704,2.0
85.0,86.0,0.029475237866802395,2.0
51.0,177.0,0.030108640485806526,2.0
56.0,197.0,0.03066279833410593,5.0
52.0,171.0,0.031187068301481435,2.0
18.0,76.0,0.03140168235335061,2.0
160.0,184.0,0.033133638913174224,2.0
3.0,106.0,0.0343170750792785,2.0
58.0,169.0,0.03458181432642993,2.0
94.0,145.0,0.036256240670128226,2.0
88.0,131.0,0.03700166064973054,2.0
54.0,157.0,0.037138460398810746,2.0
92.0,188.0,0.03734921151827427,4.0
77.0,81.0,0.03765767598639991,2.0
59.0,61.0,0.04109904276144427,2.0
107.0,110.0,0.041252752612577326,2.0
156.0,170.0,0.04148771603121115,2.0
31.0,49.0,0.043776965920471644,2.0
65.0,152.0,0.04441258421722705,2.0
122.0,123.0,0.0451727033567364,2.0
146.0,211.0,0.045580774109778704,5.0
44.0,45.0,0.04649505460055414,2.0
53.0,203.0,0.04667962549426807,3.0
194.0,199.0,0.047051201687131027,5.0
75.0,142.0,0.0490425321438398,2.0
143.0,144.0,0.051153418098238146,2.0
8.0,105.0,0.052629081685767076,2.0
91.0,204.0,0.05276335753148942,3.0
96.0,98.0,0.05305415869717833,2.0
133.0,140.0,0.05317175762415771,2.0
129.0,138.0,0.05333402332516923,2.0
29.0,34.0,0.05354973239350602,2.0
43.0,48.0,0.05376655930577867,2.0
9.0,114.0,0.05476384921712907,2.0
62.0,165.0,0.05499343694676406,2.0
22.0,121.0,0.05568681275954357,2.0
192.0,210.0,0.05680892928072678,4.0
55.0,201.0,0.05745441957301445,3.0
90.0,97.0,0.057981558688944945,2.0
149.0,212.0,0.058081214111130985,3.0
19.0,222.0,0.05820405984062611,6.0
116.0,126.0,0.0602282791795149,2.0
99.0,208.0,0.06189012529697363,3.0
39.0,42.0,0.06343087189224617,2.0
205.0,207.0,0.06408152100476652,4.0
148.0,196.0,0.06427029649686217,3.0
13.0,108.0,0.06706667933931487,2.0
14.0,35.0,0.06763914182614361,2.0
33.0,216.0,0.06908765967073582,3.0
82.0,136.0,0.06955190887242768,2.0
0.0,11.0,0.07024886441277112,2.0
195.0,243.0,0.07196365825242294,7.0
213.0,215.0,0.07232310859967286,4.0
67.0,217.0,0.07281646451800405,3.0
191.0,239.0,0.07293214524852912,8.0
6.0,198.0,0.0736748067831678,4.0
2.0,17.0,0.07509314575806225,2.0
154.0,179.0,0.07525757501322505,2.0
153.0,163.0,0.07615906249430626,2.0
102.0,206.0,0.07761259264974402,3.0
20.0,218.0,0.07784250986391206,3.0
219.0,248.0,0.07873427429266416,7.0
224.0,229.0,0.07947790658991258,4.0
161.0,164.0,0.07953796581859685,2.0
24.0,120.0,0.08078969624804255,2.0
4.0,10.0,0.08096734722886023,2.0
125.0,238.0,0.08103821212605573,4.0
181.0,183.0,0.08163214552654285,2.0
74.0,235.0,0.08205653530203341,5.0
80.0,237.0,0.0854753967746546,3.0
12.0,113.0,0.08869975451575163,2.0
41.0,242.0,0.08902855123935915,3.0
226.0,234.0,0.08926097511917981,5.0
150.0,236.0,0.09187841084947786,4.0
253.0,254.0,0.09274791776496243,12.0
220.0,231.0,0.09355367678283114,4.0
100.0,214.0,0.09510750413212965,3.0
159.0,221.0,0.09687753283941143,4.0
267.0,272.0,0.09783770319223956,9.0
25.0,26.0,0.1006712639662849,2.0
132.0,241.0,0.10151761263469239,4.0
147.0,265.0,0.10187053741364077,5.0
250.0,251.0,0.10296250664390541,11.0
28.0,230.0,0.10304260453681346,3.0
158.0,202.0,0.10347309975348944,6.0
244.0,261.0,0.10690318523590372,7.0
83.0,87.0,0.10704081869495052,2.0
255.0,258.0,0.10814022126319862,5.0
68.0,233.0,0.11144290867362328,3.0
117.0,240.0,0.11245398825817005,3.0
50.0,64.0,0.11301114718950411,2.0
139.0,228.0,0.11403651189860015,3.0
135.0,260.0,0.11456844608282742,8.0
37.0,119.0,0.1166430009414755,2.0
245.0,249.0,0.11765450640207867,4.0
130.0,280.0,0.11795628224891615,6.0
277.0,281.0,0.11855538553387657,20.0
27.0,278.0,0.12324391877161883,3.0
57.0,289.0,0.1244751646555462,3.0
36.0,46.0,0.12526088216445086,2.0
271.0,273.0,0.13146424984496272,17.0
71.0,155.0,0.13263463093914907,2.0
252.0,276.0,0.13417900127794835,7.0
124.0,246.0,0.13535097487099085,3.0
247.0,263.0,0.1374726159617218,5.0
69.0,266.0,0.1391426540763112,3.0
115.0,288.0,0.1522580418456895,4.0
89.0,200.0,0.15285138861890846,3.0
111.0,275.0,0.15402310169819397,4.0
225.0,232.0,0.15836412501991193,4.0
101.0,299.0,0.15957716265165492,18.0
137.0,290.0,0.1613845532896231,4.0
78.0,284.0,0.16383236062480444,8.0
274.0,298.0,0.1665799228422544,6.0
38.0,302.0,0.16743701563505894,4.0
268.0,291.0,0.16894904627733764,11.0
112.0,286.0,0.17402318445405457,6.0
134.0,314.0,0.1754276172248982,12.0
287.0,295.0,0.17582726428636175,23.0
227.0,294.0,0.1766227968015005,8.0
32.0,282.0,0.176880353121323,4.0
297.0,301.0,0.18319799955253346,10.0
141.0,285.0,0.185186358457603,3.0
307.0,308.0,0.18571939211191169,8.0
40.0,292.0,0.18934076426677526,3.0
311.0,318.0,0.19501569317381096,16.0
306.0,310.0,0.19574184120497914,7.0
259.0,269.0,0.19921731661136766,5.0
264.0,293.0,0.20670465115459252,6.0
73.0,209.0,0.20707186454177295,3.0
313.0,315.0,0.20839836650149077,10.0
60.0,70.0,0.2121662148959783,2.0
279.0,316.0,0.22254737256010684,16.0
303.0,319.0,0.22341047058313548,9.0
283.0,317.0,0.22400946413555742,29.0
223.0,321.0,0.23834077667601627,5.0
305.0,309.0,0.23881178500045014,22.0
304.0,333.0,0.24543653725800846,32.0
256.0,262.0,0.24855441869812056,4.0
47.0,296.0,0.2517268976607642,4.0
72.0,320.0,0.25900366603682135,11.0
323.0,338.0,0.27138557892816034,7.0
109.0,327.0,0.28245632742925064,7.0
322.0,326.0,0.2838167027897548,13.0
257.0,337.0,0.2899748677037428,6.0
329.0,335.0,0.30669341456664,32.0
162.0,330.0,0.307991453969581,3.0
30.0,325.0,0.31132192160219335,8.0
173.0,336.0,0.3185700224472588,33.0
312.0,332.0,0.3250422741407468,15.0
176.0,347.0,0.33281845325319254,34.0
300.0,328.0,0.335264985227694,5.0
79.0,324.0,0.37345431747109825,17.0
331.0,346.0,0.4033705752233371,24.0
270.0,340.0,0.4192241113131268,10.0
339.0,349.0,0.45674025774108573,45.0
151.0,168.0,0.4590622369634788,2.0
343.0,354.0,0.46579647415445347,51.0
350.0,351.0,0.4996051088235195,22.0
344.0,357.0,0.5182763133546456,54.0
334.0,352.0,0.5273822630249556,29.0
341.0,342.0,0.5477626673481605,20.0
348.0,353.0,0.6903008301931947,25.0
345.0,360.0,0.7011596459637115,23.0
