child_1,child_2,distance,n_observations
62.0,184.0,0.004176819642638274,2.0
63.0,175.0,0.004534730437148582,2.0
174.0,180.0,0.004701240128283879,2.0
59.0,170.0,0.005027430516906017,2.0
157.0,185.0,0.005938220163468233,3.0
176.0,177.0,0.0063830862041774905,2.0
77.0,81.0,0.006475832319641883,2.0
148.0,149.0,0.008000419830551997,2.0
51.0,190.0,0.01138583017356759,3.0
160.0,183.0,0.011536880798588611,2.0
171.0,186.0,0.01158127823554711,3.0
68.0,178.0,0.01166739855152854,2.0
29.0,34.0,0.012346751354769703,2.0
44.0,45.0,0.01240052157144167,2.0
41.0,47.0,0.012756109425539619,2.0
75.0,142.0,0.01357684041197238,2.0
167.0,187.0,0.013736701566659848,3.0
93.0,128.0,0.01496264226322419,2.0
125.0,129.0,0.01613905894810319,2.0
66.0,74.0,0.016183715910878083,2.0
58.0,159.0,0.016204955962324297,2.0
84.0,192.0,0.016236187357429988,3.0
90.0,97.0,0.016241645899400137,2.0
101.0,147.0,0.016471046941261114,2.0
57.0,152.0,0.01647872174663989,2.0
61.0,193.0,0.01725712266079345,4.0
3.0,10.0,0.017609506034589217,2.0
15.0,16.0,0.018178361388447195,2.0
191.0,206.0,0.018329500696179873,5.0
54.0,205.0,0.019115113446274035,3.0
69.0,189.0,0.01913292638225239,4.0
28.0,35.0,0.019296490335739658,2.0
182.0,196.0,0.01938418664723307,3.0
162.0,165.0,0.019848912767666427,2.0
154.0,156.0,0.02033670559333778,2.0
43.0,46.0,0.020581799843995996,2.0
50.0,209.0,0.02139069571818003,3.0
158.0,215.0,0.022097824549686618,5.0
55.0,150.0,0.022410729888904912,2.0
56.0,201.0,0.02254927443151326,4.0
123.0,169.0,0.023126164450039344,2.0
127.0,144.0,0.023391371907308223,2.0
195.0,214.0,0.024367276810930674,6.0
146.0,207.0,0.02493458364437362,3.0
126.0,203.0,0.025822305265469803,3.0
204.0,223.0,0.02621487084899779,4.0
94.0,145.0,0.02633662780342161,2.0
24.0,103.0,0.02712812943056353,2.0
91.0,96.0,0.027821010183811,2.0
64.0,224.0,0.028570220779293415,5.0
95.0,202.0,0.028855714179734426,3.0
20.0,225.0,0.029115528266167423,3.0
181.0,188.0,0.02958780574876757,3.0
197.0,216.0,0.029873039523232947,4.0
217.0,219.0,0.029939113463756866,5.0
100.0,194.0,0.03020629808492592,3.0
104.0,106.0,0.03055739291791615,2.0
82.0,228.0,0.03195264304408222,4.0
32.0,198.0,0.033235233723553304,3.0
172.0,210.0,0.03395112274655046,5.0
164.0,239.0,0.034561989070712264,6.0
31.0,36.0,0.03479428970648246,2.0
88.0,131.0,0.03509315160906812,2.0
52.0,222.0,0.03512786342452547,6.0
78.0,213.0,0.03585554373473545,6.0
48.0,243.0,0.03616120841283432,4.0
25.0,26.0,0.03717236186633366,2.0
230.0,248.0,0.037331849686646976,10.0
221.0,227.0,0.037838983009338654,9.0
102.0,212.0,0.038670028779761834,3.0
229.0,233.0,0.03879506921042155,5.0
40.0,199.0,0.03937615212775708,3.0
14.0,23.0,0.04090550923827063,2.0
33.0,238.0,0.04099346909282697,5.0
166.0,234.0,0.04199125007871855,6.0
83.0,85.0,0.0425077132506656,2.0
237.0,244.0,0.04442441640250439,8.0
240.0,252.0,0.044852972417888194,13.0
151.0,208.0,0.04573264955757578,3.0
76.0,130.0,0.0459786759862042,2.0
124.0,232.0,0.048214795962134405,3.0
92.0,235.0,0.048739358440063905,4.0
139.0,140.0,0.04961753030941485,2.0
53.0,236.0,0.051050915733687176,4.0
132.0,231.0,0.05193475050270829,3.0
245.0,253.0,0.05363054532274162,15.0
135.0,136.0,0.05506422727022342,2.0
220.0,250.0,0.055240610507014606,6.0
246.0,258.0,0.05543126210301221,7.0
226.0,255.0,0.05690681296748601,7.0
99.0,247.0,0.05694688590769659,3.0
39.0,42.0,0.05698496952388499,2.0
262.0,270.0,0.05738494204013341,28.0
1.0,22.0,0.05869084778712297,2.0
120.0,257.0,0.06024081494340794,3.0
6.0,121.0,0.062281586706237735,2.0
98.0,249.0,0.06617177376302306,7.0
218.0,268.0,0.06678345708873491,6.0
143.0,274.0,0.06750897922536812,8.0
161.0,261.0,0.0688007639801834,9.0
211.0,254.0,0.0691868819603027,5.0
27.0,251.0,0.07232199532657568,3.0
108.0,114.0,0.07325368471869764,2.0
272.0,273.0,0.07533255402123196,13.0
137.0,275.0,0.07533696104743433,4.0
200.0,267.0,0.07931065081162944,4.0
264.0,281.0,0.081732739304651,9.0
277.0,282.0,0.08226520235360434,34.0
133.0,290.0,0.08589501277614733,5.0
18.0,21.0,0.08650707311541372,2.0
110.0,122.0,0.08656970901142969,2.0
9.0,13.0,0.08729076643879163,2.0
263.0,291.0,0.08778802081781167,12.0
118.0,241.0,0.08802105885426031,3.0
71.0,155.0,0.09075467060910736,2.0
265.0,279.0,0.09254410481281035,6.0
242.0,269.0,0.09813194678446312,7.0
109.0,117.0,0.09838190871877572,2.0
107.0,111.0,0.1008404934277094,2.0
7.0,112.0,0.10230529916967102,2.0
30.0,288.0,0.10794331679624139,14.0
256.0,276.0,0.10872813932800272,5.0
49.0,300.0,0.11206382938914801,7.0
173.0,284.0,0.11225828467290694,10.0
67.0,292.0,0.11281077857851518,35.0
285.0,298.0,0.11353094286651949,8.0
2.0,11.0,0.11637385425929703,2.0
138.0,283.0,0.11799635989911937,9.0
105.0,295.0,0.11877875120543074,3.0
86.0,293.0,0.1197076315044143,6.0
259.0,309.0,0.12412519359349644,41.0
8.0,113.0,0.13017214707023805,2.0
163.0,179.0,0.13205085019486473,2.0
301.0,304.0,0.1344513113695474,9.0
79.0,312.0,0.14058100391716877,10.0
266.0,271.0,0.1411014677366812,6.0
308.0,315.0,0.14219075677986426,51.0
65.0,72.0,0.14913622877567956,2.0
297.0,319.0,0.15225107917937128,22.0
5.0,286.0,0.16140717329134477,4.0
80.0,320.0,0.16901820014511423,7.0
278.0,310.0,0.17132647872314646,10.0
38.0,303.0,0.1726699679779301,3.0
305.0,307.0,0.1811274527053348,21.0
37.0,306.0,0.18289190129869248,6.0
153.0,299.0,0.18336847888081215,3.0
89.0,314.0,0.1882700121048049,7.0
0.0,302.0,0.1984512820971257,3.0
141.0,326.0,0.2006979564813119,11.0
87.0,168.0,0.2020662586387506,2.0
289.0,294.0,0.2021375017964532,6.0
311.0,323.0,0.20618664770055128,24.0
287.0,313.0,0.20975604481386878,5.0
19.0,328.0,0.21827341686408583,22.0
280.0,333.0,0.2249373584361307,13.0
335.0,338.0,0.2643892694592043,28.0
318.0,325.0,0.26516130608948035,16.0
317.0,321.0,0.26652434387836327,53.0
296.0,327.0,0.26868913983021475,5.0
60.0,70.0,0.2827569198819405,2.0
339.0,340.0,0.29196808566103305,41.0
332.0,342.0,0.29878304714262305,56.0
329.0,336.0,0.30676618317319654,30.0
12.0,346.0,0.3250305206231457,57.0
260.0,331.0,0.33569434480670624,9.0
17.0,316.0,0.33877699748718293,3.0
73.0,330.0,0.3562232529495987,4.0
322.0,348.0,0.3921924078044432,59.0
324.0,345.0,0.3945023029667663,45.0
4.0,343.0,0.40765020620533365,6.0
337.0,352.0,0.4096053544149083,64.0
115.0,341.0,0.4257353630853942,17.0
334.0,349.0,0.4660669011885283,11.0
350.0,353.0,0.46668584796223206,48.0
116.0,354.0,0.4678573976072096,7.0
134.0,356.0,0.5157629973121844,18.0
347.0,358.0,0.5172153691749348,78.0
351.0,360.0,0.5443921932147137,22.0
357.0,361.0,0.5453650632171096,89.0
119.0,355.0,0.6977913856540574,65.0
359.0,363.0,0.8331992573714986,96.0
344.0,365.0,0.8712993005863775,98.0
362.0,366.0,0.9996614379284424,120.0
364.0,367.0,1.5314331925743099,185.0
