child_1,child_2,distance,n_observations
110.0,122.0,0.01896843003430715,2.0
174.0,180.0,0.02364333255080342,2.0
92.0,93.0,0.025467729286565488,2.0
5.0,103.0,0.025673634679793333,2.0
114.0,185.0,0.028245433968132505,3.0
52.0,53.0,0.028989767118389187,2.0
128.0,187.0,0.03136976509056849,3.0
90.0,146.0,0.03437954502164564,2.0
20.0,105.0,0.035880879593965465,2.0
23.0,188.0,0.04070151446864473,3.0
29.0,45.0,0.04128013190666202,2.0
99.0,134.0,0.04129950640186619,2.0
71.0,155.0,0.04390510250472268,2.0
56.0,166.0,0.043982434489969746,2.0
82.0,192.0,0.04414876455131561,3.0
61.0,182.0,0.0447679618890654,2.0
48.0,195.0,0.04544419056353782,3.0
6.0,34.0,0.04632690852047561,2.0
58.0,184.0,0.04850783255811031,2.0
186.0,198.0,0.048929528713220566,4.0
127.0,148.0,0.05245974910769735,2.0
81.0,149.0,0.05253645738733537,2.0
175.0,183.0,0.05271397939025224,2.0
76.0,126.0,0.060527200329705266,2.0
4.0,13.0,0.06340531453967035,2.0
124.0,194.0,0.06502714993523184,4.0
88.0,140.0,0.06701099188149251,2.0
35.0,36.0,0.0676981152991819,2.0
150.0,189.0,0.0720935723876281,4.0
91.0,208.0,0.0722226902931859,3.0
94.0,136.0,0.07225174088298114,2.0
40.0,119.0,0.07242559640299429,2.0
46.0,212.0,0.07246361807752788,3.0
77.0,89.0,0.07328149654668581,2.0
129.0,143.0,0.07433199508754929,2.0
201.0,202.0,0.07587656537589853,5.0
59.0,177.0,0.07600080831610068,2.0
147.0,206.0,0.07646460945758615,3.0
193.0,213.0,0.07659817445505746,6.0
145.0,199.0,0.07884334751603812,4.0
28.0,44.0,0.08084177393939607,2.0
78.0,84.0,0.08210245916625947,2.0
130.0,211.0,0.08341988176262949,3.0
159.0,203.0,0.08487455078753031,3.0
51.0,55.0,0.08520542136360088,2.0
49.0,220.0,0.08605998544752513,6.0
95.0,215.0,0.08880945233609394,3.0
108.0,223.0,0.08943786905829158,7.0
163.0,200.0,0.08947248867054097,3.0
14.0,24.0,0.09132601836691168,2.0
11.0,107.0,0.09228684835853784,2.0
97.0,224.0,0.09636141002483273,5.0
75.0,137.0,0.09807762249976593,2.0
10.0,26.0,0.09841676187727189,2.0
205.0,222.0,0.09874074857930944,5.0
172.0,197.0,0.09933035520253952,3.0
31.0,43.0,0.10130975577906365,2.0
131.0,196.0,0.10338700547555751,3.0
1.0,210.0,0.10404816115013008,5.0
167.0,204.0,0.10420815604490793,5.0
207.0,228.0,0.1051644842124919,5.0
161.0,170.0,0.10699236109826138,2.0
79.0,226.0,0.10724290748022403,3.0
9.0,209.0,0.10988263547835969,3.0
16.0,217.0,0.11016888584486044,4.0
135.0,191.0,0.11282810898903646,4.0
227.0,242.0,0.1135702866528197,6.0
57.0,74.0,0.11411909900557482,2.0
54.0,171.0,0.1152158948464207,2.0
113.0,173.0,0.11639295893028045,2.0
214.0,219.0,0.1173941257074046,5.0
18.0,118.0,0.11782432893431338,2.0
8.0,120.0,0.11818863082392417,2.0
190.0,244.0,0.12223152697511759,7.0
102.0,230.0,0.12252074771008796,7.0
67.0,221.0,0.1273509952449402,3.0
27.0,32.0,0.12914201500420963,2.0
15.0,121.0,0.13306394381760245,2.0
3.0,241.0,0.13306428503432488,3.0
232.0,235.0,0.13530215343808358,9.0
37.0,39.0,0.13767603673923767,2.0
245.0,258.0,0.14034443001687527,12.0
133.0,139.0,0.14112205996542282,2.0
162.0,253.0,0.1437767708483414,3.0
12.0,254.0,0.14378601183957568,3.0
64.0,158.0,0.14388131275498406,2.0
123.0,248.0,0.14488075573003334,4.0
25.0,238.0,0.14634799332427412,3.0
63.0,152.0,0.14686533527884105,2.0
156.0,169.0,0.14934973812436014,2.0
30.0,65.0,0.14995324530135123,2.0
239.0,247.0,0.1504776800926824,8.0
225.0,259.0,0.1557367705747087,9.0
243.0,249.0,0.15617651744009192,9.0
