child_1,child_2,distance,n_observations
15.0,16.0,0.06623716298800719,2.0
166.0,180.0,0.07304617698180671,2.0
93.0,128.0,0.08071689039130281,2.0
1.0,185.0,0.08356693314300462,3.0
174.0,186.0,0.09074079435250848,3.0
36.0,46.0,0.09078519411475772,2.0
108.0,110.0,0.09394153577574405,2.0
92.0,187.0,0.09708375106688982,3.0
5.0,23.0,0.09799661126199033,2.0
79.0,84.0,0.1039347317292626,2.0
61.0,182.0,0.10839015178565792,2.0
103.0,188.0,0.11214461554664164,4.0
11.0,13.0,0.1165209863550768,2.0
6.0,124.0,0.12020812319434926,2.0
167.0,189.0,0.12130951535791264,4.0
193.0,196.0,0.12477222804594636,6.0
40.0,42.0,0.12618772711037296,2.0
114.0,191.0,0.12632061874124845,3.0
57.0,64.0,0.13418947744311038,2.0
150.0,195.0,0.13627008714347172,3.0
54.0,165.0,0.1379184028334438,2.0
94.0,192.0,0.14409583904213383,4.0
56.0,199.0,0.1451850248109208,5.0
97.0,146.0,0.14796039927260873,2.0
51.0,55.0,0.14922902318999198,2.0
12.0,113.0,0.14986133507358768,2.0
18.0,116.0,0.1543537800680138,2.0
22.0,200.0,0.15603391602424585,7.0
7.0,118.0,0.15680670706763478,2.0
48.0,190.0,0.1631934438391578,3.0
2.0,3.0,0.16415067984238063,2.0
178.0,205.0,0.16444350959527265,3.0
9.0,202.0,0.16637345010928226,4.0
78.0,129.0,0.1669165380765837,2.0
52.0,207.0,0.16695966449891306,6.0
107.0,111.0,0.17163332090011774,2.0
175.0,204.0,0.17320701727253496,4.0
121.0,212.0,0.17353133503836946,8.0
43.0,45.0,0.17877476263854242,2.0
53.0,203.0,0.17911350061837622,3.0
20.0,197.0,0.17965765522797572,3.0
211.0,213.0,0.1803382342716808,4.0
210.0,225.0,0.1905377069759571,5.0
76.0,91.0,0.19077249775381666,2.0
59.0,209.0,0.19428643697338116,3.0
194.0,218.0,0.19447421444646398,4.0
82.0,208.0,0.19843860657367668,3.0
67.0,152.0,0.2042678357220632,2.0
0.0,112.0,0.20464409660195493,2.0
62.0,224.0,0.20820832754669408,4.0
86.0,140.0,0.2102101244760839,2.0
32.0,33.0,0.21229392420202597,2.0
8.0,105.0,0.21347608699737508,2.0
198.0,222.0,0.21353928933132355,10.0
184.0,216.0,0.21365175289536828,4.0
98.0,130.0,0.21683653399117708,2.0
136.0,231.0,0.22181408317751458,4.0
126.0,144.0,0.2262966930922008,2.0
154.0,221.0,0.2263306081630192,5.0
217.0,227.0,0.22760737520815696,9.0
35.0,223.0,0.22764512112939844,3.0
29.0,34.0,0.23301219988539268,2.0
219.0,229.0,0.23821637145143834,9.0
88.0,131.0,0.24000948964190738,2.0
4.0,215.0,0.2437420363720058,3.0
90.0,206.0,0.24426605422083544,5.0
127.0,149.0,0.24493178923898662,2.0
75.0,137.0,0.24654768287730167,2.0
58.0,176.0,0.24715153916335408,2.0
47.0,201.0,0.24976208883279238,3.0
83.0,139.0,0.25262396092483497,2.0
160.0,183.0,0.2534597712569391,2.0
37.0,39.0,0.2543978838469281,2.0
104.0,226.0,0.2583542215137009,5.0
21.0,238.0,0.2609077507770464,11.0
122.0,244.0,0.2638704629336523,10.0
72.0,243.0,0.26438525790982553,6.0
239.0,247.0,0.2657895796466846,13.0
50.0,65.0,0.26886691633891036,2.0
171.0,234.0,0.2703686470737772,5.0
220.0,233.0,0.27044077950729073,4.0
25.0,26.0,0.27403685548013346,2.0
163.0,253.0,0.2740420509882566,3.0
230.0,251.0,0.27807071089064483,6.0
24.0,49.0,0.28078011358565236,2.0
71.0,155.0,0.28474113664159817,2.0
27.0,214.0,0.28704194206999023,4.0
157.0,262.0,0.29651179067142885,14.0
96.0,242.0,0.2977206408174185,3.0
31.0,266.0,0.30576539612629156,3.0
77.0,81.0,0.30640205499458806,2.0
245.0,271.0,0.3092367517109593,7.0
232.0,264.0,0.3097829975772145,7.0
14.0,249.0,0.31173738490655084,4.0
80.0,85.0,0.31219649837620045,2.0
228.0,240.0,0.31330256043225013,4.0
30.0,250.0,0.3156643599055036,6.0
258.0,259.0,0.31652624667955154,16.0
