child_1,child_2,distance,n_observations
92.0,93.0,0.010141023131215787,2.0
54.0,166.0,0.0125183907829709,2.0
174.0,180.0,0.013297802122815505,2.0
53.0,68.0,0.014058904281308293,2.0
55.0,64.0,0.015403191584454134,2.0
128.0,185.0,0.018773379626958187,3.0
52.0,175.0,0.019818126484272613,2.0
61.0,178.0,0.020133385797356573,2.0
159.0,165.0,0.0212294399948888,2.0
62.0,186.0,0.0226462198998007,3.0
67.0,192.0,0.023220557370406347,3.0
162.0,189.0,0.023962180192865556,3.0
188.0,191.0,0.02437082113931116,4.0
66.0,183.0,0.025133362180613572,2.0
81.0,149.0,0.027086342752507542,2.0
152.0,156.0,0.02954661976976769,2.0
133.0,139.0,0.030630354747588906,2.0
82.0,146.0,0.031202802747159475,2.0
51.0,197.0,0.031886725880475864,5.0
157.0,171.0,0.032058725847143976,2.0
63.0,193.0,0.03299664132234542,3.0
43.0,120.0,0.034282720328788874,2.0
56.0,196.0,0.03435056857127202,4.0
29.0,44.0,0.03469094673089668,2.0
154.0,198.0,0.035634924893937825,3.0
83.0,201.0,0.03658498069395677,3.0
77.0,199.0,0.03717662658789789,3.0
90.0,136.0,0.03873296505165236,2.0
176.0,195.0,0.03913695044521385,4.0
58.0,203.0,0.03928649065826506,6.0
194.0,204.0,0.040436663404081474,5.0
177.0,181.0,0.0406240073197357,2.0
97.0,202.0,0.04200111025086273,3.0
184.0,205.0,0.046510038789655095,4.0
48.0,208.0,0.046670059190608126,3.0
50.0,182.0,0.04668785699547384,2.0
164.0,200.0,0.048155245803264746,3.0
59.0,161.0,0.04917750611322613,2.0
45.0,46.0,0.05004438263565292,2.0
101.0,211.0,0.05133167679698347,4.0
207.0,213.0,0.05264119666766227,8.0
79.0,129.0,0.05350782488632866,2.0
214.0,215.0,0.05481414285721202,11.0
145.0,217.0,0.05564321140377052,4.0
95.0,190.0,0.05674377399309375,4.0
167.0,187.0,0.0597443333736532,3.0
209.0,221.0,0.060507065859658905,6.0
30.0,36.0,0.06116831233915976,2.0
7.0,104.0,0.06237723549073981,2.0
80.0,94.0,0.06526361103087985,2.0
86.0,210.0,0.06749384082839649,4.0
151.0,219.0,0.06851750256745563,4.0
225.0,227.0,0.06955452569998309,19.0
76.0,91.0,0.07360738831482394,2.0
96.0,226.0,0.07395158558239556,3.0
89.0,147.0,0.07481139695891181,2.0
34.0,232.0,0.07637943712096112,3.0
74.0,231.0,0.07658541984282548,7.0
126.0,224.0,0.07676293766705747,5.0
102.0,206.0,0.07695216950486178,3.0
42.0,143.0,0.07778485456482143,2.0
78.0,127.0,0.07865067623408051,2.0
172.0,216.0,0.0797221232928294,3.0
222.0,242.0,0.0815559801664085,9.0
15.0,22.0,0.08311435349042362,2.0
142.0,148.0,0.08346298160943866,2.0
25.0,230.0,0.08390790811622095,4.0
19.0,111.0,0.08842790828045066,2.0
125.0,239.0,0.09097940067408165,4.0
8.0,105.0,0.09292159593658933,2.0
223.0,236.0,0.09352742189421506,6.0
0.0,124.0,0.09569965078055165,2.0
49.0,241.0,0.09635453236833018,4.0
218.0,237.0,0.09648257335547888,23.0
65.0,72.0,0.09827493231319895,2.0
99.0,132.0,0.10427376266554267,2.0
21.0,39.0,0.10504389830568728,2.0
41.0,47.0,0.10550892483856966,2.0
115.0,252.0,0.10655972905386368,3.0
135.0,229.0,0.10911378112540973,5.0
