child_1,child_2,distance,n_observations
37.0,115.0,0.049460264417650834,2.0
5.0,166.0,0.054943145999166054,2.0
77.0,101.0,0.07710524321992562,2.0
96.0,169.0,0.08511441693805744,2.0
38.0,66.0,0.08643670072862975,2.0
65.0,98.0,0.08704373875657279,2.0
6.0,20.0,0.1000175683888378,2.0
186.0,189.0,0.11045922959838866,4.0
184.0,188.0,0.11363974259771392,3.0
58.0,128.0,0.11550127482312311,2.0
2.0,103.0,0.11785897767181286,2.0
147.0,149.0,0.11815624905654121,2.0
15.0,22.0,0.11923125505256515,2.0
27.0,159.0,0.12408133562672918,2.0
13.0,110.0,0.12806173629938256,2.0
81.0,175.0,0.12914201081388066,2.0
117.0,187.0,0.12965575120085593,3.0
122.0,191.0,0.1297452529698908,3.0
25.0,119.0,0.1322653063973136,2.0
9.0,90.0,0.13323677393225009,2.0
118.0,158.0,0.13424307202289187,2.0
36.0,203.0,0.1424224453184978,3.0
162.0,193.0,0.14390992637175418,4.0
59.0,161.0,0.14843971234311837,2.0
114.0,121.0,0.15107205162989445,2.0
3.0,74.0,0.1520797809485368,2.0
78.0,87.0,0.1578003094704442,2.0
50.0,209.0,0.16018940412877852,3.0
100.0,108.0,0.1608676188467355,2.0
31.0,33.0,0.16458362294811268,2.0
10.0,200.0,0.16504620517863106,3.0
14.0,57.0,0.1661436889128418,2.0
126.0,140.0,0.16655993065701558,2.0
69.0,201.0,0.17025509612072323,4.0
24.0,111.0,0.17312061344600327,2.0
55.0,155.0,0.17588138075993198,2.0
204.0,207.0,0.17948852982239072,6.0
54.0,213.0,0.18300425636250328,3.0
83.0,196.0,0.18675885997531655,3.0
116.0,185.0,0.19063735343472077,3.0
106.0,194.0,0.19114285187346086,3.0
11.0,151.0,0.19122902033507927,2.0
190.0,218.0,0.1975772818135585,6.0
168.0,221.0,0.19950916612100947,7.0
206.0,217.0,0.20464971958709022,5.0
61.0,112.0,0.2064418369379083,2.0
12.0,26.0,0.21037815980415397,2.0
179.0,205.0,0.21375949730236504,3.0
48.0,141.0,0.2142369775157802,2.0
129.0,215.0,0.2157006310386219,4.0
144.0,219.0,0.21586767721775724,3.0
7.0,210.0,0.2160037123723097,3.0
43.0,208.0,0.22463388000776024,3.0
79.0,223.0,0.22905714399631041,4.0
49.0,164.0,0.22966589342262123,2.0
28.0,143.0,0.23025924253760632,2.0
67.0,214.0,0.23304467952097224,3.0
56.0,237.0,0.2352284747700704,4.0
220.0,228.0,0.23602866311550888,9.0
80.0,146.0,0.23703757812840442,2.0
130.0,226.0,0.23869376324479868,3.0
153.0,154.0,0.2435459339593934,2.0
113.0,180.0,0.24475425728628153,2.0
102.0,227.0,0.24489812988034376,7.0
174.0,202.0,0.24953196743057934,4.0
135.0,234.0,0.2507455879766922,5.0
45.0,195.0,0.250839540108376,3.0
192.0,216.0,0.25213410584859297,6.0
53.0,176.0,0.25277221671716776,2.0
124.0,132.0,0.25519338253674473,2.0
72.0,120.0,0.2581900097151911,2.0
71.0,198.0,0.2617654766083323,3.0
172.0,224.0,0.2621150939663332,4.0
76.0,138.0,0.26368421834618583,2.0
165.0,243.0,0.2645892580275579,10.0
52.0,229.0,0.26534532307965214,6.0
82.0,142.0,0.2672371133248921,2.0
125.0,238.0,0.27647280266811936,5.0
75.0,127.0,0.28235853023819313,2.0
19.0,256.0,0.29140490827374693,4.0
211.0,244.0,0.2920425148200033,4.0
64.0,137.0,0.29390791919140846,2.0
199.0,257.0,0.29427105204092774,6.0
93.0,163.0,0.2960425375641671,2.0
68.0,242.0,0.29695125052040444,5.0
18.0,231.0,0.3007099035614738,3.0
222.0,255.0,0.3007881783694216,5.0
91.0,136.0,0.30087998540366734,2.0
230.0,247.0,0.301463489976443,4.0
225.0,260.0,0.3026608540936151,9.0
249.0,252.0,0.3036055000578053,10.0
250.0,265.0,0.30929905880734987,9.0
47.0,104.0,0.31426596582619803,2.0
248.0,259.0,0.31726460291108255,17.0
42.0,239.0,0.3183108210280808,3.0
167.0,235.0,0.32958581483101757,4.0
109.0,197.0,0.33641001105653484,3.0
51.0,171.0,0.3384056578141432,2.0
177.0,262.0,0.34054875338614865,6.0
46.0,281.0,0.3473383778247265,4.0
182.0,251.0,0.34956495771141527,4.0
145.0,232.0,0.34969337831859537,4.0
246.0,279.0,0.350754144931231,5.0
84.0,183.0,0.3530775502751613,2.0
123.0,212.0,0.3558885202800071,4.0
254.0,271.0,0.3599604681193137,7.0
16.0,152.0,0.3615898258034467,2.0
70.0,283.0,0.3646368212660874,7.0
23.0,39.0,0.3663668380229742,2.0
73.0,236.0,0.36862528535710215,4.0
0.0,148.0,0.3714285076914786,2.0
274.0,277.0,0.3730533753877769,11.0
62.0,241.0,0.377630119767586,4.0
233.0,275.0,0.3815357712200135,12.0
264.0,278.0,0.38778677424261143,21.0
181.0,261.0,0.39045695281872783,3.0
60.0,131.0,0.39306484210509296,2.0
34.0,150.0,0.3941070584817592,2.0
89.0,285.0,0.39625616753115567,5.0
245.0,286.0,0.4024616550612922,7.0
287.0,298.0,0.4081668588732286,17.0
253.0,269.0,0.40980645790421366,7.0
30.0,303.0,0.41049952894946423,6.0
293.0,299.0,0.41598929736286777,23.0
8.0,105.0,0.41747057407354315,2.0
86.0,276.0,0.421787678788624,10.0
99.0,266.0,0.42660957709078995,3.0
263.0,304.0,0.4314991080395142,9.0
1.0,156.0,0.4331921966730957,2.0
292.0,300.0,0.4351608787578185,10.0
240.0,288.0,0.4386230901080058,4.0
160.0,282.0,0.4481714415472453,3.0
294.0,296.0,0.450387034054087,15.0
133.0,310.0,0.4505388491224743,11.0
267.0,289.0,0.4570917385875472,10.0
32.0,280.0,0.45735385277973556,5.0
273.0,305.0,0.46050666028737397,21.0
258.0,297.0,0.46180660812547764,6.0
21.0,291.0,0.47265498075848134,3.0
85.0,97.0,0.48197657436903807,2.0
139.0,173.0,0.4823033422894514,2.0
63.0,295.0,0.4831556344301095,3.0
94.0,95.0,0.4873375769962094,2.0
272.0,314.0,0.5113775908774189,12.0
284.0,308.0,0.5211571203775491,27.0
40.0,44.0,0.5215269809354086,2.0
170.0,268.0,0.5224039900576649,3.0
307.0,322.0,0.5255457483226329,12.0
41.0,317.0,0.5450556110895517,16.0
290.0,320.0,0.5482652957551706,12.0
29.0,157.0,0.5564877226861755,2.0
88.0,328.0,0.5570351821518743,13.0
107.0,324.0,0.5685242524788099,3.0
301.0,306.0,0.5691814503636128,9.0
17.0,326.0,0.5697163497469888,4.0
333.0,334.0,0.5721765226018471,28.0
