child_1,child_2,distance,n_observations
59.0,161.0,0.16549360563540016,2.0
96.0,169.0,0.20906433682183567,2.0
58.0,147.0,0.21504370487961588,2.0
115.0,184.0,0.21673738467304993,2.0
27.0,159.0,0.22288618463114596,2.0
3.0,74.0,0.24653733795507937,2.0
79.0,142.0,0.26356878943874285,2.0
162.0,168.0,0.2637780208309587,2.0
101.0,188.0,0.26513549656671864,3.0
16.0,152.0,0.27718652979982994,2.0
149.0,187.0,0.2904011089002971,3.0
89.0,126.0,0.2917257698111415,2.0
88.0,191.0,0.29320381740046936,3.0
37.0,121.0,0.3050731333818488,2.0
56.0,185.0,0.310864187904871,3.0
83.0,106.0,0.3116965834778138,2.0
9.0,189.0,0.313869112794718,3.0
55.0,186.0,0.3186802366951775,3.0
114.0,171.0,0.3201054637066837,2.0
155.0,202.0,0.3235731147328402,4.0
195.0,200.0,0.3279826813886643,5.0
102.0,193.0,0.3358022637937439,4.0
141.0,166.0,0.3438971754649527,2.0
0.0,23.0,0.34428247219523456,2.0
10.0,175.0,0.35030042503496606,2.0
97.0,145.0,0.3586221639806133,2.0
204.0,206.0,0.3620034457895754,8.0
7.0,190.0,0.3626785186696093,3.0
87.0,209.0,0.368800343565624,3.0
5.0,14.0,0.3697235402180673,2.0
63.0,69.0,0.3698310906825716,2.0
6.0,122.0,0.37217428338018854,2.0
13.0,110.0,0.37325779829720007,2.0
38.0,66.0,0.3905185674362106,2.0
118.0,158.0,0.39275963798800206,2.0
8.0,11.0,0.3934709216316258,2.0
25.0,154.0,0.3945667971702118,2.0
82.0,205.0,0.3955478979551159,6.0
22.0,68.0,0.39710842525476797,2.0
43.0,199.0,0.4005306913708137,4.0
20.0,61.0,0.40072496667929713,2.0
77.0,211.0,0.4024291641638297,9.0
35.0,76.0,0.40291542338408837,2.0
78.0,91.0,0.40461976575370484,2.0
65.0,116.0,0.40590630166802344,2.0
95.0,163.0,0.40691672464707074,2.0
85.0,111.0,0.4095618694049289,2.0
80.0,81.0,0.4116077145001278,2.0
24.0,144.0,0.4132898840335083,2.0
30.0,167.0,0.4145294825148773,2.0
138.0,227.0,0.41670203422041463,3.0
21.0,137.0,0.41739414031355415,2.0
172.0,198.0,0.4181222066330312,3.0
131.0,151.0,0.42476181435436655,2.0
2.0,103.0,0.4257860077945125,2.0
139.0,173.0,0.43279684411667885,2.0
4.0,64.0,0.4335456189261062,2.0
140.0,196.0,0.4346798357775751,3.0
99.0,179.0,0.4371450211914266,2.0
192.0,237.0,0.4477750371532095,5.0
104.0,132.0,0.4486603247148869,2.0
34.0,229.0,0.4498123492930771,3.0
40.0,214.0,0.4498243077595859,3.0
194.0,236.0,0.45152813786422946,4.0
180.0,225.0,0.45612597305501906,3.0
53.0,176.0,0.45769963899583965,2.0
51.0,153.0,0.45983629767954626,2.0
212.0,240.0,0.462319694139822,5.0
217.0,226.0,0.46535282100776754,11.0
1.0,119.0,0.47306074242971563,2.0
33.0,213.0,0.4731857597615403,4.0
32.0,146.0,0.4746388686609603,2.0
12.0,18.0,0.4788430637987454,2.0
15.0,218.0,0.47980622922739974,3.0
