child_1,child_2,distance,n_observations
96.0,168.0,0.061478641658538224,2.0
77.0,101.0,0.06318320229861962,2.0
37.0,115.0,0.07216217470375619,2.0
169.0,172.0,0.07314142218393105,2.0
79.0,149.0,0.07914389308710612,2.0
100.0,119.0,0.09072662878852789,2.0
184.0,187.0,0.0910094971186497,3.0
185.0,188.0,0.0921535528272493,4.0
5.0,57.0,0.09236684094018544,2.0
117.0,186.0,0.1010746326716262,3.0
25.0,126.0,0.10286708050859539,2.0
13.0,110.0,0.1106642232278977,2.0
120.0,190.0,0.11742630936207216,3.0
81.0,129.0,0.11942916788094637,2.0
10.0,175.0,0.123249618306015,2.0
147.0,189.0,0.13118716733128732,3.0
27.0,159.0,0.13290029542338033,2.0
6.0,122.0,0.13610006428715338,2.0
98.0,194.0,0.1364596688612543,4.0
90.0,162.0,0.13815759264096683,2.0
69.0,165.0,0.1415081635786387,2.0
9.0,192.0,0.1447583730216751,5.0
198.0,199.0,0.14580759037292232,4.0
78.0,87.0,0.1475920558413858,2.0
60.0,88.0,0.15013181795788821,2.0
3.0,195.0,0.1504336565884422,3.0
36.0,193.0,0.1517185548883585,3.0
121.0,155.0,0.1555597216502339,2.0
124.0,132.0,0.15774589244784476,2.0
80.0,107.0,0.16143257344695638,2.0
142.0,177.0,0.16180881356355914,2.0
24.0,108.0,0.16405627196256645,2.0
197.0,211.0,0.1691497787277626,6.0
20.0,166.0,0.16992445700671943,2.0
191.0,206.0,0.1717503726485625,8.0
146.0,214.0,0.17254127209231246,3.0
133.0,200.0,0.1728488477581347,4.0
212.0,219.0,0.17707546725045284,10.0
55.0,204.0,0.18098956462926624,3.0
91.0,208.0,0.1820288433162221,3.0
22.0,46.0,0.18322388577453563,2.0
83.0,215.0,0.1868104677650686,3.0
128.0,210.0,0.1944700065053101,4.0
14.0,156.0,0.19645653715155742,2.0
12.0,105.0,0.19726101939761453,2.0
203.0,207.0,0.20585372203544933,8.0
56.0,161.0,0.2062612540878801,2.0
151.0,209.0,0.2095359492924419,3.0
127.0,148.0,0.21200220978348605,2.0
