child_1,child_2,distance,n_observations
28.0,45.0,0.014152628914353205,2.0
29.0,185.0,0.023555880130966655,3.0
44.0,186.0,0.026150374766017264,4.0
79.0,148.0,0.028156089653407657,2.0
93.0,128.0,0.03492578839254579,2.0
166.0,174.0,0.03495390930586029,2.0
89.0,130.0,0.0383637381519607,2.0
34.0,187.0,0.040198936055999,5.0
92.0,189.0,0.04286874096041854,3.0
127.0,191.0,0.04497429231337802,3.0
147.0,188.0,0.04765211562960142,3.0
76.0,91.0,0.04838847597574447,2.0
81.0,125.0,0.05324471983987922,2.0
49.0,192.0,0.05412602660296284,6.0
173.0,180.0,0.056857587807222276,2.0
32.0,120.0,0.05868565174152973,2.0
126.0,196.0,0.05988244350275135,3.0
131.0,195.0,0.06100500853334571,4.0
143.0,144.0,0.06227481493608966,2.0
137.0,194.0,0.06270783210346746,4.0
8.0,105.0,0.0648299225170289,2.0
59.0,190.0,0.06846358455912199,3.0
78.0,129.0,0.06873232194137746,2.0
35.0,200.0,0.06928316324694866,3.0
122.0,123.0,0.0697091928912228,2.0
107.0,110.0,0.07168873720940439,2.0
2.0,101.0,0.07208035825251935,2.0
132.0,203.0,0.07275180610152915,3.0
197.0,201.0,0.07343319534551297,5.0
75.0,77.0,0.07505162216907146,2.0
13.0,108.0,0.07733825867865718,2.0
10.0,215.0,0.07790582793289652,3.0
95.0,193.0,0.07907579770779365,4.0
23.0,109.0,0.07944404626179302,2.0
46.0,198.0,0.07948889184806514,7.0
33.0,208.0,0.07975613558897487,4.0
160.0,178.0,0.08355745696887629,2.0
202.0,204.0,0.08434530121694285,8.0
167.0,206.0,0.08936799293528279,4.0
139.0,142.0,0.08960998789311658,2.0
20.0,111.0,0.0934196725581018,2.0
31.0,220.0,0.09460459650148739,5.0
175.0,183.0,0.09553040993800932,2.0
134.0,146.0,0.09558204454145858,2.0
82.0,88.0,0.09724703507828392,2.0
48.0,219.0,0.10072920917599429,8.0
12.0,209.0,0.10079209472699108,3.0
207.0,214.0,0.10281188610808425,4.0
9.0,11.0,0.10448356814820559,2.0
54.0,223.0,0.10820825431586628,5.0
212.0,222.0,0.10891270705828782,11.0
171.0,182.0,0.11015803182178119,2.0
27.0,230.0,0.11331000419211175,9.0
55.0,177.0,0.11655933229306759,2.0
38.0,124.0,0.12077210790852799,2.0
63.0,227.0,0.12216930436699014,3.0
30.0,43.0,0.12280607022639967,2.0
216.0,233.0,0.1234892774047727,5.0
229.0,235.0,0.12403167417326402,13.0
