child_1,child_2,distance,n_observations
8.0,105.0,0.07308062393092352,2.0
78.0,129.0,0.0895747706409008,2.0
28.0,45.0,0.09494468811881662,2.0
29.0,187.0,0.11570291848533648,3.0
10.0,11.0,0.12304747484107059,2.0
9.0,189.0,0.1360447587076582,3.0
13.0,107.0,0.14012007597309606,2.0
44.0,188.0,0.141696921218038,4.0
122.0,123.0,0.17470497654881634,2.0
79.0,186.0,0.17503643484632703,3.0
3.0,190.0,0.17969970729646156,4.0
1.0,16.0,0.1945456187871748,2.0
32.0,192.0,0.1964518500503543,5.0
54.0,67.0,0.19703664536109688,2.0
166.0,174.0,0.2003196586638083,2.0
31.0,185.0,0.20324407216902413,3.0
23.0,118.0,0.20504680224273064,2.0
92.0,93.0,0.20847886592941112,2.0
35.0,48.0,0.21761992605981062,2.0
2.0,101.0,0.21944888701303733,2.0
72.0,152.0,0.21981812861640515,2.0
111.0,191.0,0.22002278270667613,3.0
167.0,199.0,0.22905753908569543,3.0
30.0,36.0,0.23173856747294752,2.0
195.0,206.0,0.2321635843511605,7.0
18.0,116.0,0.23942942303162185,2.0
0.0,14.0,0.24087369194922625,2.0
82.0,128.0,0.2416180744426597,2.0
138.0,149.0,0.24285805627396895,2.0
110.0,193.0,0.2441427989726106,3.0
21.0,103.0,0.24513100256869846,2.0
106.0,115.0,0.24851452586992318,2.0
34.0,197.0,0.2498399339682867,6.0
75.0,137.0,0.25149794845067097,2.0
51.0,55.0,0.2517258443489573,2.0
64.0,65.0,0.25582729425463735,2.0
57.0,205.0,0.25596623732623963,3.0
15.0,22.0,0.25695554765715134,2.0
134.0,146.0,0.261109110055723,2.0
160.0,178.0,0.26321578046438854,2.0
53.0,159.0,0.2635540898450689,2.0
17.0,104.0,0.2662346792745365,2.0
33.0,200.0,0.2668029927845849,4.0
19.0,114.0,0.26977627195088316,2.0
153.0,163.0,0.27113445041065143,2.0
69.0,141.0,0.2716278635011422,2.0
81.0,194.0,0.27569315488342316,4.0
56.0,74.0,0.27608265967377466,2.0
41.0,47.0,0.27923802645395845,2.0
201.0,210.0,0.279762873866931,4.0
43.0,208.0,0.2809560120679031,3.0
127.0,130.0,0.28169647566605005,2.0
76.0,204.0,0.2852008135050251,3.0
125.0,143.0,0.2877522282149819,2.0
207.0,219.0,0.2892433180095786,5.0
211.0,216.0,0.29080299091686174,4.0
156.0,165.0,0.2931971444535316,2.0
46.0,235.0,0.29943913631053487,4.0
109.0,226.0,0.30022415737168895,3.0
213.0,231.0,0.3010192356997507,6.0
136.0,212.0,0.30952588290778715,3.0
5.0,6.0,0.31128675408602025,2.0
12.0,214.0,0.31543258497987886,4.0
120.0,203.0,0.3156397724993586,3.0
26.0,227.0,0.31621919834172696,5.0
108.0,209.0,0.31690507625051734,8.0
59.0,225.0,0.3176942129944819,3.0
147.0,148.0,0.3223679371493854,2.0
94.0,230.0,0.3284078533176831,3.0
234.0,237.0,0.3289106474563616,7.0
63.0,241.0,0.3296139355541151,3.0
52.0,220.0,0.3331857460126348,3.0
140.0,245.0,0.33542981475958156,4.0
66.0,154.0,0.33718087691693377,2.0
49.0,217.0,0.34225026735456926,7.0
39.0,40.0,0.342617372798792,2.0
228.0,250.0,0.344870397224178,10.0
83.0,85.0,0.3475691687883128,2.0
70.0,221.0,0.3497907200721848,4.0
95.0,202.0,0.35404315823162524,3.0
88.0,131.0,0.354820509769593,2.0
86.0,151.0,0.3573003574665855,2.0
150.0,239.0,0.3577645402727441,6.0
215.0,222.0,0.36390692404812164,4.0
223.0,264.0,0.3645053782852045,5.0
175.0,224.0,0.36763704876006004,3.0
25.0,259.0,0.37071094454003767,8.0
240.0,254.0,0.3734201836518036,11.0
113.0,249.0,0.37706792936891886,6.0
247.0,261.0,0.3834703781230004,14.0
238.0,244.0,0.3898716650553198,8.0
236.0,252.0,0.40120378015241187,4.0
251.0,263.0,0.40589903822292267,7.0
27.0,242.0,0.4062135840783708,5.0
161.0,262.0,0.40685873829633906,3.0
232.0,255.0,0.4078043045195801,5.0
196.0,272.0,0.40851455595258784,13.0
275.0,276.0,0.4107249033207901,12.0
42.0,233.0,0.41163128331641713,3.0
218.0,257.0,0.4159825921691077,6.0
84.0,253.0,0.42047008689796445,4.0
246.0,281.0,0.42400033044907137,15.0
62.0,256.0,0.42615912311829945,4.0
171.0,270.0,0.42929017783563683,4.0
7.0,243.0,0.4313239768933397,4.0
97.0,145.0,0.4331113442426763,2.0
124.0,274.0,0.43412984270883986,15.0
37.0,260.0,0.436542033304244,3.0
142.0,265.0,0.4390351390536623,3.0
98.0,99.0,0.4403625622585383,2.0
157.0,198.0,0.4409194980586465,3.0
180.0,267.0,0.441244530399343,7.0
248.0,271.0,0.4506926574874795,11.0
80.0,290.0,0.4510035574999849,3.0
162.0,169.0,0.46104401787136806,2.0
258.0,280.0,0.4650505776815086,7.0
112.0,286.0,0.4660969676078476,16.0
91.0,144.0,0.46783862672454746,2.0
68.0,285.0,0.47019616856358665,5.0
24.0,119.0,0.4725100080850858,2.0
269.0,284.0,0.4753621514101742,11.0
132.0,303.0,0.47632290700231295,6.0
266.0,293.0,0.48726075364911686,5.0
164.0,170.0,0.49189171104005824,2.0
277.0,295.0,0.4967732842903915,10.0
179.0,288.0,0.4974096303045241,5.0
126.0,291.0,0.5021158955973051,16.0
117.0,301.0,0.5031491104513008,17.0
282.0,294.0,0.5097913818124262,14.0
89.0,305.0,0.5126234035963392,12.0
283.0,292.0,0.5127332538200569,6.0
273.0,297.0,0.5211572045996405,17.0
268.0,289.0,0.5228216112241229,8.0
20.0,158.0,0.52404657176861,2.0
4.0,311.0,0.5242067485061134,17.0
139.0,307.0,0.5340716171871508,6.0
50.0,73.0,0.5341435936123815,2.0
90.0,314.0,0.5343557314271696,13.0
229.0,287.0,0.5392505760794662,6.0
58.0,168.0,0.5441316640891664,2.0
121.0,312.0,0.5477995130570986,18.0
71.0,173.0,0.5494420745585746,2.0
61.0,172.0,0.5531872136090616,2.0
182.0,310.0,0.557064739929952,6.0
96.0,313.0,0.5600541028162487,15.0
77.0,329.0,0.5665290708173525,16.0
133.0,320.0,0.567428405415782,7.0
299.0,309.0,0.5733728052534748,12.0
60.0,183.0,0.5778076996029753,2.0
38.0,300.0,0.5804370269515371,8.0
279.0,331.0,0.586763291341458,10.0
177.0,184.0,0.5869414060237155,2.0
332.0,334.0,0.6085501879260216,20.0
102.0,278.0,0.6143792425435437,6.0
181.0,298.0,0.6179638225838966,4.0
304.0,319.0,0.6210445335436946,19.0
135.0,322.0,0.6212274983950189,14.0
317.0,325.0,0.6299631710333234,26.0
100.0,340.0,0.631449618452327,20.0
306.0,324.0,0.6530923156692885,8.0
323.0,341.0,0.6541883000698296,20.0
335.0,339.0,0.656035477675874,14.0
328.0,337.0,0.656470509499343,26.0
176.0,318.0,0.659982663696431,3.0
302.0,330.0,0.6600750106461293,18.0
87.0,308.0,0.6684243720070457,3.0
296.0,347.0,0.668582706714772,33.0
321.0,344.0,0.7001963832679478,10.0
338.0,342.0,0.717879565566819,32.0
336.0,348.0,0.7251608035660423,5.0
155.0,326.0,0.7417063833285616,3.0
345.0,352.0,0.7470284689124169,30.0
327.0,333.0,0.7486041144737979,4.0
315.0,316.0,0.7645427643957712,23.0
346.0,350.0,0.7780733769006235,17.0
349.0,353.0,0.7822980605607228,50.0
351.0,354.0,0.8054302358532688,38.0
357.0,360.0,0.837841724884513,54.0
343.0,358.0,0.841340327065563,43.0
359.0,361.0,0.913478684994368,55.0
355.0,356.0,0.9253703720024382,33.0
364.0,365.0,0.9798351421973838,88.0
362.0,363.0,1.0459020210256513,97.0
366.0,367.0,1.1475130851462114,185.0
