child_1,child_2,distance,n_observations
29.0,49.0,0.011581593118004552,2.0
34.0,45.0,0.017125882330009667,2.0
32.0,185.0,0.020510919557975238,3.0
27.0,187.0,0.025212600016792524,4.0
44.0,186.0,0.027073258682717316,3.0
101.0,126.0,0.027304506817635743,2.0
3.0,23.0,0.02920169006650075,2.0
162.0,175.0,0.029290172784904978,2.0
9.0,26.0,0.03160287206707557,2.0
92.0,136.0,0.031941941935908935,2.0
91.0,190.0,0.03513118075073257,3.0
53.0,167.0,0.03767756845940262,2.0
0.0,118.0,0.03954504040264051,2.0
78.0,129.0,0.04114285539782925,2.0
77.0,81.0,0.04326618713518737,2.0
79.0,130.0,0.04436049853167312,2.0
33.0,48.0,0.04582123905925073,2.0
28.0,189.0,0.04644388675209402,4.0
30.0,36.0,0.04742831582390794,2.0
8.0,193.0,0.05108730903301417,3.0
132.0,146.0,0.05254144814853445,2.0
102.0,191.0,0.0526361950493463,3.0
110.0,123.0,0.05680497652355476,2.0
198.0,199.0,0.05847680103401645,4.0
100.0,105.0,0.06274112431056489,2.0
46.0,202.0,0.06282112371181758,5.0
69.0,195.0,0.06302208848974677,4.0
95.0,194.0,0.06443783815031906,3.0
82.0,134.0,0.06458068122251426,2.0
106.0,206.0,0.06538351239665048,4.0
61.0,157.0,0.06759894327373528,2.0
131.0,137.0,0.06985424775400872,2.0
143.0,200.0,0.07125949615954336,3.0
169.0,192.0,0.07375296162311068,3.0
31.0,210.0,0.07453798613840865,6.0
120.0,209.0,0.07562771383778238,3.0
125.0,208.0,0.07568993064618967,5.0
163.0,177.0,0.07602974851489386,2.0
96.0,211.0,0.07703653252213358,5.0
43.0,203.0,0.07756972162774933,3.0
128.0,135.0,0.08026218729816792,2.0
174.0,180.0,0.08066447031750601,2.0
35.0,188.0,0.08349295135845006,5.0
166.0,196.0,0.08598175469928271,3.0
108.0,114.0,0.08738288300549812,2.0
17.0,124.0,0.08896276140810366,2.0
71.0,99.0,0.09106592376012468,2.0
80.0,97.0,0.09209914806940156,2.0
111.0,220.0,0.09467541688404853,4.0
113.0,201.0,0.09550369472270703,3.0
171.0,173.0,0.09588586486978168,2.0
11.0,25.0,0.09885099316226253,2.0
212.0,225.0,0.09911295125321154,5.0
52.0,228.0,0.09978746228311637,4.0
133.0,139.0,0.10006494063770954,2.0
7.0,104.0,0.10010325885305116,2.0
204.0,233.0,0.10435778736096324,7.0
121.0,215.0,0.10531482984568763,3.0
127.0,138.0,0.10606249959115432,2.0
51.0,74.0,0.1064327974824566,2.0
207.0,241.0,0.10995297784768458,9.0
98.0,217.0,0.11033956623960295,4.0
59.0,156.0,0.11196182119454656,2.0
55.0,176.0,0.1135040106426175,2.0
