child_1,child_2,distance,n_observations
81.0,129.0,0.05417473434315412,2.0
79.0,185.0,0.06230118671776291,3.0
166.0,167.0,0.06960869124432667,2.0
147.0,149.0,0.06961235792244902,2.0
51.0,61.0,0.06995366136251524,2.0
43.0,44.0,0.07001237603230925,2.0
45.0,190.0,0.08166900488938689,3.0
164.0,178.0,0.08423781180681267,2.0
84.0,186.0,0.08655055885276508,4.0
28.0,29.0,0.0878359204813065,2.0
127.0,143.0,0.10071701814148826,2.0
46.0,191.0,0.10697922157032236,4.0
148.0,193.0,0.10728285713967281,5.0
174.0,187.0,0.11090022685844103,3.0
91.0,126.0,0.11494745712373267,2.0
82.0,146.0,0.11651468706927659,2.0
77.0,101.0,0.11682227627649788,2.0
78.0,188.0,0.12077302532404177,3.0
53.0,74.0,0.12151339902344749,2.0
182.0,189.0,0.12283155833397824,3.0
1.0,118.0,0.1238134794606055,2.0
7.0,104.0,0.12538384989179696,2.0
125.0,197.0,0.12757525585128937,6.0
175.0,198.0,0.13051986540971003,4.0
32.0,196.0,0.14270095059836357,5.0
98.0,142.0,0.14384426435475473,2.0
202.0,207.0,0.1440069609759937,9.0
90.0,97.0,0.14525875083399353,2.0
52.0,55.0,0.14954093437172122,2.0
199.0,211.0,0.1558205419055122,11.0
63.0,184.0,0.15850480240422515,2.0
75.0,201.0,0.16029049585132643,3.0
208.0,213.0,0.16299840027198398,6.0
64.0,171.0,0.16308457715214308,2.0
157.0,203.0,0.1650327019648301,3.0
92.0,95.0,0.16513502307036976,2.0
49.0,209.0,0.1686746261668704,6.0
176.0,204.0,0.16972984143710168,4.0
162.0,165.0,0.17641854704805793,2.0
194.0,221.0,0.18077851170061524,8.0
195.0,210.0,0.18376689227319037,4.0
152.0,192.0,0.18604864826815926,3.0
214.0,216.0,0.1871860102449029,14.0
121.0,219.0,0.1874428552302155,4.0
57.0,180.0,0.19026885896528456,2.0
8.0,31.0,0.19147473749485755,2.0
102.0,205.0,0.19205085758236873,3.0
173.0,222.0,0.19298379173301633,5.0
217.0,223.0,0.19470690192772244,8.0
93.0,134.0,0.19576697566537005,2.0
50.0,218.0,0.19940505518631646,3.0
65.0,72.0,0.2011751213603179,2.0
128.0,135.0,0.20514856409235627,2.0
17.0,124.0,0.2062022960200396,2.0
27.0,224.0,0.20741485744818883,9.0
161.0,177.0,0.2082135896559163,2.0
132.0,145.0,0.21000612417479347,2.0
131.0,139.0,0.21653508589941262,2.0
130.0,227.0,0.22184991100801407,15.0
85.0,86.0,0.2242507653920368,2.0
137.0,140.0,0.22678812533675097,2.0
200.0,206.0,0.22792793660480806,4.0
138.0,243.0,0.2279792941058681,16.0
56.0,69.0,0.2314427861613314,2.0
34.0,239.0,0.23566256243416367,10.0
67.0,226.0,0.23677642736636562,4.0
156.0,228.0,0.23871017150491125,5.0
73.0,76.0,0.2390761299343367,2.0
235.0,236.0,0.23919906088462992,5.0
3.0,9.0,0.23937740716467415,2.0
220.0,237.0,0.24106854332498373,4.0
141.0,241.0,0.2440354756454377,3.0
232.0,233.0,0.24515693679575978,13.0
225.0,247.0,0.24732487999975852,20.0
80.0,212.0,0.25059700223115156,3.0
163.0,169.0,0.26155199319519296,2.0
94.0,250.0,0.2637941257393846,5.0
238.0,254.0,0.2644802869384344,4.0
35.0,48.0,0.26501435114695426,2.0
20.0,257.0,0.26648465293442947,14.0
242.0,245.0,0.26840384889548186,4.0
133.0,258.0,0.27392579059520733,21.0
230.0,249.0,0.2752617743684537,12.0
251.0,264.0,0.2776762541320095,19.0
106.0,246.0,0.281107958270973,5.0
0.0,11.0,0.29067279352422903,2.0
62.0,66.0,0.29169711419047517,2.0
181.0,231.0,0.293182378550243,4.0
112.0,255.0,0.2947439171866415,5.0
96.0,266.0,0.29937530366754056,22.0
18.0,19.0,0.30160327053093094,2.0
253.0,268.0,0.3083151676686782,24.0
234.0,259.0,0.31295416416399036,5.0
68.0,160.0,0.31329819530173275,2.0
119.0,120.0,0.3246863985904037,2.0
260.0,261.0,0.32473186513024616,7.0
59.0,240.0,0.3254624880537588,3.0
88.0,89.0,0.3316610245116477,2.0
60.0,144.0,0.3319706475153652,2.0
170.0,281.0,0.33694354438748136,4.0
153.0,280.0,0.3451646107096712,8.0
103.0,229.0,0.3452826060708889,3.0
151.0,252.0,0.3486607774492412,3.0
136.0,273.0,0.35096902653528556,6.0
111.0,113.0,0.35268387065563533,2.0
269.0,272.0,0.35445777259841776,9.0
83.0,265.0,0.3544726826743172,5.0
30.0,36.0,0.35683017020049723,2.0
114.0,262.0,0.35887563912183934,5.0
256.0,282.0,0.36081978727975794,5.0
33.0,122.0,0.36252854352920805,2.0
267.0,292.0,0.3674375441149814,14.0
38.0,276.0,0.38565357980823034,25.0
279.0,295.0,0.3976704657780543,4.0
23.0,296.0,0.40012206053705207,15.0
117.0,283.0,0.40475492631329685,3.0
15.0,290.0,0.4050947661457671,10.0
54.0,248.0,0.40510073854184603,3.0
278.0,297.0,0.4066140356579794,27.0
285.0,303.0,0.4086905194201269,35.0
274.0,287.0,0.42036894893230214,25.0
12.0,293.0,0.42403055045152954,6.0
99.0,291.0,0.4287090421141901,6.0
6.0,16.0,0.43169402498003795,2.0
301.0,306.0,0.432322360620522,16.0
100.0,110.0,0.43691271127656406,2.0
25.0,270.0,0.4386492099283212,3.0
87.0,168.0,0.44657479945647605,2.0
47.0,299.0,0.4470251577840936,16.0
10.0,13.0,0.4492631324746117,2.0
277.0,288.0,0.4541457236478627,11.0
70.0,271.0,0.45504412044432585,3.0
286.0,304.0,0.4587778317035533,38.0
307.0,313.0,0.4686680836918983,22.0
159.0,215.0,0.47118302856199623,3.0
284.0,319.0,0.48791253815324537,7.0
