child_1,child_2,distance,n_observations
174.0,180.0,0.21605175475608884,2.0
1.0,22.0,0.23681156061580333,2.0
8.0,105.0,0.24412906463727158,2.0
122.0,124.0,0.2499879612174517,2.0
9.0,111.0,0.252873669082188,2.0
26.0,32.0,0.2562609734032546,2.0
45.0,118.0,0.25956882291118955,2.0
15.0,102.0,0.2689705949958834,2.0
28.0,29.0,0.27077853834196275,2.0
27.0,190.0,0.2725915516267368,3.0
7.0,104.0,0.27414991989860904,2.0
44.0,191.0,0.28359060749637127,3.0
166.0,167.0,0.28789081399153593,2.0
186.0,192.0,0.2958542452890997,4.0
14.0,195.0,0.3104948513360258,3.0
96.0,101.0,0.33272461153330835,2.0
33.0,40.0,0.34005802161136034,2.0
110.0,189.0,0.3444839914139349,3.0
16.0,198.0,0.35627344636532876,5.0
93.0,137.0,0.3609394189699012,2.0
62.0,72.0,0.3652000012192781,2.0
80.0,82.0,0.37145018402517715,2.0
47.0,201.0,0.3781727022270078,3.0
155.0,170.0,0.38191713430954377,2.0
113.0,188.0,0.38694003792438025,3.0
129.0,138.0,0.3918316431175214,2.0
17.0,199.0,0.3942271430773978,4.0
53.0,197.0,0.3971308753114432,3.0
196.0,203.0,0.3984086054670493,8.0
4.0,213.0,0.39947153997426527,9.0
49.0,193.0,0.4051903826385903,3.0
18.0,19.0,0.4081679191037868,2.0
202.0,209.0,0.41420943811598326,6.0
176.0,187.0,0.41870032645348426,3.0
133.0,149.0,0.42132065138179675,2.0
3.0,10.0,0.4252986518153562,2.0
97.0,145.0,0.432289744127651,2.0
58.0,156.0,0.4323618232608506,2.0
194.0,215.0,0.43423613481155615,6.0
205.0,212.0,0.43507801319014383,5.0
34.0,43.0,0.4356687456784816,2.0
114.0,115.0,0.43641072250636914,2.0
128.0,204.0,0.4390534927158752,3.0
52.0,75.0,0.44620179706833785,2.0
78.0,79.0,0.44979060086450606,2.0
61.0,151.0,0.4548615828668199,2.0
200.0,208.0,0.4548840965581398,4.0
57.0,85.0,0.46165822177260707,2.0
146.0,206.0,0.46406782133958235,3.0
185.0,230.0,0.46827400162807997,4.0
119.0,120.0,0.4705506262478013,2.0
98.0,210.0,0.4862471903150273,3.0
48.0,207.0,0.48768805508480245,4.0
152.0,182.0,0.4907382017985874,2.0
100.0,218.0,0.49142804406721036,4.0
31.0,223.0,0.49886125437964707,7.0
69.0,73.0,0.5106872427818833,2.0
59.0,224.0,0.5132345334950543,6.0
63.0,76.0,0.5147293203698478,2.0
178.0,234.0,0.521585925754424,5.0
51.0,157.0,0.5253096713987822,2.0
91.0,231.0,0.5284262302554921,5.0
135.0,136.0,0.5284354200638348,2.0
125.0,147.0,0.5368748303525603,2.0
219.0,236.0,0.5372446107079492,5.0
126.0,148.0,0.5406492503257883,2.0
46.0,237.0,0.5415113637768575,5.0
214.0,216.0,0.5417824071572329,11.0
217.0,226.0,0.5471950058444279,8.0
90.0,221.0,0.5480887615375546,3.0
86.0,227.0,0.5529232334030105,4.0
30.0,225.0,0.5534488269820128,3.0
160.0,239.0,0.5554050983521767,5.0
67.0,233.0,0.5589127602150865,4.0
130.0,184.0,0.5601407147524153,2.0
50.0,65.0,0.5610171487481568,2.0
243.0,246.0,0.561717156985541,7.0
42.0,143.0,0.5621057881657423,2.0
154.0,244.0,0.5629105856719152,6.0
242.0,245.0,0.5698647035970623,8.0
92.0,140.0,0.575240589435533,2.0
240.0,251.0,0.5788191749304813,12.0
60.0,66.0,0.5810285626031049,2.0
232.0,255.0,0.5839875027288914,6.0
41.0,263.0,0.584773708665424,7.0
241.0,261.0,0.5849022649226382,9.0
20.0,74.0,0.5863126396168921,2.0
0.0,253.0,0.5886777366184506,9.0
71.0,247.0,0.5893675259620181,3.0
132.0,141.0,0.5914798353226914,2.0
106.0,220.0,0.5916125661721909,3.0
77.0,81.0,0.5967315538338709,2.0
238.0,264.0,0.5985632761449053,10.0
211.0,272.0,0.6000165736077868,13.0
99.0,142.0,0.6035756421203637,2.0
6.0,165.0,0.606673908326326,2.0
83.0,268.0,0.6084959448784653,7.0
117.0,229.0,0.609754588852762,3.0
5.0,36.0,0.6115647857337803,2.0
88.0,279.0,0.6187964789715643,3.0
158.0,168.0,0.6223974576188999,2.0
23.0,278.0,0.6240762348742501,14.0
252.0,270.0,0.628052438777854,20.0
127.0,259.0,0.6290294602154705,3.0
107.0,275.0,0.6317780843161668,4.0
163.0,177.0,0.6333032393935882,2.0
144.0,248.0,0.633590662634965,3.0
94.0,254.0,0.6353965301225476,4.0
265.0,281.0,0.6360924934730227,9.0
24.0,25.0,0.6376905130230534,2.0
258.0,274.0,0.6382811239264657,6.0
257.0,269.0,0.6400298163662236,12.0
171.0,260.0,0.6403081860138935,3.0
123.0,266.0,0.6447773050222192,13.0
228.0,271.0,0.6517760699893489,4.0
87.0,121.0,0.6591971312387817,2.0
108.0,175.0,0.6621278756118247,2.0
89.0,134.0,0.6632146248934937,2.0
54.0,181.0,0.6652156020675799,2.0
39.0,109.0,0.6654569946338909,2.0
273.0,293.0,0.6742727298450482,12.0
