child_1,child_2,distance,n_observations
167.0,180.0,0.0737753779589686,2.0
166.0,185.0,0.09203119053652498,3.0
81.0,149.0,0.11487794187503719,2.0
77.0,101.0,0.11779438505478868,2.0
83.0,137.0,0.12503029075285832,2.0
51.0,150.0,0.12873234892123642,2.0
72.0,171.0,0.13605743413327276,2.0
95.0,182.0,0.14015906759196795,2.0
5.0,190.0,0.15879930325914426,3.0
76.0,91.0,0.1640551288255443,2.0
79.0,187.0,0.17008165182686896,3.0
92.0,94.0,0.17010198970371493,2.0
55.0,176.0,0.17203309194706118,2.0
186.0,191.0,0.18743524773350945,5.0
118.0,158.0,0.18980364779841596,2.0
1.0,181.0,0.1955096529476964,2.0
154.0,193.0,0.1956278760426258,4.0
133.0,155.0,0.19633884536313606,2.0
28.0,30.0,0.19690279067858807,2.0
115.0,197.0,0.19781168424328677,3.0
15.0,169.0,0.19868758086049254,2.0
7.0,104.0,0.2015236984418538,2.0
85.0,189.0,0.20303652077059953,3.0
11.0,35.0,0.2040551045076675,2.0
26.0,32.0,0.20528052252759654,2.0
38.0,156.0,0.20633099474349548,2.0
125.0,194.0,0.20639997539770022,3.0
111.0,113.0,0.20833999466720754,2.0
75.0,142.0,0.20991108211303944,2.0
88.0,131.0,0.21094557817706683,2.0
129.0,138.0,0.21119773586934942,2.0
53.0,157.0,0.21665623320510252,2.0
41.0,42.0,0.22218351300478734,2.0
168.0,188.0,0.2233107122360835,3.0
23.0,27.0,0.22426402613095764,2.0
198.0,216.0,0.2266299813117953,7.0
66.0,102.0,0.22695934374571725,2.0
135.0,141.0,0.22822545856854004,2.0
128.0,145.0,0.22853050681137166,2.0
80.0,146.0,0.23002215620672584,2.0
63.0,159.0,0.2322596264227671,2.0
22.0,112.0,0.23397011850086213,2.0
90.0,163.0,0.2339809165809923,2.0
14.0,206.0,0.23404288807234203,3.0
8.0,105.0,0.23417460689713043,2.0
93.0,134.0,0.23870653234735373,2.0
195.0,211.0,0.2395500129386768,6.0
61.0,172.0,0.24072470265261503,2.0
97.0,227.0,0.24462223022087093,3.0
174.0,208.0,0.25750136612509655,3.0
147.0,148.0,0.25961275793636596,2.0
44.0,209.0,0.2610837727972813,3.0
207.0,214.0,0.26301474494086846,5.0
43.0,71.0,0.26335431220339534,2.0
201.0,220.0,0.26340120612304463,11.0
59.0,204.0,0.26353597494312614,4.0
84.0,130.0,0.26546137234246836,2.0
222.0,224.0,0.26679607507303343,4.0
36.0,48.0,0.2766346437049083,2.0
199.0,200.0,0.2781881252709357,4.0
196.0,223.0,0.28136344317922063,4.0
82.0,244.0,0.28683764613020346,5.0
9.0,212.0,0.287983399711418,3.0
49.0,192.0,0.29088366995780063,3.0
3.0,13.0,0.2917742441401363,2.0
39.0,40.0,0.2943057676648426,2.0
202.0,221.0,0.29434595294794175,4.0
50.0,239.0,0.29599646466061047,12.0
160.0,183.0,0.2978356702144641,2.0
31.0,33.0,0.3045101809317414,2.0
19.0,122.0,0.3112619547995058,2.0
62.0,234.0,0.31237608592868815,4.0
218.0,231.0,0.3139788540636629,9.0
2.0,203.0,0.3144831785468586,3.0
16.0,228.0,0.3146018526206143,4.0
69.0,175.0,0.31572564772923817,2.0
52.0,177.0,0.31702835627988424,2.0
100.0,120.0,0.31716362943770593,2.0
54.0,252.0,0.32576313430424597,13.0
17.0,123.0,0.32872083490360093,2.0
46.0,205.0,0.33490431969533924,3.0
73.0,78.0,0.34132793916548587,2.0
34.0,263.0,0.3431668839226493,14.0
153.0,245.0,0.34325455722466386,5.0
127.0,241.0,0.3505980546221513,3.0
161.0,164.0,0.3560786280003243,2.0
140.0,237.0,0.358198664908375,6.0
121.0,226.0,0.3602205705395555,3.0
18.0,246.0,0.36033047161050735,6.0
256.0,267.0,0.3611265981332051,18.0
10.0,249.0,0.36168663178256766,3.0
242.0,268.0,0.3629604379102823,9.0
255.0,272.0,0.3642771168676468,5.0
86.0,139.0,0.3652444707523125,2.0
110.0,114.0,0.3654994609741282,2.0
47.0,217.0,0.37143468269037305,3.0
56.0,213.0,0.3717520112231881,3.0
21.0,248.0,0.3721920164951074,4.0
65.0,210.0,0.3726119918916166,3.0
12.0,20.0,0.37274803537266255,2.0
98.0,103.0,0.37641860330085675,2.0
230.0,282.0,0.37992955740860523,6.0
165.0,170.0,0.38228565254880476,2.0
89.0,247.0,0.38296909353271874,4.0
4.0,236.0,0.38523067303566366,4.0
151.0,235.0,0.38679088420248253,3.0
37.0,274.0,0.3902775242335564,19.0
24.0,229.0,0.39316377909499856,3.0
143.0,257.0,0.39495651977727275,10.0
219.0,284.0,0.3969243061729821,4.0
251.0,273.0,0.39987361273919875,10.0
45.0,179.0,0.40379527453038,2.0
232.0,240.0,0.4136056532770581,6.0
215.0,250.0,0.4146314616431557,4.0
238.0,276.0,0.41680739227291386,11.0
178.0,291.0,0.4190344604368943,20.0
253.0,270.0,0.42266984362607374,4.0
70.0,96.0,0.42549637561834297,2.0
126.0,290.0,0.43201884816664116,4.0
266.0,269.0,0.4345933070154553,5.0
0.0,289.0,0.444252270004797,5.0
258.0,271.0,0.44590481171928503,9.0
29.0,64.0,0.4467553022756344,2.0
281.0,293.0,0.4478333861438254,13.0
106.0,124.0,0.44860958213275104,2.0
259.0,265.0,0.45470320841612827,7.0
60.0,107.0,0.4554126321258134,2.0
119.0,173.0,0.47088518360878884,2.0
285.0,306.0,0.47281609450437373,11.0
108.0,303.0,0.474692645608744,5.0
109.0,300.0,0.47548950796135747,21.0
6.0,283.0,0.48172488048527146,4.0
294.0,297.0,0.4820597237887741,10.0
277.0,288.0,0.48471000849778917,9.0
87.0,308.0,0.4849743039763095,14.0
132.0,299.0,0.4913535506795293,12.0
68.0,280.0,0.49295182281938493,4.0
295.0,318.0,0.4954491062946964,19.0
225.0,301.0,0.505595309186006,6.0
233.0,286.0,0.5133172491476015,9.0
116.0,322.0,0.5144871163414644,20.0
287.0,305.0,0.5156211012475721,7.0
67.0,162.0,0.5191897328743107,2.0
298.0,319.0,0.5232798261787585,18.0
315.0,317.0,0.5233247751638408,31.0
57.0,99.0,0.5270507722942114,2.0
136.0,296.0,0.5326693500504471,3.0
25.0,275.0,0.5581807757993885,4.0
243.0,254.0,0.5585382626712271,4.0
264.0,309.0,0.5654139978148804,4.0
310.0,325.0,0.5681189657435308,27.0
326.0,328.0,0.5724953484269593,25.0
311.0,314.0,0.5956170311871071,7.0
279.0,292.0,0.5970926249229981,5.0
261.0,323.0,0.5975842958434503,8.0
320.0,324.0,0.5990600452041173,21.0
260.0,329.0,0.6039034009101728,33.0
304.0,313.0,0.6060791129808423,16.0
331.0,333.0,0.6089430641378524,7.0
152.0,302.0,0.6124409090607296,3.0
58.0,316.0,0.6273087813779459,5.0
336.0,342.0,0.6330808009264188,41.0
144.0,337.0,0.6420478500539637,8.0
321.0,330.0,0.6532141451167054,6.0
327.0,341.0,0.6601992782387542,35.0
334.0,338.0,0.6726503135593542,9.0
184.0,339.0,0.6822457672264337,9.0
117.0,344.0,0.6886893674764171,4.0
74.0,332.0,0.6897848165578421,5.0
345.0,349.0,0.6974701303931725,40.0
347.0,352.0,0.7306199063249668,12.0
307.0,354.0,0.7474966331956403,42.0
278.0,348.0,0.7711720364104099,8.0
262.0,350.0,0.7775522453538188,11.0
346.0,355.0,0.7873520865105025,53.0
335.0,343.0,0.7920763291909105,34.0
353.0,360.0,0.8096718095163807,39.0
312.0,357.0,0.8809820304638247,10.0
356.0,358.0,0.882782374810553,53.0
359.0,361.0,0.9108869126333077,92.0
340.0,362.0,0.9235631603354802,31.0
351.0,363.0,0.9289357571756965,62.0
365.0,366.0,1.0193297757883861,93.0
364.0,367.0,1.1834270966617266,185.0
