child_1,child_2,distance,n_observations
174.0,180.0,0.07767995466307809,2.0
166.0,185.0,0.13043882798535889,3.0
15.0,16.0,0.17035169597422273,2.0
29.0,44.0,0.18849207017309033,2.0
52.0,157.0,0.19271784388471325,2.0
40.0,42.0,0.19597168492217032,2.0
98.0,143.0,0.20470078906155764,2.0
54.0,150.0,0.2094519799609018,2.0
56.0,62.0,0.2167882596983257,2.0
6.0,30.0,0.21710005994099235,2.0
178.0,189.0,0.21831047654289804,3.0
43.0,49.0,0.22700057172529842,2.0
65.0,152.0,0.2341262754681851,2.0
67.0,195.0,0.23468199165175227,4.0
129.0,191.0,0.2362341521115155,3.0
35.0,188.0,0.23831084901218635,3.0
23.0,102.0,0.23900076168583306,2.0
76.0,126.0,0.24191973150703439,2.0
28.0,33.0,0.25004635654514107,2.0
186.0,193.0,0.25133025314549107,5.0
82.0,146.0,0.25237994778160044,2.0
34.0,46.0,0.25862069420231926,2.0
122.0,123.0,0.2665165511624219,2.0
25.0,26.0,0.2677681819081279,2.0
45.0,196.0,0.27266926553188087,3.0
75.0,202.0,0.2733717468638834,3.0
125.0,199.0,0.2740137604677552,4.0
154.0,198.0,0.27446791888224176,5.0
90.0,97.0,0.2793641036894189,2.0
31.0,32.0,0.2804596497631341,2.0
55.0,204.0,0.2824878291491024,6.0
9.0,107.0,0.28393320834946834,2.0
96.0,211.0,0.2856345516443209,5.0
111.0,216.0,0.28889697683629945,3.0
51.0,212.0,0.29173267784521484,6.0
192.0,197.0,0.2926618230153384,4.0
93.0,137.0,0.2947383232560711,2.0
194.0,201.0,0.2968346437958657,4.0
136.0,158.0,0.2973030773368739,2.0
101.0,210.0,0.2981390375457879,4.0
22.0,187.0,0.2999243811353979,3.0
134.0,205.0,0.30408300893696427,3.0
217.0,224.0,0.3051967486004705,9.0
200.0,203.0,0.30570301013869117,5.0
209.0,214.0,0.307789349188851,5.0
219.0,220.0,0.30895333472424946,10.0
53.0,177.0,0.3147611903626457,2.0
78.0,79.0,0.32053786358965464,2.0
47.0,190.0,0.3272225939890477,3.0
85.0,86.0,0.3323543766449987,2.0
70.0,151.0,0.335693572933226,2.0
13.0,105.0,0.3377102096922766,2.0
103.0,119.0,0.3395361171238911,2.0
1.0,225.0,0.3417610576094467,4.0
99.0,221.0,0.34690893667938855,3.0
19.0,116.0,0.34847474705938264,2.0
115.0,117.0,0.34964473601427826,2.0
222.0,238.0,0.3497061914686596,8.0
181.0,223.0,0.35338193445754623,3.0
164.0,230.0,0.357319155997799,11.0
20.0,59.0,0.3616730790595126,2.0
36.0,206.0,0.36219197339720166,3.0
155.0,227.0,0.3627321812579332,10.0
215.0,231.0,0.36382345159083135,8.0
73.0,91.0,0.3674577011035747,2.0
145.0,213.0,0.3689902321707259,3.0
48.0,228.0,0.3698160036621416,6.0
124.0,207.0,0.37112020451259675,3.0
