child_1,child_2,distance,n_observations
34.0,46.0,0.011692196373463748,2.0
33.0,45.0,0.022428316084488142,2.0
29.0,44.0,0.025336116777879503,2.0
1.0,15.0,0.029947936426984345,2.0
27.0,186.0,0.03144365904087393,3.0
185.0,189.0,0.034660362619145534,5.0
41.0,42.0,0.03815341331024347,2.0
81.0,125.0,0.040445145504935276,2.0
49.0,190.0,0.04088144689815758,6.0
32.0,120.0,0.04148123860485364,2.0
104.0,188.0,0.04393498299660131,3.0
118.0,195.0,0.052129083197496616,4.0
8.0,26.0,0.0530930847222314,2.0
88.0,99.0,0.05963903829678896,2.0
127.0,130.0,0.061684236588419705,2.0
193.0,196.0,0.062102284451896306,10.0
166.0,167.0,0.06408260262348198,2.0
109.0,119.0,0.06416036830481409,2.0
10.0,31.0,0.06671076153240396,2.0
63.0,159.0,0.06771798786697547,2.0
23.0,200.0,0.06811710935392017,11.0
157.0,178.0,0.07058904870712601,2.0
84.0,149.0,0.07080766580767794,2.0
92.0,94.0,0.07584225700610325,2.0
175.0,183.0,0.0772496005408122,2.0
79.0,192.0,0.07753889349298027,3.0
187.0,194.0,0.07789242964015419,4.0
2.0,47.0,0.07822028925409708,2.0
11.0,40.0,0.08189031026419558,2.0
64.0,152.0,0.08570849469467579,2.0
101.0,147.0,0.0883431662348424,2.0
39.0,191.0,0.08865903825496468,3.0
72.0,214.0,0.08886563027204425,3.0
19.0,211.0,0.0897688336612038,5.0
197.0,202.0,0.09065772976172087,4.0
199.0,207.0,0.0925364016432676,4.0
150.0,179.0,0.09678234614760339,2.0
58.0,171.0,0.09824354114459977,2.0
78.0,129.0,0.09865389613908238,2.0
173.0,174.0,0.10016601478059806,2.0
184.0,209.0,0.10042513688997867,3.0
143.0,210.0,0.10046164177192334,4.0
180.0,201.0,0.10375961569201952,3.0
77.0,126.0,0.10408976989203966,2.0
59.0,154.0,0.10445820652053306,2.0
93.0,95.0,0.10461970463604242,2.0
220.0,226.0,0.1093368877791899,8.0
165.0,204.0,0.11341816030152008,3.0
140.0,198.0,0.11368805180317504,3.0
205.0,218.0,0.11445158016611619,16.0
52.0,156.0,0.11767862710592203,2.0
212.0,219.0,0.11951900336155193,6.0
213.0,216.0,0.11983083551113188,5.0
16.0,43.0,0.12000529565724338,2.0
50.0,217.0,0.12221382977036373,4.0
206.0,225.0,0.1247968336398091,5.0
203.0,234.0,0.1248220457436151,18.0
56.0,227.0,0.12578650769236085,4.0
54.0,239.0,0.13079998180396812,5.0
85.0,86.0,0.1333915166831402,2.0
28.0,35.0,0.13352123603212285,2.0
208.0,230.0,0.1347426279702706,4.0
169.0,240.0,0.1379658507071631,6.0
67.0,164.0,0.1416523927122445,2.0
98.0,231.0,0.144468194153665,9.0
224.0,242.0,0.14643749935121642,6.0
235.0,243.0,0.14712380540818026,7.0
55.0,229.0,0.1482996676047557,3.0
75.0,215.0,0.1491247838583596,3.0
232.0,247.0,0.14970513894644555,9.0
30.0,241.0,0.15498014113702707,19.0
223.0,228.0,0.15754503046816662,4.0
112.0,132.0,0.15782853041362965,2.0
37.0,237.0,0.15790680911224794,6.0
106.0,255.0,0.16015919584257438,20.0
153.0,163.0,0.16176952421232804,2.0
142.0,253.0,0.16230629168032037,4.0
76.0,138.0,0.16470597103140583,2.0
6.0,238.0,0.16478956522720767,3.0
24.0,122.0,0.1662316622560278,2.0
69.0,160.0,0.1666528957355442,2.0
61.0,251.0,0.16836944931656425,8.0
144.0,148.0,0.16890877323939313,2.0
5.0,103.0,0.16978142272103913,2.0
131.0,233.0,0.17547465311466492,4.0
51.0,74.0,0.17560107725735263,2.0
80.0,97.0,0.17705282306968673,2.0
62.0,221.0,0.18133210159412738,3.0
90.0,136.0,0.18271920368959504,2.0
177.0,252.0,0.18333352700876562,4.0
249.0,261.0,0.18547446846804594,13.0
7.0,22.0,0.19147023377415828,2.0
12.0,259.0,0.19163973988168242,21.0
91.0,262.0,0.19190439464067044,3.0
83.0,87.0,0.1920344159522348,2.0
161.0,181.0,0.19295467553192014,2.0
20.0,162.0,0.1932114578640347,2.0
254.0,272.0,0.19863110154576633,12.0
222.0,266.0,0.20078789993185617,10.0
256.0,275.0,0.20663844119752744,17.0
100.0,111.0,0.21443279730612042,2.0
108.0,110.0,0.22106294592742282,2.0
57.0,270.0,0.2214882632564304,3.0
105.0,236.0,0.22154019030114025,7.0
53.0,65.0,0.22291098962216116,2.0
107.0,123.0,0.22372368311063773,2.0
146.0,246.0,0.22393510683712478,5.0
3.0,17.0,0.2307262130657558,2.0
141.0,257.0,0.23319481727979663,3.0
278.0,284.0,0.23431804840275028,20.0
89.0,139.0,0.23585771503374686,2.0
258.0,288.0,0.23586724805450326,13.0
176.0,282.0,0.23671130441654553,13.0
269.0,277.0,0.24168284766528214,25.0
170.0,182.0,0.24618931477692685,2.0
248.0,283.0,0.24933569279587706,12.0
38.0,121.0,0.2543781667955456,2.0
297.0,300.0,0.2584778048149623,25.0
82.0,293.0,0.2590057019991728,4.0
36.0,124.0,0.26049708186824416,2.0
135.0,291.0,0.26237649865293483,6.0
25.0,250.0,0.2658117480988443,7.0
271.0,273.0,0.2674461957206322,4.0
48.0,263.0,0.271768204007437,4.0
264.0,298.0,0.2724515752582045,27.0
14.0,301.0,0.28257238185792793,3.0
267.0,294.0,0.28726939736463575,22.0
265.0,281.0,0.28747882406407294,4.0
287.0,299.0,0.2912675149717266,5.0
70.0,151.0,0.29261193877083136,2.0
155.0,172.0,0.296422579694963,2.0
21.0,116.0,0.3056238017099727,2.0
128.0,305.0,0.30764268976801973,7.0
274.0,313.0,0.3138261823565695,9.0
292.0,308.0,0.3138455796887777,6.0
0.0,117.0,0.31806867884281054,2.0
290.0,309.0,0.3181217571735433,29.0
68.0,306.0,0.3192105226682877,8.0
13.0,286.0,0.3268080065103622,3.0
18.0,276.0,0.32841640059072225,3.0
296.0,311.0,0.3302540617652153,35.0
145.0,303.0,0.3338749843610239,5.0
268.0,304.0,0.33567982571775573,4.0
73.0,314.0,0.335719633228212,3.0
302.0,322.0,0.3448098862074737,33.0
134.0,295.0,0.36444775330094087,3.0
307.0,317.0,0.3768226078036684,11.0
60.0,113.0,0.3786763921039453,2.0
280.0,318.0,0.383995137555328,11.0
319.0,321.0,0.38899913309699813,35.0
244.0,279.0,0.397715423488608,4.0
260.0,331.0,0.4066835431689259,13.0
66.0,312.0,0.4103790958202665,5.0
329.0,333.0,0.41234577982985265,44.0
102.0,324.0,0.41287757736191005,4.0
310.0,327.0,0.4166764182242968,7.0
316.0,334.0,0.447135296026462,37.0
71.0,158.0,0.45122941732579236,2.0
289.0,338.0,0.4518017595690702,46.0
320.0,325.0,0.45737643546845236,37.0
115.0,168.0,0.458661170741984,2.0
9.0,285.0,0.46073820292799655,3.0
315.0,336.0,0.4635935147393943,15.0
337.0,343.0,0.46873166203185657,51.0
339.0,341.0,0.4781841874957296,41.0
133.0,328.0,0.4806337051756748,4.0
96.0,323.0,0.48372555794787475,4.0
137.0,330.0,0.485102994096863,4.0
332.0,344.0,0.5092538641965103,39.0
326.0,349.0,0.5097099947276699,46.0
245.0,352.0,0.534317948115355,6.0
354.0,355.0,0.5902847102744673,52.0
114.0,340.0,0.5937136667048154,8.0
345.0,350.0,0.5952375425781624,6.0
4.0,351.0,0.6061049382614749,5.0
353.0,356.0,0.641076431171006,91.0
346.0,360.0,0.6972943431186356,94.0
335.0,348.0,0.7304808947777397,55.0
359.0,362.0,0.7693567371580873,60.0
342.0,358.0,0.8049557011695884,8.0
347.0,357.0,0.8177252737689139,23.0
363.0,365.0,0.9200030405719345,83.0
361.0,364.0,0.9704015484434518,102.0
366.0,367.0,1.380083709932046,185.0
