child_1,child_2,distance,n_observations
93.0,128.0,0.03649270951040906,2.0
166.0,167.0,0.05194532054919798,2.0
14.0,17.0,0.05270888850160582,2.0
180.0,186.0,0.06246861668750475,3.0
7.0,187.0,0.0741136868917861,3.0
15.0,16.0,0.07479823031450672,2.0
44.0,45.0,0.07480750569233519,2.0
174.0,188.0,0.0821690523622965,4.0
19.0,189.0,0.08335753966993047,4.0
105.0,110.0,0.08397230148587331,2.0
51.0,182.0,0.08507463318680408,2.0
21.0,102.0,0.0853760050107677,2.0
18.0,118.0,0.08714159898045548,2.0
82.0,146.0,0.08715375740090081,2.0
0.0,115.0,0.08734067826443437,2.0
9.0,107.0,0.0917183372535243,2.0
193.0,197.0,0.09770829123644578,6.0
78.0,79.0,0.09810613064921359,2.0
55.0,195.0,0.09914552805710136,3.0
28.0,29.0,0.10092374095452628,2.0
77.0,81.0,0.10247819526506508,2.0
127.0,130.0,0.10555429548309914,2.0
43.0,46.0,0.1090729559173178,2.0
65.0,152.0,0.10969331137524319,2.0
5.0,103.0,0.11281435393878758,2.0
137.0,185.0,0.11430199003852876,3.0
52.0,53.0,0.11445668361332517,2.0
39.0,41.0,0.11552881841912144,2.0
76.0,101.0,0.11689009439786124,2.0
85.0,86.0,0.11789624460883286,2.0
3.0,10.0,0.11933409889773305,2.0
1.0,196.0,0.1193920885939348,3.0
104.0,201.0,0.12080869036038057,7.0
129.0,202.0,0.12373756826249016,3.0
26.0,27.0,0.12400164326407281,2.0
113.0,122.0,0.1243073893058233,2.0
6.0,36.0,0.12672481989880402,2.0
91.0,213.0,0.12745468218251577,3.0
100.0,194.0,0.12941429130942889,3.0
199.0,217.0,0.1296340551983242,9.0
58.0,162.0,0.13049863511272874,2.0
97.0,198.0,0.1324178876645472,3.0
34.0,191.0,0.13391006833220098,3.0
190.0,216.0,0.13396281237018925,5.0
135.0,210.0,0.13553791169227178,4.0
11.0,200.0,0.13814351445171436,3.0
72.0,208.0,0.13879675336781816,3.0
25.0,32.0,0.14151489726056288,2.0
106.0,215.0,0.14252280542291762,3.0
42.0,212.0,0.14269459812439717,3.0
84.0,218.0,0.1436950842403809,4.0
155.0,169.0,0.15902028855963946,2.0
150.0,192.0,0.16135161857782693,5.0
134.0,136.0,0.16139435829913307,2.0
23.0,224.0,0.16501696077284778,10.0
90.0,226.0,0.16555009372731444,4.0
92.0,140.0,0.1681178515369406,2.0
203.0,237.0,0.1685867790266196,8.0
204.0,227.0,0.16980000852274438,5.0
31.0,219.0,0.17026695837964395,3.0
111.0,223.0,0.172818527607104,4.0
30.0,221.0,0.17294918144812294,3.0
98.0,205.0,0.17564834349765313,3.0
74.0,156.0,0.17577197453975357,2.0
54.0,62.0,0.1833182331808767,2.0
157.0,175.0,0.18417749292851315,2.0
56.0,171.0,0.18465268384544664,2.0
121.0,209.0,0.18705959587229265,3.0
33.0,232.0,0.18999172406331033,3.0
13.0,233.0,0.193604906466189,4.0
83.0,142.0,0.19408686546946718,2.0
126.0,144.0,0.19444074252700394,2.0
24.0,245.0,0.1944891076079809,5.0
64.0,231.0,0.1951133963321872,4.0
123.0,230.0,0.19697095903480463,4.0
8.0,119.0,0.19745443341496294,2.0
37.0,234.0,0.19958744402443296,4.0
67.0,161.0,0.20581805329819702,2.0
50.0,249.0,0.20697513255362293,3.0
147.0,149.0,0.20739300982184117,2.0
239.0,252.0,0.20849846252982882,13.0
35.0,47.0,0.2086882024161376,2.0
96.0,247.0,0.21229773096400031,4.0
159.0,225.0,0.21296356744432166,3.0
228.0,265.0,0.21555504641357112,18.0
88.0,131.0,0.21690664408879012,2.0
40.0,261.0,0.2223577458736962,5.0
59.0,177.0,0.2236645732693069,2.0
220.0,257.0,0.22534442212538477,7.0
207.0,246.0,0.22662062455224632,5.0
48.0,243.0,0.2268599670727991,6.0
229.0,241.0,0.2273960032599818,6.0
238.0,240.0,0.2332020997729713,6.0
214.0,255.0,0.2398806485660861,4.0
114.0,259.0,0.24173984633130857,5.0
116.0,254.0,0.24239481413114122,5.0
109.0,269.0,0.24504355432402003,19.0
94.0,132.0,0.24520995819811664,2.0
57.0,211.0,0.2501729651469088,3.0
75.0,235.0,0.2502612237198248,5.0
250.0,263.0,0.250292527247627,5.0
125.0,267.0,0.2511212868690069,5.0
63.0,160.0,0.25188242659459814,2.0
20.0,60.0,0.25238749981035236,2.0
260.0,273.0,0.25900773645244346,9.0
242.0,251.0,0.26230295687139793,10.0
258.0,262.0,0.26414323499478487,6.0
2.0,280.0,0.2683101339439431,6.0
12.0,124.0,0.27184864432725864,2.0
222.0,236.0,0.2757342843069821,5.0
70.0,151.0,0.27993780371851296,2.0
145.0,181.0,0.2800901476214527,2.0
139.0,278.0,0.28200816686737834,5.0
133.0,270.0,0.2822951254451576,3.0
285.0,290.0,0.2870814102518257,15.0
206.0,284.0,0.2930631083352205,7.0
244.0,275.0,0.29340133011283426,9.0
178.0,287.0,0.294920328753777,3.0
69.0,172.0,0.29584852090921676,2.0
108.0,279.0,0.299473602502231,6.0
143.0,148.0,0.30246182435500124,2.0
253.0,266.0,0.30384951255908965,5.0
154.0,272.0,0.30427577550247936,3.0
286.0,300.0,0.32424281300315644,12.0
170.0,248.0,0.3258475245722055,3.0
283.0,291.0,0.3280726389158802,9.0
120.0,301.0,0.3281656438831572,10.0
73.0,303.0,0.3414625144480138,3.0
80.0,297.0,0.34356519494415166,6.0
89.0,282.0,0.348189639486077,3.0
288.0,289.0,0.35420457965564345,11.0
176.0,184.0,0.3552623052464562,2.0
22.0,294.0,0.3561607536171096,6.0
292.0,293.0,0.35827072770039714,8.0
95.0,153.0,0.35963657728847,2.0
304.0,318.0,0.36523167533674905,14.0
256.0,305.0,0.3696563919808801,4.0
68.0,165.0,0.37003667423319553,2.0
281.0,317.0,0.37707106037212923,25.0
299.0,307.0,0.38235232033111904,18.0
173.0,315.0,0.39414688537294124,12.0
4.0,320.0,0.3944542428725963,15.0
306.0,311.0,0.3972361421479816,15.0
138.0,264.0,0.4009339315717071,3.0
277.0,313.0,0.40429017875212386,12.0
276.0,314.0,0.40516028019763434,9.0
61.0,324.0,0.4261960654432763,19.0
99.0,141.0,0.4289143978545388,2.0
302.0,316.0,0.4311279176572661,5.0
268.0,331.0,0.4343971196461251,22.0
308.0,321.0,0.4356923837007761,16.0
163.0,274.0,0.4388832196541208,6.0
117.0,326.0,0.4411923248105129,16.0
112.0,323.0,0.4582555563289552,26.0
179.0,310.0,0.46875236037730744,10.0
309.0,322.0,0.48156261669817485,5.0
71.0,330.0,0.4891090910649178,10.0
66.0,333.0,0.49087434672891445,6.0
49.0,327.0,0.4952805160436785,16.0
334.0,339.0,0.5043872495829961,32.0
336.0,338.0,0.5044140983769818,32.0
298.0,341.0,0.5108893153456945,13.0
319.0,329.0,0.5314001850280151,14.0
168.0,312.0,0.535945911281506,4.0
296.0,328.0,0.5398645010373143,5.0
271.0,325.0,0.541011444748408,17.0
158.0,342.0,0.5582262610259706,7.0
38.0,340.0,0.5818306759457875,6.0
295.0,347.0,0.5848039777086873,16.0
335.0,349.0,0.5988556479132278,21.0
345.0,348.0,0.6415944491272666,36.0
87.0,354.0,0.6489452961121124,22.0
164.0,352.0,0.6558060007386212,7.0
332.0,353.0,0.6697004897138443,18.0
344.0,357.0,0.6924246958020046,39.0
337.0,355.0,0.7117273857062962,52.0
346.0,358.0,0.7183882254023443,31.0
356.0,360.0,0.7610936976624647,74.0
351.0,359.0,0.7677324841191935,46.0
343.0,350.0,0.7902989927428632,33.0
183.0,362.0,0.8779024894090576,75.0
363.0,364.0,0.9577260192255825,79.0
361.0,366.0,1.0934049612047423,110.0
365.0,367.0,1.214817160562965,185.0
