child_1,child_2,distance,n_observations
167.0,174.0,0.014561892162880397,2.0
29.0,44.0,0.02552379681900463,2.0
61.0,182.0,0.02690897559015404,2.0
166.0,185.0,0.029266581330034624,3.0
171.0,188.0,0.033216075373895336,4.0
64.0,72.0,0.03332273898673954,2.0
65.0,190.0,0.0382106398117093,3.0
3.0,9.0,0.03880366020048853,2.0
81.0,149.0,0.03918959594619942,2.0
180.0,189.0,0.042139422344431965,5.0
97.0,132.0,0.04236912364595935,2.0
77.0,101.0,0.04271066042702065,2.0
147.0,196.0,0.04472359529944475,3.0
52.0,63.0,0.047800196383146365,2.0
176.0,178.0,0.048358238647321694,2.0
62.0,175.0,0.05173438354227233,2.0
50.0,191.0,0.05320576253067014,4.0
28.0,34.0,0.055621497740786174,2.0
79.0,127.0,0.05724627391633008,2.0
93.0,128.0,0.057281976756560105,2.0
43.0,45.0,0.05785494162955673,2.0
84.0,130.0,0.0614787908829002,2.0
53.0,58.0,0.06402512873208821,2.0
146.0,195.0,0.06492111091970182,3.0
91.0,125.0,0.06527808491631693,2.0
184.0,198.0,0.06555493634085213,3.0
46.0,186.0,0.06653292007210992,3.0
17.0,19.0,0.06804104233480246,2.0
187.0,194.0,0.06807124807502726,7.0
111.0,192.0,0.06819129909861266,3.0
157.0,210.0,0.07320026654328837,4.0
126.0,144.0,0.07325201121222846,2.0
89.0,98.0,0.07378461914921142,2.0
150.0,213.0,0.07588596352799686,8.0
148.0,203.0,0.07722591211873531,3.0
193.0,219.0,0.07892098527856384,5.0
154.0,164.0,0.08176920348430805,2.0
10.0,211.0,0.08213075580489275,4.0
104.0,124.0,0.08326864861696393,2.0
51.0,199.0,0.08440572942019609,3.0
33.0,205.0,0.08996898794431973,3.0
56.0,66.0,0.09070055997700621,2.0
173.0,224.0,0.09071486590867817,4.0
60.0,209.0,0.09253390763366931,3.0
90.0,94.0,0.09487001190471778,2.0
38.0,207.0,0.09637983638763498,3.0
92.0,204.0,0.09671492141606391,3.0
202.0,225.0,0.09786419415211271,5.0
197.0,217.0,0.09893177228044799,5.0
145.0,208.0,0.1004221694611956,4.0
156.0,230.0,0.10062360117113751,4.0
120.0,232.0,0.10264790012573902,6.0
162.0,200.0,0.10298182547098894,3.0
129.0,220.0,0.10485107849666912,6.0
76.0,228.0,0.10836827703893244,4.0
137.0,142.0,0.10850469784337569,2.0
215.0,218.0,0.11140230197445157,12.0
23.0,27.0,0.11425414642066889,2.0
161.0,221.0,0.11500896449401482,3.0
135.0,234.0,0.11560129024516877,5.0
1.0,6.0,0.11674874755673481,2.0
82.0,141.0,0.11693490087620972,2.0
55.0,177.0,0.11951269081661642,2.0
54.0,235.0,0.12112291976066297,5.0
222.0,236.0,0.12498018736556206,10.0
201.0,248.0,0.1250292562561013,9.0
227.0,241.0,0.1255561745690978,16.0
216.0,238.0,0.12893371233623097,8.0
75.0,206.0,0.130370598009385,3.0
116.0,214.0,0.13548684409335662,4.0
139.0,140.0,0.13576394424447658,2.0
160.0,183.0,0.13775154478237228,2.0
59.0,247.0,0.13961312547528532,3.0
2.0,11.0,0.14091431230892548,2.0
16.0,245.0,0.14108732966064896,3.0
69.0,226.0,0.14234489825660318,3.0
