child_1,child_2,distance,n_observations
32.0,33.0,0.047309923288804234,2.0
8.0,105.0,0.05992878202185414,2.0
28.0,29.0,0.0602473271658196,2.0
158.0,184.0,0.07290064522402628,2.0
166.0,180.0,0.08212608549380207,2.0
44.0,187.0,0.08250136195765351,3.0
25.0,26.0,0.08580460035212556,2.0
139.0,142.0,0.08594266529258154,2.0
59.0,170.0,0.09180546656332511,2.0
80.0,135.0,0.09248684332203916,2.0
134.0,145.0,0.0940528605500931,2.0
43.0,48.0,0.09821443043840272,2.0
99.0,195.0,0.10256614643527273,3.0
91.0,126.0,0.1029978951855568,2.0
93.0,128.0,0.10424506356902452,2.0
155.0,156.0,0.10798177166632916,2.0
82.0,94.0,0.10837046934181993,2.0
56.0,189.0,0.10861600203529931,3.0
45.0,196.0,0.11204001558977744,3.0
14.0,49.0,0.11242555060553305,2.0
75.0,77.0,0.1144779986182003,2.0
23.0,103.0,0.11646413370250963,2.0
136.0,194.0,0.1170213959135109,3.0
63.0,160.0,0.11884887505071551,2.0
81.0,141.0,0.12123725071650648,2.0
89.0,197.0,0.12197648673766177,4.0
190.0,203.0,0.12365404080562487,6.0
125.0,147.0,0.12489305111918436,2.0
102.0,120.0,0.12531682615194006,2.0
88.0,132.0,0.13324699925255723,2.0
61.0,193.0,0.1349162097695364,3.0
97.0,201.0,0.14105250519832557,3.0
85.0,86.0,0.14348501895379695,2.0
96.0,129.0,0.1449222619617816,2.0
1.0,16.0,0.14518286514830414,2.0
140.0,214.0,0.14528093593450103,3.0
58.0,181.0,0.14854919671516276,2.0
6.0,121.0,0.14994747261776642,2.0
163.0,215.0,0.15001536746303124,4.0
92.0,199.0,0.15067346071119236,3.0
90.0,146.0,0.1558283122323868,2.0
152.0,208.0,0.15699221336630764,3.0
122.0,150.0,0.1572493980658154,2.0
9.0,113.0,0.16273584420308485,2.0
72.0,178.0,0.16383636014922576,2.0
30.0,137.0,0.16543798574897062,2.0
31.0,185.0,0.1680090468024531,3.0
161.0,200.0,0.16845159073147414,3.0
4.0,13.0,0.1686058920785255,2.0
207.0,216.0,0.17032625448537764,6.0
34.0,211.0,0.17111928229085882,7.0
210.0,220.0,0.17439093433647992,7.0
157.0,174.0,0.1749488222247948,2.0
110.0,233.0,0.17572768839604946,3.0
2.0,115.0,0.1797137847409671,2.0
198.0,212.0,0.18314606085138477,4.0
123.0,227.0,0.1862262390490561,3.0
54.0,223.0,0.18862864861815515,5.0
15.0,222.0,0.1898584730091188,3.0
46.0,112.0,0.19015810118562815,2.0
10.0,114.0,0.1913538911085878,2.0
192.0,209.0,0.19350743267449688,4.0
57.0,64.0,0.19356041669314283,2.0
205.0,236.0,0.195809718721985,9.0
167.0,202.0,0.196852288147548,4.0
27.0,235.0,0.1968596559915444,8.0
69.0,188.0,0.20410673610984542,3.0
224.0,234.0,0.21433013827843803,9.0
24.0,213.0,0.21667011840020578,3.0
232.0,242.0,0.22151894444114456,8.0
78.0,149.0,0.2233642857721858,2.0
183.0,226.0,0.22644094895267067,4.0
62.0,66.0,0.22773397537471163,2.0
79.0,138.0,0.2296070935370239,2.0
17.0,245.0,0.23546821029895354,3.0
21.0,230.0,0.23598187718640518,3.0
35.0,250.0,0.23608693729882294,9.0
3.0,119.0,0.23898371955418818,2.0
131.0,225.0,0.2408064466984735,3.0
249.0,256.0,0.2418108031773034,8.0
221.0,251.0,0.24730461907780335,5.0
106.0,107.0,0.24879637519919107,2.0
5.0,243.0,0.2537273656410658,4.0
204.0,231.0,0.2549222178978551,5.0
143.0,218.0,0.25515300202281255,3.0
165.0,247.0,0.2564928879845127,3.0
111.0,238.0,0.2582546665184087,4.0
50.0,73.0,0.26067676344775936,2.0
37.0,41.0,0.26233418779970585,2.0
109.0,260.0,0.26556393619669394,4.0
179.0,191.0,0.26663123980097647,3.0
76.0,240.0,0.26759020908010245,5.0
20.0,271.0,0.2676512049532883,5.0
11.0,100.0,0.2681965917603232,2.0
7.0,18.0,0.2688687825024718,2.0
177.0,182.0,0.2695725454579859,2.0
219.0,267.0,0.27112773271662066,6.0
36.0,206.0,0.2744433349335947,3.0
108.0,259.0,0.27504888963822366,4.0
144.0,148.0,0.2796951020297802,2.0
12.0,19.0,0.2807379715092697,2.0
83.0,246.0,0.28353735951178977,5.0
38.0,254.0,0.28359143158051864,9.0
239.0,285.0,0.2856049733070196,4.0
153.0,229.0,0.2878052546021204,3.0
67.0,280.0,0.2907694352034214,3.0
248.0,276.0,0.2908406517492007,14.0
244.0,253.0,0.2932354933992058,5.0
228.0,277.0,0.29567520858400476,7.0
172.0,265.0,0.30005820833595054,6.0
186.0,264.0,0.3053370758706693,10.0
104.0,116.0,0.30560991612856603,2.0
261.0,268.0,0.3077596040052897,14.0
237.0,257.0,0.31355770213809653,4.0
84.0,255.0,0.32018456672989304,3.0
52.0,171.0,0.3294066209088059,2.0
241.0,283.0,0.3312718959057175,7.0
286.0,291.0,0.3328239736092407,19.0
287.0,294.0,0.33368208420052553,15.0
266.0,293.0,0.33805445448211036,9.0
98.0,269.0,0.33973093522441467,4.0
164.0,175.0,0.342199265926481,2.0
22.0,274.0,0.3428169989951188,5.0
40.0,42.0,0.3476642070089567,2.0
74.0,270.0,0.350329992030672,4.0
127.0,130.0,0.35294963209670105,2.0
95.0,252.0,0.3547782856595707,10.0
124.0,282.0,0.3552720880863835,4.0
154.0,289.0,0.3576685472363444,4.0
87.0,258.0,0.35927998658572513,3.0
295.0,298.0,0.368817438343557,14.0
60.0,168.0,0.3694806698110873,2.0
118.0,288.0,0.37166021207501804,5.0
290.0,303.0,0.3740023073240029,18.0
162.0,272.0,0.3766793228856461,3.0
292.0,312.0,0.37979263167495975,9.0
263.0,311.0,0.3835442086267962,13.0
51.0,313.0,0.4002190089092281,5.0
68.0,315.0,0.4019224965281905,15.0
151.0,307.0,0.41470286667925277,6.0
169.0,319.0,0.42962463788544336,4.0
262.0,296.0,0.43583094557990393,4.0
53.0,159.0,0.43720589213984806,2.0
47.0,273.0,0.44015398789654486,3.0
297.0,301.0,0.44307585162640006,21.0
55.0,300.0,0.447868734279433,3.0
284.0,299.0,0.44894832869999296,5.0
318.0,323.0,0.45653402894137074,33.0
302.0,310.0,0.46218680036909277,21.0
305.0,333.0,0.4704457113668787,25.0
133.0,314.0,0.4733559047069524,4.0
316.0,335.0,0.47488960605352754,6.0
278.0,304.0,0.47590772238386136,11.0
281.0,326.0,0.4782883445946875,10.0
275.0,329.0,0.48163420888840414,24.0
317.0,324.0,0.4953476765206152,11.0
65.0,309.0,0.4981149863362455,5.0
71.0,330.0,0.49851772311854287,4.0
308.0,328.0,0.49892105069352327,5.0
0.0,117.0,0.5039337307413257,2.0
322.0,342.0,0.515460810818203,9.0
320.0,339.0,0.5254624716521868,33.0
321.0,334.0,0.5544114390878856,38.0
332.0,345.0,0.5581504705759237,42.0
279.0,340.0,0.5686586646418863,13.0
39.0,338.0,0.5943885112679012,11.0
306.0,337.0,0.5947323897961755,13.0
331.0,336.0,0.6241379185777991,11.0
325.0,348.0,0.6294884947761107,46.0
341.0,347.0,0.6386166133834296,43.0
173.0,353.0,0.6623661095591615,47.0
