child_1,child_2,distance,n_observations
174.0,180.0,0.05003951754377156,2.0
14.0,23.0,0.06973485277758351,2.0
18.0,104.0,0.0715686163368654,2.0
76.0,91.0,0.07194022703128733,2.0
32.0,33.0,0.0721839915973882,2.0
55.0,160.0,0.08431194055504332,2.0
103.0,186.0,0.08455691463690446,3.0
8.0,105.0,0.10069070006118674,2.0
78.0,149.0,0.10130131513343388,2.0
24.0,124.0,0.1046371089727105,2.0
72.0,152.0,0.10506298565289374,2.0
29.0,44.0,0.11170008050371105,2.0
7.0,187.0,0.11194992141220927,3.0
53.0,154.0,0.12204509470653979,2.0
15.0,16.0,0.12774604355326047,2.0
62.0,150.0,0.12896487122210554,2.0
28.0,196.0,0.1303314843700859,3.0
75.0,142.0,0.13086844535911868,2.0
116.0,118.0,0.1323539077686301,2.0
82.0,92.0,0.1332569834952474,2.0
6.0,191.0,0.13398831571406591,4.0
171.0,195.0,0.14456063346802617,3.0
40.0,189.0,0.14695048897804003,3.0
166.0,185.0,0.1521128478406325,3.0
134.0,137.0,0.15484549468496978,2.0
93.0,204.0,0.15537617501919115,3.0
65.0,206.0,0.1577477135785568,4.0
139.0,140.0,0.1602708228901475,2.0
121.0,199.0,0.1614208023994081,3.0
52.0,167.0,0.17443803910375155,2.0
54.0,178.0,0.17511741747455234,2.0
131.0,132.0,0.17552106738641382,2.0
94.0,128.0,0.17935371376861764,2.0
19.0,203.0,0.17945378111824417,3.0
2.0,4.0,0.17967639268666702,2.0
198.0,211.0,0.17998621812973187,6.0
5.0,205.0,0.1803827490714535,5.0
184.0,190.0,0.18617841432716487,3.0
26.0,27.0,0.19300331183852515,2.0
102.0,194.0,0.1944430319617731,3.0
90.0,145.0,0.1969751321992923,2.0
0.0,17.0,0.19745906392796475,2.0
11.0,100.0,0.19939320605523203,2.0
175.0,215.0,0.20047749905689494,3.0
197.0,218.0,0.20086278046212994,6.0
63.0,164.0,0.20167142815000116,2.0
77.0,81.0,0.20631419755245017,2.0
210.0,217.0,0.20746111864626246,5.0
45.0,48.0,0.20815035768818635,2.0
221.0,224.0,0.21392620048444352,8.0
51.0,200.0,0.21402323723718714,3.0
143.0,144.0,0.2143148279805498,2.0
112.0,115.0,0.21621831266089664,2.0
3.0,219.0,0.22228779505970747,3.0
208.0,222.0,0.2273150959235609,6.0
61.0,69.0,0.2306241772294414,2.0
129.0,193.0,0.23175383070325667,3.0
96.0,98.0,0.23378550389193997,2.0
114.0,123.0,0.23402570132168776,2.0
97.0,146.0,0.23515428148150852,2.0
228.0,230.0,0.23608021080292868,5.0
209.0,225.0,0.23727132114636712,4.0
83.0,202.0,0.23904981076931098,3.0
95.0,232.0,0.24170456547209032,6.0
