child_1,child_2,distance,n_observations
92.0,93.0,0.10252629921638057,2.0
34.0,36.0,0.11589732280044229,2.0
129.0,149.0,0.13943479127531866,2.0
128.0,185.0,0.1412972732605512,3.0
174.0,180.0,0.14376718156053592,2.0
28.0,29.0,0.1468092677185595,2.0
77.0,81.0,0.15373475211663845,2.0
82.0,146.0,0.16691575807821468,2.0
44.0,45.0,0.17173826116169277,2.0
46.0,186.0,0.174534762408318,3.0
76.0,91.0,0.17463431588629608,2.0
79.0,187.0,0.17712688710897295,3.0
43.0,194.0,0.18944879649992663,4.0
116.0,118.0,0.20177365979937778,2.0
98.0,196.0,0.20277744605777492,4.0
166.0,189.0,0.20812471909952335,3.0
137.0,195.0,0.21186832983862114,3.0
190.0,193.0,0.21417472182800648,4.0
0.0,9.0,0.21485082502414632,2.0
67.0,71.0,0.22005174012742823,2.0
191.0,199.0,0.23466512950682689,6.0
13.0,107.0,0.23639489123492263,2.0
124.0,197.0,0.23694845141353135,5.0
35.0,48.0,0.24308440283853328,2.0
167.0,200.0,0.24443568726071296,4.0
26.0,27.0,0.24500768857938304,2.0
121.0,209.0,0.24704037580934188,5.0
23.0,103.0,0.24807703887549304,2.0
111.0,119.0,0.24824480363430645,2.0
188.0,192.0,0.2532382570584819,5.0
153.0,181.0,0.25434486977427906,2.0
6.0,30.0,0.26420482932194267,2.0
110.0,114.0,0.2695939879058855,2.0
122.0,123.0,0.2701150155291553,2.0
80.0,97.0,0.2715869326112581,2.0
101.0,201.0,0.27795652591527437,4.0
2.0,117.0,0.278253176892416,2.0
75.0,147.0,0.28051970155909534,2.0
70.0,88.0,0.28091438874791785,2.0
205.0,222.0,0.2844720119827562,8.0
19.0,198.0,0.29427094382684577,3.0
49.0,207.0,0.2948994235083845,6.0
211.0,213.0,0.29548488452006366,7.0
10.0,203.0,0.2998772906829666,3.0
132.0,145.0,0.30031356164722056,2.0
131.0,139.0,0.30448304990389685,2.0
202.0,226.0,0.3054538220253654,10.0
84.0,224.0,0.30555802499017226,9.0
214.0,219.0,0.30675150737142165,7.0
204.0,215.0,0.30789669480103876,4.0
7.0,104.0,0.3083618437577005,2.0
99.0,142.0,0.3093934216180072,2.0
125.0,232.0,0.3094466741204087,10.0
72.0,136.0,0.3129831845208285,2.0
157.0,178.0,0.3161247188016647,2.0
3.0,221.0,0.3201665433274752,3.0
52.0,227.0,0.3240052942709885,8.0
159.0,164.0,0.32905118489383967,2.0
12.0,206.0,0.3333955221984157,3.0
20.0,25.0,0.33404436340168353,2.0
96.0,127.0,0.33831919861545257,2.0
208.0,210.0,0.34002831724536964,4.0
8.0,105.0,0.3456350721377014,2.0
212.0,216.0,0.34684146241063274,4.0
63.0,160.0,0.3469222641523464,2.0
66.0,242.0,0.34742799579758904,3.0
18.0,225.0,0.3564533733110853,4.0
113.0,218.0,0.3599099915489649,3.0
55.0,177.0,0.36729681788253143,2.0
150.0,217.0,0.3677458825713886,3.0
134.0,138.0,0.36865201309642526,2.0
95.0,172.0,0.3731588259365254,2.0
170.0,234.0,0.37317192592396514,5.0
237.0,245.0,0.3733343117938541,12.0
100.0,175.0,0.3737609136518326,2.0
32.0,120.0,0.37595916859180945,2.0
135.0,233.0,0.37730386733338406,8.0
78.0,130.0,0.3803775388567473,2.0
231.0,246.0,0.38506658644588765,14.0
144.0,257.0,0.3953924106797685,6.0
41.0,42.0,0.3988510333750739,2.0
220.0,258.0,0.39983638871872107,16.0
230.0,236.0,0.40137933438314743,4.0
241.0,252.0,0.4014268833425228,11.0
133.0,141.0,0.40270659685648524,2.0
38.0,68.0,0.4104245605873871,2.0
56.0,250.0,0.4132337481066141,4.0
50.0,261.0,0.4278590543574533,9.0
39.0,54.0,0.4330721131592341,2.0
61.0,254.0,0.4338957745614385,4.0
161.0,264.0,0.43444919984599584,7.0
69.0,249.0,0.43817421882671626,3.0
115.0,240.0,0.44074444238695615,4.0
90.0,94.0,0.44335595992532373,2.0
4.0,228.0,0.44639142967015166,4.0
21.0,37.0,0.4468408498484564,2.0
1.0,248.0,0.4485002926975773,5.0
267.0,272.0,0.45060574080644744,13.0
58.0,156.0,0.45342030284688284,2.0
