child_1,child_2,distance,n_observations
167.0,180.0,0.013387361997812208,2.0
36.0,46.0,0.01785300590345018,2.0
160.0,178.0,0.017944902864619694,2.0
171.0,187.0,0.019433617560835947,3.0
56.0,185.0,0.019472417170045275,3.0
6.0,16.0,0.020236852873503186,2.0
157.0,188.0,0.021297333615298064,4.0
51.0,52.0,0.0231021365999472,2.0
166.0,174.0,0.024257327185864708,2.0
15.0,190.0,0.026935254401481923,3.0
183.0,184.0,0.027175160279991895,2.0
61.0,191.0,0.028772913002300976,5.0
176.0,196.0,0.03201269790244543,6.0
189.0,193.0,0.03238517839882823,5.0
8.0,105.0,0.03296345757822983,2.0
5.0,23.0,0.03379051357959684,2.0
192.0,197.0,0.035287516045716255,8.0
77.0,149.0,0.03532278068101391,2.0
195.0,201.0,0.03748427508232197,10.0
81.0,91.0,0.037888676347025196,2.0
194.0,200.0,0.03800133438513187,5.0
44.0,45.0,0.03887020401083985,2.0
29.0,34.0,0.03895874819464862,2.0
88.0,131.0,0.03932324334985504,2.0
74.0,156.0,0.04206656587803659,2.0
133.0,139.0,0.04391408071490699,2.0
96.0,129.0,0.04515118767837922,2.0
186.0,207.0,0.04541547771218124,4.0
28.0,35.0,0.04590952522105707,2.0
75.0,142.0,0.04600890481319109,2.0
165.0,203.0,0.04642648060066884,11.0
118.0,205.0,0.04782518322666891,6.0
198.0,215.0,0.04891805826904323,16.0
82.0,146.0,0.049134753692556044,2.0
55.0,66.0,0.049359861829568086,2.0
1.0,216.0,0.04966755905600715,7.0
90.0,97.0,0.04973049511861738,2.0
25.0,209.0,0.05040059840218397,3.0
53.0,54.0,0.051174760862864765,2.0
63.0,175.0,0.052112879437355986,2.0
140.0,210.0,0.055314036455250404,3.0
154.0,158.0,0.05605959324319332,2.0
72.0,152.0,0.05874115390356516,2.0
206.0,212.0,0.059806668886397005,6.0
21.0,137.0,0.06139545508626598,2.0
126.0,202.0,0.06196921118504739,3.0
150.0,217.0,0.06332550825660217,17.0
92.0,93.0,0.0648190899447133,2.0
124.0,228.0,0.06570575532860667,7.0
151.0,208.0,0.06610558382379023,3.0
222.0,231.0,0.06667130205628469,20.0
211.0,230.0,0.06741657392107953,5.0
76.0,204.0,0.06790666201034934,3.0
30.0,213.0,0.06866393924707698,3.0
219.0,235.0,0.06996423897277679,22.0
214.0,225.0,0.07029398885049896,5.0
224.0,239.0,0.07078094616851428,24.0
153.0,173.0,0.07123193019453322,2.0
7.0,22.0,0.0713833224933822,2.0
18.0,19.0,0.07292143062049938,2.0
220.0,233.0,0.07302372312036136,14.0
135.0,221.0,0.07547873777959563,3.0
27.0,43.0,0.07564167291172308,2.0
148.0,236.0,0.0757964584063564,6.0
