child_1,child_2,distance,n_observations
35.0,45.0,0.03204631375642819,2.0
29.0,49.0,0.03223942406982272,2.0
32.0,33.0,0.034413367329132916,2.0
28.0,185.0,0.03468043742682969,3.0
34.0,46.0,0.03583398299949747,2.0
174.0,180.0,0.03665142166962565,2.0
78.0,84.0,0.04330241494508924,2.0
79.0,81.0,0.04654905064876802,2.0
147.0,149.0,0.047246409462160854,2.0
93.0,128.0,0.050555448922543156,2.0
43.0,44.0,0.05156992693638329,2.0
20.0,150.0,0.05714388806407544,2.0
186.0,187.0,0.05860181070405657,4.0
148.0,192.0,0.059828268059130274,3.0
9.0,114.0,0.060419930934692445,2.0
125.0,143.0,0.06178358031132691,2.0
5.0,24.0,0.062385942854728316,2.0
8.0,26.0,0.06379760687284541,2.0
92.0,135.0,0.06399418996923123,2.0
132.0,145.0,0.06789160011697559,2.0
127.0,191.0,0.07655523599136038,3.0
48.0,188.0,0.07734545033483764,4.0
88.0,89.0,0.07824847037650107,2.0
82.0,207.0,0.08301710065745599,3.0
94.0,194.0,0.08301720548729341,3.0
36.0,189.0,0.08345723592258986,3.0
166.0,167.0,0.08435288159955978,2.0
129.0,205.0,0.0843860765193083,4.0
130.0,131.0,0.08614619562266657,2.0
41.0,47.0,0.0878276058630586,2.0
77.0,198.0,0.08816393741451604,4.0
105.0,199.0,0.08899763292992474,3.0
97.0,146.0,0.09240242152431899,2.0
120.0,197.0,0.09248538255796412,5.0
111.0,201.0,0.09350774206031193,3.0
50.0,61.0,0.0970263620957924,2.0
76.0,91.0,0.10481300291109841,2.0
157.0,163.0,0.10567138592131076,2.0
99.0,204.0,0.10579428484892522,3.0
122.0,196.0,0.10774311038043627,3.0
42.0,214.0,0.10778616263119584,3.0
200.0,215.0,0.10807348353847271,6.0
208.0,213.0,0.1089799337812836,5.0
95.0,136.0,0.11064592650910021,2.0
10.0,13.0,0.11089528708220409,2.0
4.0,175.0,0.11174088341074795,2.0
23.0,31.0,0.11238430100701757,2.0
126.0,193.0,0.11464452744490339,3.0
153.0,182.0,0.11606808331588314,2.0
195.0,206.0,0.11641274577823554,6.0
11.0,12.0,0.11671511057108841,2.0
80.0,181.0,0.12027345401327638,2.0
137.0,227.0,0.12200346834960915,6.0
109.0,117.0,0.12246426570226021,2.0
144.0,212.0,0.12418662715036452,5.0
55.0,190.0,0.12438417050454231,3.0
178.0,220.0,0.1261681201480782,3.0
7.0,104.0,0.12638124102042247,2.0
27.0,218.0,0.12804515480262885,6.0
100.0,160.0,0.12874539941438223,2.0
110.0,216.0,0.12963958478307266,4.0
90.0,223.0,0.1297196419492707,4.0
113.0,124.0,0.1305543963019653,2.0
139.0,142.0,0.13151326871552116,2.0
226.0,239.0,0.14049615267442322,11.0
165.0,184.0,0.144391485627134,2.0
151.0,221.0,0.14806890170039555,3.0
40.0,219.0,0.14823316571655912,4.0
234.0,243.0,0.1483544225483995,12.0
0.0,108.0,0.14870267849964647,2.0
134.0,217.0,0.14931701343620551,3.0
101.0,118.0,0.15059273628766878,2.0
66.0,233.0,0.15134603020945891,3.0
59.0,156.0,0.1515456691758038,2.0
54.0,241.0,0.15300941707485574,4.0
161.0,236.0,0.15564218527035278,3.0
3.0,230.0,0.15613895842502723,3.0
203.0,209.0,0.1581499762523144,5.0
68.0,169.0,0.16269913154270232,2.0
75.0,249.0,0.1650231686758901,12.0
211.0,240.0,0.16573196734373163,5.0
98.0,232.0,0.17058484271526184,4.0
162.0,250.0,0.1708401302610676,3.0
224.0,245.0,0.17219940379364948,7.0
222.0,259.0,0.17279735276617048,6.0
16.0,102.0,0.17498758911551626,2.0
19.0,116.0,0.17750143753847936,2.0
58.0,258.0,0.18130076306811327,3.0
119.0,247.0,0.18160303326888644,3.0
237.0,248.0,0.19003321172346976,8.0
87.0,96.0,0.1905986981209763,2.0
183.0,244.0,0.19362659181061526,3.0
229.0,231.0,0.1937581140936411,4.0
1.0,210.0,0.19512171574970116,4.0
235.0,238.0,0.19629313170683735,4.0
264.0,266.0,0.19954311980850695,16.0
69.0,256.0,0.20014075514975177,3.0
154.0,260.0,0.20252840580708176,4.0
64.0,71.0,0.20466027556458988,2.0
53.0,177.0,0.2053988728140429,2.0
252.0,273.0,0.20539897695061726,7.0
103.0,279.0,0.2138340405142893,5.0
257.0,269.0,0.21528436089104722,9.0
251.0,280.0,0.21733136888517593,19.0
265.0,287.0,0.21979090793100733,14.0
141.0,246.0,0.2198931935069678,5.0
25.0,253.0,0.22740323953100586,13.0
63.0,276.0,0.2282442070950055,4.0
62.0,263.0,0.23175971572798848,3.0
73.0,158.0,0.23659411184115564,2.0
268.0,285.0,0.2386597859722292,14.0
228.0,255.0,0.24000052901092764,5.0
121.0,123.0,0.24092070578530211,2.0
51.0,85.0,0.25054549995595055,2.0
106.0,107.0,0.25080061618793714,2.0
267.0,294.0,0.25502580024743865,5.0
202.0,291.0,0.2567426802082634,15.0
14.0,261.0,0.26049359956187706,4.0
30.0,242.0,0.2641635976844749,3.0
159.0,272.0,0.26717391769381216,4.0
65.0,67.0,0.2703860052458633,2.0
288.0,290.0,0.27177497250407967,24.0
72.0,171.0,0.2738410836354467,2.0
37.0,39.0,0.2741493943210992,2.0
15.0,270.0,0.27428420313439705,3.0
6.0,112.0,0.274937802126909,2.0
284.0,304.0,0.2772120171851916,6.0
172.0,283.0,0.2801800483577563,3.0
138.0,282.0,0.2887049949404168,5.0
254.0,302.0,0.2928552915674067,6.0
274.0,306.0,0.2993852899888032,32.0
292.0,293.0,0.30102320148257916,7.0
18.0,281.0,0.30470737719659846,4.0
296.0,305.0,0.3048943388004923,7.0
17.0,277.0,0.30716780842153674,5.0
225.0,308.0,0.312480712053071,5.0
2.0,319.0,0.32096159119453466,6.0
278.0,301.0,0.32907532340180456,19.0
289.0,311.0,0.32955756656930607,20.0
86.0,140.0,0.33103280574987104,2.0
300.0,312.0,0.33164011666372967,8.0
155.0,325.0,0.33865790382568695,9.0
286.0,303.0,0.342173516327589,8.0
262.0,318.0,0.3535971034497389,12.0
57.0,74.0,0.36280597196717934,2.0
316.0,323.0,0.3642708389826879,27.0
21.0,327.0,0.3692715930889418,9.0
271.0,297.0,0.3811220953088123,4.0
313.0,330.0,0.39158164191325945,32.0
295.0,314.0,0.3934402188563981,20.0
56.0,70.0,0.39544307279183954,2.0
310.0,322.0,0.3981244885536352,21.0
176.0,332.0,0.40705185897335955,5.0
52.0,298.0,0.41544460467275873,3.0
315.0,324.0,0.43893670968617726,34.0
275.0,326.0,0.45289961611354695,11.0
115.0,299.0,0.4608065758170736,3.0
321.0,341.0,0.46184527910042833,9.0
317.0,331.0,0.47609063529476814,13.0
38.0,320.0,0.4761429509640925,6.0
164.0,328.0,0.4975914712013198,13.0
170.0,338.0,0.4996982263960385,4.0
133.0,339.0,0.5015435060887574,35.0
60.0,347.0,0.5175960301187058,36.0
83.0,335.0,0.5216976410296585,3.0
173.0,334.0,0.5226905238611526,21.0
309.0,336.0,0.5414450810996074,24.0
307.0,329.0,0.5501438691444427,4.0
333.0,346.0,0.5515073546248342,36.0
179.0,351.0,0.5671847440543043,25.0
168.0,337.0,0.5811335234963083,6.0
345.0,352.0,0.5819905083006163,17.0
342.0,354.0,0.6020714052887979,34.0
152.0,349.0,0.6374752029384082,4.0
350.0,355.0,0.6438697891322693,27.0
348.0,356.0,0.6742497808062844,53.0
340.0,360.0,0.7131022455525283,64.0
344.0,357.0,0.7312968619440949,40.0
353.0,359.0,0.7351264344926939,63.0
343.0,362.0,0.828870001041045,53.0
22.0,364.0,0.9001238478646518,54.0
358.0,363.0,0.9021925131609909,67.0
365.0,366.0,1.14806291219202,121.0
361.0,367.0,1.2397924050037088,185.0
