child_1,child_2,distance,n_observations
3.0,10.0,0.015776082082328502,2.0
34.0,46.0,0.018599164505854637,2.0
64.0,65.0,0.025737208107639242,2.0
43.0,44.0,0.029195199703601515,2.0
28.0,45.0,0.0305655907079887,2.0
15.0,16.0,0.031489684707808996,2.0
174.0,180.0,0.03164723427732141,2.0
19.0,116.0,0.034252382510654766,2.0
69.0,184.0,0.03597698532239846,2.0
63.0,160.0,0.03953547679324909,2.0
78.0,129.0,0.03958686406839529,2.0
1.0,21.0,0.04000150385673651,2.0
40.0,42.0,0.040298491714369056,2.0
51.0,55.0,0.04067355449618504,2.0
8.0,105.0,0.045110369051232,2.0
17.0,104.0,0.04829316564891284,2.0
24.0,114.0,0.04863828056211328,2.0
49.0,189.0,0.04931447944539891,3.0
13.0,185.0,0.04946816386521974,3.0
79.0,195.0,0.05147455034076359,3.0
59.0,177.0,0.05179850549117526,2.0
103.0,196.0,0.05284029643972299,3.0
29.0,188.0,0.05312050875519547,3.0
161.0,170.0,0.05323078330538855,2.0
156.0,194.0,0.0560604984417854,3.0
100.0,110.0,0.05708981693309578,2.0
190.0,206.0,0.05893728036659984,5.0
157.0,178.0,0.059016932981789116,2.0
96.0,98.0,0.059205370696135184,2.0
93.0,135.0,0.0607490379290182,2.0
5.0,23.0,0.06236076648333666,2.0
18.0,192.0,0.06362501204673571,3.0
7.0,200.0,0.06956539211490848,3.0
166.0,167.0,0.06960163508351891,2.0
2.0,101.0,0.07265491619378595,2.0
35.0,186.0,0.07375019678687228,3.0
0.0,11.0,0.0748294195244339,2.0
81.0,125.0,0.07565467425581962,2.0
92.0,128.0,0.07802350216512988,2.0
152.0,159.0,0.07900943699981877,2.0
147.0,148.0,0.07951840644878727,2.0
32.0,33.0,0.07962687733218232,2.0
169.0,209.0,0.07977138956577885,4.0
204.0,213.0,0.08122102238401813,5.0
171.0,198.0,0.08283591528122658,3.0
53.0,212.0,0.0840932714624647,3.0
31.0,199.0,0.08456353790067189,3.0
216.0,217.0,0.08503195121292269,6.0
