child_1,child_2,distance,n_observations
171.0,174.0,0.01072552859392617,2.0
29.0,31.0,0.011196434500170493,2.0
167.0,185.0,0.011739895817187873,3.0
126.0,144.0,0.012244693606049517,2.0
8.0,105.0,0.01328355033610329,2.0
78.0,84.0,0.013352691950473172,2.0
51.0,182.0,0.015297422099905367,2.0
77.0,147.0,0.01696120025005876,2.0
44.0,186.0,0.01741435043662637,3.0
63.0,159.0,0.018618299483656675,2.0
43.0,46.0,0.01994256906548708,2.0
81.0,125.0,0.020573208938074905,2.0
28.0,193.0,0.022519555079229203,4.0
61.0,150.0,0.022944854975806117,2.0
34.0,35.0,0.023652696393194894,2.0
79.0,149.0,0.026471513394158652,2.0
180.0,198.0,0.026835656887431503,3.0
20.0,183.0,0.027722422802035962,2.0
97.0,146.0,0.02862090588015931,2.0
62.0,166.0,0.029321544429518065,2.0
55.0,176.0,0.030292074716182116,2.0
88.0,131.0,0.030412160918421582,2.0
14.0,114.0,0.031828359656482785,2.0
56.0,204.0,0.03253972297395641,3.0
187.0,201.0,0.03405754773634106,6.0
53.0,157.0,0.036045066188175934,2.0
96.0,188.0,0.03665088520837323,3.0
76.0,196.0,0.036799878436997224,3.0
2.0,101.0,0.037376280436986264,2.0
66.0,74.0,0.03850320815815156,2.0
162.0,184.0,0.038849036847788954,2.0
50.0,191.0,0.039900175392734494,3.0
130.0,148.0,0.04155336576620139,2.0
68.0,163.0,0.043528553508591306,2.0
52.0,202.0,0.04396177842782534,3.0
178.0,210.0,0.04458758379074329,3.0
154.0,156.0,0.044682925089436165,2.0
194.0,208.0,0.04505749585571833,5.0
45.0,195.0,0.04554181484408881,3.0
93.0,128.0,0.0458756538877767,2.0
54.0,65.0,0.047740744359430876,2.0
151.0,212.0,0.04814672374460512,4.0
32.0,197.0,0.0490467651891808,5.0
33.0,189.0,0.050129480358142686,3.0
67.0,209.0,0.054035463358725055,7.0
60.0,211.0,0.05418267828773915,4.0
40.0,42.0,0.05538686719346808,2.0
92.0,135.0,0.05580391196790502,2.0
165.0,215.0,0.0565919503060367,3.0
59.0,170.0,0.05887621678218369,2.0
190.0,200.0,0.05911930845061683,4.0
216.0,229.0,0.05930198596229101,10.0
19.0,116.0,0.06021572386350893,2.0
36.0,199.0,0.06071399734062982,3.0
132.0,203.0,0.060967001670244936,3.0
113.0,122.0,0.06104503359727065,2.0
175.0,220.0,0.06124454973095628,4.0
57.0,72.0,0.061938936337345485,2.0
89.0,206.0,0.06520756193362809,3.0
64.0,236.0,0.0670645690457701,11.0
224.0,232.0,0.06746533159172852,4.0
69.0,233.0,0.06759175951418157,4.0
108.0,110.0,0.0678197878726009,2.0
15.0,16.0,0.07040985405596656,2.0
213.0,227.0,0.0722018441897456,7.0
161.0,164.0,0.07225718965743277,2.0
226.0,230.0,0.07259692626182535,8.0
145.0,239.0,0.07353330800004361,4.0
90.0,94.0,0.0740708108540018,2.0
172.0,205.0,0.07555390649708493,3.0
223.0,238.0,0.07560308600801112,6.0
83.0,133.0,0.0775444082309884,2.0
143.0,217.0,0.07848074356423373,3.0
100.0,173.0,0.07921516225144687,2.0
152.0,221.0,0.08055568196940954,3.0
71.0,218.0,0.08458989216555823,3.0
192.0,235.0,0.08487285720324089,6.0
219.0,244.0,0.08498704866832249,14.0
