source_file,result_csv,model,roi,n_images,n_voxels,clustering_method,distance_metric,linkage_method,normalization,best_k,silhouette,cluster_sizes,linkage_csv,dendrogram_png,distance_to_cluster_representative
murtylab_adversarial_inceptionv3_nsd_1000_eba_20260408180918124Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_eba_20260408180918124Z_clusters.csv,adversarial_inceptionv3,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.49601635950641143,"{'0': 57, '1': 72, '2': 56}",public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_eba_20260408180918124Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_eba_20260408180918124Z_dendrogram.png,medoid_correlation_distance
murtylab_adversarial_inceptionv3_nsd_1000_ffa_20260408180850572Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_ffa_20260408180850572Z_clusters.csv,adversarial_inceptionv3,ffa,185,716,hierarchical,correlation,average,voxel_zscore,4,0.3532206095539034,"{'0': 42, '1': 37, '2': 35, '3': 71}",public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_ffa_20260408180850572Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_ffa_20260408180850572Z_dendrogram.png,medoid_correlation_distance
murtylab_adversarial_inceptionv3_nsd_1000_ppa_20260408180944286Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_ppa_20260408180944286Z_clusters.csv,adversarial_inceptionv3,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.5252456764655917,"{'0': 68, '1': 117}",public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_ppa_20260408180944286Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_adversarial_inceptionv3_nsd_1000_ppa_20260408180944286Z_dendrogram.png,medoid_correlation_distance
murtylab_aimv2_nsd_1000_eba_20260408181142880Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_eba_20260408181142880Z_clusters.csv,aimv2,eba,185,2045,hierarchical,correlation,average,voxel_zscore,4,0.37493869528052526,"{'0': 48, '1': 57, '2': 21, '3': 59}",public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_eba_20260408181142880Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_eba_20260408181142880Z_dendrogram.png,medoid_correlation_distance
murtylab_aimv2_nsd_1000_ffa_20260408181105090Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_ffa_20260408181105090Z_clusters.csv,aimv2,ffa,185,716,hierarchical,correlation,average,voxel_zscore,4,0.3295886865145752,"{'0': 51, '1': 27, '2': 36, '3': 71}",public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_ffa_20260408181105090Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_ffa_20260408181105090Z_dendrogram.png,medoid_correlation_distance
murtylab_aimv2_nsd_1000_ppa_20260408181215407Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_ppa_20260408181215407Z_clusters.csv,aimv2,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.3385496779357103,"{'0': 77, '1': 108}",public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_ppa_20260408181215407Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_aimv2_nsd_1000_ppa_20260408181215407Z_dendrogram.png,medoid_correlation_distance
murtylab_alexnet_nsd_1000_eba_20260408181547240Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_eba_20260408181547240Z_clusters.csv,alexnet,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.4351481940019833,"{'0': 51, '1': 73, '2': 61}",public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_eba_20260408181547240Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_eba_20260408181547240Z_dendrogram.png,medoid_correlation_distance
murtylab_alexnet_nsd_1000_ffa_20260408181517551Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_ffa_20260408181517551Z_clusters.csv,alexnet,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.27290668003952334,"{'0': 95, '1': 90}",public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_ffa_20260408181517551Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_ffa_20260408181517551Z_dendrogram.png,medoid_correlation_distance
murtylab_alexnet_nsd_1000_ppa_20260408181616856Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_ppa_20260408181616856Z_clusters.csv,alexnet,ppa,185,753,hierarchical,correlation,average,voxel_zscore,2,0.4698212135809476,"{'0': 71, '1': 114}",public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_ppa_20260408181616856Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_nsd_1000_ppa_20260408181616856Z_dendrogram.png,medoid_correlation_distance
murtylab_alexnet_random_nsd_1000_eba_20260408181742800Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_eba_20260408181742800Z_clusters.csv,alexnet_random,eba,185,2045,hierarchical,correlation,average,voxel_zscore,3,0.9610902001355974,"{'0': 88, '1': 93, '2': 4}",public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_eba_20260408181742800Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_eba_20260408181742800Z_dendrogram.png,medoid_correlation_distance
murtylab_alexnet_random_nsd_1000_ffa_20260408181715574Z.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_ffa_20260408181715574Z_clusters.csv,alexnet_random,ffa,185,716,hierarchical,correlation,average,voxel_zscore,2,0.6945363265882745,"{'0': 99, '1': 86}",public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_ffa_20260408181715574Z_linkage.csv,public/data/voxel_clusters_hierarchical_corr/murtylab_alexnet_random_nsd_1000_ffa_20260408181715574Z_dendrogram.png,medoid_correlation_distance
